xi	eta	x	y	stress_vm
 2.9411764706e-02	 1.1764705882e-02	 1.0292683086e+00	 1.7185177200e-02	 2.7831615818e+01
 2.9411764706e-02	 1.7647058824e-02	 1.0290878978e+00	 2.5820146167e-02	 2.7818902402e+01
 2.9411764706e-02	 2.3529411765e-02	 1.0288340731e+00	 3.4482334854e-02	 2.7800785765e+01
 2.9411764706e-02	 2.9411764706e-02	 1.0285061258e+00	 4.3170946261e-02	 2.7777269128e+01
 2.9411764706e-02	 3.5294117647e-02	 1.0281033561e+00	 5.1885166152e-02	 2.7748339162e+01
 2.9411764706e-02	 4.1176470588e-02	 1.0276250737e+00	 6.0624163101e-02	 2.7713966385e+01
 2.9411764706e-02	 4.7058823529e-02	 1.0270705980e+00	 6.9387088554e-02	 2.7674105572e+01
 2.9411764706e-02	 5.2941176471e-02	 1.0264392585e+00	 7.8173076903e-02	 2.7628696178e+01
 2.9411764706e-02	 5.8823529412e-02	 1.0257303955e+00	 8.6981245575e-02	 2.7577662757e+01
 3.5294117647e-02	 0.0000000000e+00	 1.0352941176e+00	 0.0000000000e+00	 2.7415976052e+01
 3.5294117647e-02	 5.8823529412e-03	 1.0352581712e+00	 8.6272260013e-03	 2.7414201983e+01
 3.5294117647e-02	 1.1764705882e-02	 1.0351498417e+00	 1.7283378212e-02	 2.7407094650e+01
 3.5294117647e-02	 1.7647058824e-02	 1.0349684001e+00	 2.5967689860e-02	 2.7394687565e+01
 3.5294117647e-02	 2.3529411765e-02	 1.0347131249e+00	 3.4679376767e-02	 2.7376997390e+01
 3.5294117647e-02	 2.9411764706e-02	 1.0343833036e+00	 4.3417637383e-02	 2.7354024298e+01
 3.5294117647e-02	 3.5294117647e-02	 1.0339782324e+00	 5.2181652816e-02	 2.7325752371e+01
 3.5294117647e-02	 4.1176470588e-02	 1.0334972170e+00	 6.0970586890e-02	 2.7292150001e+01
 3.5294117647e-02	 4.7058823529e-02	 1.0329395728e+00	 6.9783586202e-02	 2.7253170307e+01
