xi	eta	x	y	stress_r	stress_theta
 7.0000000000e-01	 0.0000000000e+00	 4.7544794668e+00	 2.7450000000e+00	 2.5885330507e+00	 2.6210221025e-01
 7.0000000000e-01	 2.0000000000e-01	 4.7054794668e+00	 2.8298704896e+00	 2.4310070201e+00	 1.1086057365e-01
 7.0000000000e-01	 4.0000000000e-01	 4.6564794668e+00	 2.9147409791e+00	 2.2979476397e+00	-3.3795042079e-02
 7.0000000000e-01	 6.0000000000e-01	 4.6074794668e+00	 2.9996114687e+00	 2.1899254522e+00	-1.7243517966e-01
 7.0000000000e-01	 8.0000000000e-01	 4.5584794668e+00	 3.0844819583e+00	 2.1081511630e+00	-3.0627054444e-01
 7.0000000000e-01	 1.0000000000e+00	 4.5094794668e+00	 3.1693524479e+00	 2.0543348776e+00	-4.3701124191e-01
 8.0000000000e-01	 0.0000000000e+00	 4.8843832773e+00	 2.8200000000e+00	 2.2934084656e+00	 2.1926902265e-01
 8.0000000000e-01	 2.0000000000e-01	 4.8203832773e+00	 2.9308512517e+00	 2.1578462726e+00	 8.1243386169e-02
 8.0000000000e-01	 4.0000000000e-01	 4.7563832773e+00	 3.0417025034e+00	 2.0425282340e+00	-4.9068905719e-02
 8.0000000000e-01	 6.0000000000e-01	 4.6923832773e+00	 3.1525537551e+00	 1.9477503444e+00	-1.7196384761e-01
 8.0000000000e-01	 8.0000000000e-01	 4.6283832773e+00	 3.2634050067e+00	 1.8744175443e+00	-2.8834638005e-01
 8.0000000000e-01	 1.0000000000e+00	 4.5643832773e+00	 3.3742562584e+00	 1.8239456565e+00	-3.9963232577e-01
 9.0000000000e-01	 0.0000000000e+00	 5.0316075960e+00	 2.9050000000e+00	 2.0657418434e+00	 1.8494316243e-01
 9.0000000000e-01	 2.0000000000e-01	 4.9506075960e+00	 3.0452961154e+00	 1.9464231564e+00	 5.5662691473e-02
 9.0000000000e-01	 4.0000000000e-01	 4.8696075960e+00	 3.1855922308e+00	 1.8437210506e+00	-6.5772339275e-02
 9.0000000000e-01	 6.0000000000e-01	 4.7886075960e+00	 3.3258883462e+00	 1.7577787659e+00	-1.7950516978e-01
 9.0000000000e-01	 8.0000000000e-01	 4.7076075960e+00	 3.4661844617e+00	 1.6892856327e+00	-2.8622513027e-01
 9.0000000000e-01	 1.0000000000e+00	 4.6266075960e+00	 3.6064805771e+00	 1.6394046170e+00	-3.8709518693e-01
 1.0000000000e+00	 0.0000000000e+00	 5.1961524227e+00	 3.0000000000e+00	 1.8847268359e+00	 1.5672474954e-01
 1.0000000000e+00	 2.0000000000e-01	 5.0961524227e+00	 3.1732050808e+00	 1.7778512283e+00	 3.3538411832e-02
 1.0000000000e+00	 4.0000000000e-01	 4.9961524227e+00	 3.3464101615e+00	 1.6844994154e+00	-8.2193158203e-02
 1.0000000000e+00	 6.0000000000e-01	 4.8961524227e+00	 3.5196152423e+00	 1.6047345020e+00	-1.9053306517e-01
 1.0000000000e+00	 8.0000000000e-01	 4.7961524227e+00	 3.6928203230e+00	 1.5390939005e+00	-2.9201872161e-01
 1.0000000000e+00	 1.0000000000e+00	 4.6961524227e+00	 3.8660254038e+00	 1.4885325688e+00	-3.8760508529e-01
 0.0000000000e+00	 0.0000000000e+00	 4.3301270189e+00	 2.5000000000e+00	 1.1519101434e+00	 5.6481983226e-02
 0.0000000000e+00	 2.0000000000e-01	 4.3301270189e+00	 2.5000000000e+00	-1.1266462397e+15	-4.2534775206e+15
 0.0000000000e+00	 4.0000000000e-01	 4.3301270189e+00	 2.5000000000e+00	-6.7971143031e+14	-2.2134687439e+15
 0.0000000000e+00	 6.0000000000e-01	 4.3301270189e+00	 2.5000000000e+00	 1.1519101434e+00	 5.6481983226e-02
 0.0000000000e+00	 8.0000000000e-01	 4.3301270189e+00	 2.5000000000e+00	-1.2661026979e+15	-4.0356846410e+15
 0.0000000000e+00	 1.0000000000e+00	 4.3301270189e+00	 2.5000000000e+00	 1.1519101434e+00	 5.6481983226e-02
 1.0000000000e-01	 0.0000000000e+00	 4.3337872730e+00	 2.5136602540e+00	 1.2138377762e+01	-3.4201910666e+00
 1.0000000000e-01	 2.0000000000e-01	 4.3320552222e+00	 2.5126602540e+00	 1.3102204410e+01	-2.4316550298e+00
 1.0000000000e-01	 4.0000000000e-01	 4.3303231713e+00	 2.5116602540e+00	 1.3172760615e+01	-2.1570298236e+00
 1.0000000000e-01	 6.0000000000e-01	 4.3285911205e+00	 2.5106602540e+00	 1.2317668136e+01	-2.5639372071e+00
 1.0000000000e-01	 8.0000000000e-01	 4.3268590697e+00	 2.5096602540e+00	 1.0540088537e+01	-3.6555387436e+00
 1.0000000000e-01	 1.0000000000e+00	 4.3251270189e+00	 2.5086602540e+00	 7.8851725900e+00	-5.4769852050e+00
 2.0000000000e-01	 0.0000000000e+00	 4.3447680351e+00	 2.5546410162e+00	 6.0962833183e+00	-1.8140620426e+00
 2.0000000000e-01	 2.0000000000e-01	 4.3378398318e+00	 2.5506410162e+00	 6.5809478865e+00	-1.3242259257e+00
 2.0000000000e-01	 4.0000000000e-01	 4.3309116286e+00	 2.5466410162e+00	 6.6150632505e+00	-1.1900132298e+00
 2.0000000000e-01	 6.0000000000e-01	 4.3239834254e+00	 2.5426410162e+00	 6.1824921080e+00	-1.3952866525e+00
 2.0000000000e-01	 8.0000000000e-01	 4.3170552222e+00	 2.5386410162e+00	 5.2843800431e+00	-1.9411917781e+00
 2.0000000000e-01	 1.0000000000e+00	 4.3101270189e+00	 2.5346410162e+00	 3.9422325266e+00	-2.8492340773e+00
 3.0000000000e-01	 0.0000000000e+00	 4.3630693053e+00	 2.6229422863e+00	 4.1064514852e+00	-1.2342755193e+00
 3.0000000000e-01	 2.0000000000e-01	 4.3474808480e+00	 2.6139422863e+00	 4.4217074296e+00	-9.2597799538e-01
 3.0000000000e-01	 4.0000000000e-01	 4.3318923907e+00	 2.6049422863e+00	 4.4358822311e+00	-8.5024802637e-01
 3.0000000000e-01	 6.0000000000e-01	 4.3163039335e+00	 2.5959422863e+00	 4.1387324265e+00	-9.9684214926e-01
 3.0000000000e-01	 8.0000000000e-01	 4.3007154762e+00	 2.5869422863e+00	 3.5309990180e+00	-1.3665013662e+00
 3.0000000000e-01	 1.0000000000e+00	 4.2851270189e+00	 2.5779422863e+00	 2.6263306700e+00	-1.9728743415e+00
 4.0000000000e-01	 0.0000000000e+00	 4.3886910835e+00	 2.7185640646e+00	 3.1164035781e+00	-9.3640456266e-01
 4.0000000000e-01	 2.0000000000e-01	 4.3609782706e+00	 2.7025640646e+00	 3.3449869744e+00	-7.2154494297e-01
 4.0000000000e-01	 4.0000000000e-01	 4.3332654577e+00	 2.6865640646e+00	 3.3476589654e+00	-6.7712614833e-01
 4.0000000000e-01	 6.0000000000e-01	 4.3055526448e+00	 2.6705640646e+00	 3.1172055506e+00	-7.9593417818e-01
 4.0000000000e-01	 8.0000000000e-01	 4.2778398318e+00	 2.6545640646e+00	 2.6542175912e+00	-1.0785598937e+00
 4.0000000000e-01	 1.0000000000e+00	 4.2501270189e+00	 2.6385640646e+00	 1.9684387539e+00	-1.5347469616e+00
 5.0000000000e-01	 0.0000000000e+00	 4.4216333699e+00	 2.8415063509e+00	 2.5241426670e+00	-7.5535309346e-01
 5.0000000000e-01	 2.0000000000e-01	 4.3783320997e+00	 2.8165063509e+00	 2.7000073080e+00	-5.9728055790e-01
 5.0000000000e-01	 4.0000000000e-01	 4.3350308295e+00	 2.7915063509e+00	 2.6952517917e+00	-5.7223232472e-01
 5.0000000000e-01	 6.0000000000e-01	 4.2917295593e+00	 2.7665063509e+00	 2.5045001210e+00	-6.7483239679e-01
 5.0000000000e-01	 8.0000000000e-01	 4.2484282891e+00	 2.7415063509e+00	 2.1282702622e+00	-9.0559874055e-01
 5.0000000000e-01	 1.0000000000e+00	 4.2051270189e+00	 2.7165063509e+00	 1.5739818423e+00	-1.2719509828e+00
 5.0000000000e-01	 0.0000000000e+00	 4.4216333699e+00	 2.8415063509e+00	 2.5241426670e+00	-7.5535309346e-01
 5.0000000000e-01	 2.0000000000e-01	 4.3783320997e+00	 2.8165063509e+00	 2.7000073080e+00	-5.9728055790e-01
 5.0000000000e-01	 4.0000000000e-01	 4.3350308295e+00	 2.7915063509e+00	 2.6952517917e+00	-5.7223232472e-01
 5.0000000000e-01	 6.0000000000e-01	 4.2917295593e+00	 2.7665063509e+00	 2.5045001210e+00	-6.7483239679e-01
 5.0000000000e-01	 8.0000000000e-01	 4.2484282891e+00	 2.7415063509e+00	 2.1282702622e+00	-9.0559874055e-01
 5.0000000000e-01	 1.0000000000e+00	 4.2051270189e+00	 2.7165063509e+00	 1.5739818423e+00	-1.2719509828e+00
 6.0000000000e-01	 0.0000000000e+00	 4.4618961643e+00	 2.9917691454e+00	 2.1445794325e+00	-6.5822325696e-01
 6.0000000000e-01	 2.0000000000e-01	 4.3995423352e+00	 2.9557691454e+00	 2.2763771336e+00	-5.2455794745e-01
 6.0000000000e-01	 4.0000000000e-01	 4.3371885061e+00	 2.9197691454e+00	 2.2589614658e+00	-4.9976165815e-01
 6.0000000000e-01	 6.0000000000e-01	 4.2748346771e+00	 2.8837691454e+00	 2.0887135451e+00	-5.8021550499e-01
 6.0000000000e-01	 8.0000000000e-01	 4.2124808480e+00	 2.8477691454e+00	 1.7668563114e+00	-7.6714242799e-01
 6.0000000000e-01	 1.0000000000e+00	 4.1501270189e+00	 2.8117691454e+00	 1.3005873332e+00	-1.0677399955e+00
 7.0000000000e-01	 0.0000000000e+00	 4.5094794668e+00	 3.1693524479e+00	 1.8757452210e+00	-5.7557576167e-01
 7.0000000000e-01	 2.0000000000e-01	 4.4246089772e+00	 3.1203524479e+00	 1.9799308548e+00	-4.5175076286e-01
 7.0000000000e-01	 4.0000000000e-01	 4.3397384876e+00	 3.0713524479e+00	 1.9575785343e+00	-4.1989487689e-01
 7.0000000000e-01	 6.0000000000e-01	 4.2548679981e+00	 3.0223524479e+00	 1.8060941405e+00	-4.7741398473e-01
 7.0000000000e-01	 8.0000000000e-01	 4.1699975085e+00	 2.9733524479e+00	 1.5269906039e+00	-6.2582101678e-01
 7.0000000000e-01	 1.0000000000e+00	 4.0851270189e+00	 2.9243524479e+00	 1.1271122569e+00	-8.7196030567e-01
 8.0000000000e-01	 0.0000000000e+00	 4.5643832773e+00	 3.3742562584e+00	 1.6754543975e+00	-5.0642020341e-01
 8.0000000000e-01	 2.0000000000e-01	 4.4535320257e+00	 3.3102562584e+00	 1.7610968126e+00	-3.8584333120e-01
 8.0000000000e-01	 4.0000000000e-01	 4.3426807740e+00	 3.2462562584e+00	 1.7373141418e+00	-3.4473089067e-01
 8.0000000000e-01	 6.0000000000e-01	 4.2318295223e+00	 3.1822562584e+00	 1.6021570468e+00	-3.8113354378e-01
 8.0000000000e-01	 8.0000000000e-01	 4.1209782706e+00	 3.1182562584e+00	 1.3572379235e+00	-4.9666368625e-01
 8.0000000000e-01	 1.0000000000e+00	 4.0101270189e+00	 3.0542562584e+00	 1.0090332565e+00	-6.9779780268e-01
 9.0000000000e-01	 0.0000000000e+00	 4.6266075960e+00	 3.6064805771e+00	 1.5205286486e+00	-4.4844428021e-01
 9.0000000000e-01	 2.0000000000e-01	 4.4863114806e+00	 3.5254805771e+00	 1.5930812464e+00	-3.2796518203e-01
 9.0000000000e-01	 4.0000000000e-01	 4.3460153652e+00	 3.4444805771e+00	 1.5695613944e+00	-2.7730850998e-01
 9.0000000000e-01	 6.0000000000e-01	 4.2057192497e+00	 3.3634805771e+00	 1.4484467735e+00	-2.9495194502e-01
 9.0000000000e-01	 8.0000000000e-01	 4.0654231343e+00	 3.2824805771e+00	 1.2313539050e+00	-3.8251200848e-01
 9.0000000000e-01	 1.0000000000e+00	 3.9251270189e+00	 3.2014805771e+00	 9.2441348348e-01	-5.4611939495e-01
 1.0000000000e+00	 0.0000000000e+00	 4.6961524227e+00	 3.8660254038e+00	 1.3971772900e+00	-3.9946631059e-01
 1.0000000000e+00	 2.0000000000e-01	 4.5229473419e+00	 3.7660254038e+00	 1.4601432264e+00	-2.7755435625e-01
 1.0000000000e+00	 4.0000000000e-01	 4.3497422612e+00	 3.6660254038e+00	 1.4377293038e+00	-2.1779160536e-01
 1.0000000000e+00	 6.0000000000e-01	 4.1765371804e+00	 3.5660254038e+00	 1.3287051691e+00	-2.1894770503e-01
 1.0000000000e+00	 8.0000000000e-01	 4.0033320997e+00	 3.4660254038e+00	 1.1346396728e+00	-2.8259150556e-01
 1.0000000000e+00	 1.0000000000e+00	 3.8301270189e+00	 3.3660254038e+00	 8.6134797825e-01	-4.1453817048e-01
 0.0000000000e+00	 0.0000000000e+00	 4.3301270189e+00	 2.5000000000e+00	 1.1519101434e+00	 5.6481983226e-02
 0.0000000000e+00	 2.0000000000e-01	 4.3301270189e+00	 2.5000000000e+00	-2.7704342865e+15	-7.0581589993e+15
 0.0000000000e+00	 4.0000000000e-01	 4.3301270189e+00	 2.5000000000e+00	-9.1699903111e+13	-2.2506534467e+15
 0.0000000000e+00	 6.0000000000e-01	 4.3301270189e+00	 2.5000000000e+00	 1.1519101434e+00	 5.6481983226e-02
 0.0000000000e+00	 8.0000000000e-01	 4.3301270189e+00	 2.5000000000e+00	-2.6541161220e+15	-6.5719481160e+15
 0.0000000000e+00	 1.0000000000e+00	 4.3301270189e+00	 2.5000000000e+00	 1.1519101434e+00	 5.6481983226e-02
 1.0000000000e-01	 0.0000000000e+00	 4.3251270189e+00	 2.5086602540e+00	 9.0981911214e+00	-3.4921410908e+00
 1.0000000000e-01	 2.0000000000e-01	 4.3233949681e+00	 2.5076602540e+00	 6.2620159511e+00	-4.0531740662e+00
 1.0000000000e-01	 4.0000000000e-01	 4.3216629173e+00	 2.5066602540e+00	 3.9099258392e+00	-4.3612098832e+00
 1.0000000000e-01	 6.0000000000e-01	 4.3199308665e+00	 2.5056602540e+00	 2.0428916679e+00	-4.4172194241e+00
 1.0000000000e-01	 8.0000000000e-01	 4.3181988157e+00	 2.5046602540e+00	 6.7837214724e-01	-4.2386613989e+00
 1.0000000000e-01	 1.0000000000e+00	 4.3164667649e+00	 2.5036602540e+00	-1.2220927653e-01	-3.8869592539e+00
 2.0000000000e-01	 0.0000000000e+00	 4.3101270189e+00	 2.5346410162e+00	 4.5540098245e+00	-1.8256184505e+00
 2.0000000000e-01	 2.0000000000e-01	 4.3031988157e+00	 2.5306410162e+00	 3.1157379441e+00	-2.1089620498e+00
 2.0000000000e-01	 4.0000000000e-01	 4.2962706125e+00	 2.5266410162e+00	 1.9313910899e+00	-2.2616703988e+00
 2.0000000000e-01	 6.0000000000e-01	 4.2893424092e+00	 2.5226410162e+00	 1.0021882328e+00	-2.2849624684e+00
 2.0000000000e-01	 8.0000000000e-01	 4.2824142060e+00	 2.5186410162e+00	 3.3823812906e-01	-2.1889470152e+00
 2.0000000000e-01	 1.0000000000e+00	 4.2754860028e+00	 2.5146410162e+00	-2.8408771332e-02	-2.0056744888e+00
 3.0000000000e-01	 0.0000000000e+00	 4.2851270189e+00	 2.5779422863e+00	 3.0467593958e+00	-1.2372606466e+00
 3.0000000000e-01	 2.0000000000e-01	 4.2695385617e+00	 2.5689422863e+00	 2.0868580758e+00	-1.4181686741e+00
 3.0000000000e-01	 4.0000000000e-01	 4.2539501044e+00	 2.5599422863e+00	 1.2987313467e+00	-1.5117232590e+00
 3.0000000000e-01	 6.0000000000e-01	 4.2383616471e+00	 2.5509422863e+00	 6.8378412499e-01	-1.5193293180e+00
 3.0000000000e-01	 8.0000000000e-01	 4.2227731898e+00	 2.5419422863e+00	 2.4995971213e-01	-1.4489301525e+00
 3.0000000000e-01	 1.0000000000e+00	 4.2071847326e+00	 2.5329422863e+00	 2.0556896581e-02	-1.3238245511e+00
 4.0000000000e-01	 0.0000000000e+00	 4.2501270189e+00	 2.6385640646e+00	 2.2951691642e+00	-9.3733406519e-01
 4.0000000000e-01	 2.0000000000e-01	 4.2224142060e+00	 2.6225640646e+00	 1.5768535735e+00	-1.0652022228e+00
 4.0000000000e-01	 4.0000000000e-01	 4.1947013931e+00	 2.6065640646e+00	 9.8825182599e-01	-1.1278589279e+00
 4.0000000000e-01	 6.0000000000e-01	 4.1669885802e+00	 2.5905640646e+00	 5.3090851230e-01	-1.1268487712e+00
 4.0000000000e-01	 8.0000000000e-01	 4.1392757672e+00	 2.5745640646e+00	 2.1178347691e-01	-1.0691315972e+00
 4.0000000000e-01	 1.0000000000e+00	 4.1115629543e+00	 2.5585640646e+00	 4.9981918532e-02	-9.7381260445e-01
 5.0000000000e-01	 0.0000000000e+00	 4.2051270189e+00	 2.7165063509e+00	 1.8453099609e+00	-7.5578689882e-01
 5.0000000000e-01	 2.0000000000e-01	 4.1618257487e+00	 2.6915063509e+00	 1.2727649824e+00	-8.5126063266e-01
 5.0000000000e-01	 4.0000000000e-01	 4.1185244785e+00	 2.6665063509e+00	 8.0440444793e-01	-8.9499202594e-01
 5.0000000000e-01	 6.0000000000e-01	 4.0752232084e+00	 2.6415063509e+00	 4.4189025074e-01	-8.8864297183e-01
 5.0000000000e-01	 8.0000000000e-01	 4.0319219382e+00	 2.6165063509e+00	 1.9165260807e-01	-8.3864368759e-01
 5.0000000000e-01	 1.0000000000e+00	 3.9886206680e+00	 2.5915063509e+00	 7.0320511764e-02	-7.6162316510e-01
 5.0000000000e-01	 0.0000000000e+00	 4.2051270189e+00	 2.7165063509e+00	 1.8453099609e+00	-7.5578689882e-01
 5.0000000000e-01	 2.0000000000e-01	 4.1618257487e+00	 2.6915063509e+00	 1.2727649824e+00	-8.5126063266e-01
 5.0000000000e-01	 4.0000000000e-01	 4.1185244785e+00	 2.6665063509e+00	 8.0440444793e-01	-8.9499202594e-01
 5.0000000000e-01	 6.0000000000e-01	 4.0752232084e+00	 2.6415063509e+00	 4.4189025074e-01	-8.8864297183e-01
 5.0000000000e-01	 8.0000000000e-01	 4.0319219382e+00	 2.6165063509e+00	 1.9165260807e-01	-8.3864368759e-01
 5.0000000000e-01	 1.0000000000e+00	 3.9886206680e+00	 2.5915063509e+00	 7.0320511764e-02	-7.6162316510e-01
 6.0000000000e-01	 0.0000000000e+00	 4.1501270189e+00	 2.8117691454e+00	 1.5241951920e+00	-6.3059094865e-01
 6.0000000000e-01	 2.0000000000e-01	 4.0877731898e+00	 2.7757691454e+00	 1.0455040244e+00	-7.1038851190e-01
 6.0000000000e-01	 4.0000000000e-01	 4.0254193608e+00	 2.7397691454e+00	 6.5347132849e-01	-7.4717294774e-01
 6.0000000000e-01	 6.0000000000e-01	 3.9630655317e+00	 2.7037691454e+00	 3.4956235330e-01	-7.4240950505e-01
 6.0000000000e-01	 8.0000000000e-01	 3.9007117026e+00	 2.6677691454e+00	 1.3960135902e-01	-7.0192244406e-01
 6.0000000000e-01	 1.0000000000e+00	 3.8383578736e+00	 2.6317691454e+00	 3.8842822801e-02	-6.4096624192e-01
 7.0000000000e-01	 0.0000000000e+00	 4.0851270189e+00	 2.9243524479e+00	 1.3033337970e+00	-5.2234605208e-01
 7.0000000000e-01	 2.0000000000e-01	 4.0002565294e+00	 2.8753524479e+00	 8.9027935168e-01	-5.9478420104e-01
 7.0000000000e-01	 4.0000000000e-01	 3.9153860398e+00	 2.8263524479e+00	 5.5152099181e-01	-6.3066669742e-01
 7.0000000000e-01	 6.0000000000e-01	 3.8305155502e+00	 2.7773524479e+00	 2.8845877939e-01	-6.3139360328e-01
 7.0000000000e-01	 8.0000000000e-01	 3.7456450606e+00	 2.7283524479e+00	 1.0647926778e-01	-6.0235147198e-01
 7.0000000000e-01	 1.0000000000e+00	 3.6607745711e+00	 2.6793524479e+00	 1.9394310540e-02	-5.5735215707e-01
 8.0000000000e-01	 0.0000000000e+00	 4.0101270189e+00	 3.0542562584e+00	 1.1425455100e+00	-4.3094410452e-01
 8.0000000000e-01	 2.0000000000e-01	 3.8992757672e+00	 2.9902562584e+00	 7.7798063852e-01	-4.9997193740e-01
 8.0000000000e-01	 4.0000000000e-01	 3.7884245156e+00	 2.9262562584e+00	 4.7852471729e-01	-5.3741082079e-01
 8.0000000000e-01	 6.0000000000e-01	 3.6775732639e+00	 2.8622562584e+00	 2.4557562155e-01	-5.4465862989e-01
 8.0000000000e-01	 8.0000000000e-01	 3.5667220122e+00	 2.7982562584e+00	 8.4181206772e-02	-5.2676322017e-01
 8.0000000000e-01	 1.0000000000e+00	 3.4558707605e+00	 2.7342562584e+00	 6.7391236853e-03	-4.9612224237e-01
 9.0000000000e-01	 0.0000000000e+00	 3.9251270189e+00	 3.2014805771e+00	 1.0205453675e+00	-3.5386054241e-01
 9.0000000000e-01	 2.0000000000e-01	 3.7848309035e+00	 3.1204805771e+00	 6.9328074659e-01	-4.2149685308e-01
 9.0000000000e-01	 4.0000000000e-01	 3.6445347881e+00	 3.0394805771e+00	 4.2403078941e-01	-4.6148488392e-01
 9.0000000000e-01	 6.0000000000e-01	 3.5042386727e+00	 2.9584805771e+00	 2.1422066584e-01	-4.7524980477e-01
 9.0000000000e-01	 8.0000000000e-01	 3.3639425573e+00	 2.8774805771e+00	 6.8613740595e-02	-4.6755498037e-01
 9.0000000000e-01	 1.0000000000e+00	 3.2236464419e+00	 2.7964805771e+00	-1.7563128049e-03	-4.4943408421e-01
 1.0000000000e+00	 0.0000000000e+00	 3.8301270189e+00	 3.3660254038e+00	 9.2502828937e-01	-2.8847207999e-01
