1	10	10
21	21	2	2
 1.0197e+00	 6.0864e-01	-3.9461e-05	 5.8584e-05	 7.0635e-05
 9.6642e-01	 6.9007e-01	-3.5526e-05	 6.7651e-05	 7.6412e-05
 9.0626e-01	 7.6737e-01	-3.1280e-05	 7.6760e-05	 8.2889e-05
 8.3969e-01	 8.3969e-01	-2.6959e-05	 8.5948e-05	 9.0077e-05
 7.6737e-01	 9.0626e-01	-2.2838e-05	 9.5050e-05	 9.7756e-05
 6.9007e-01	 9.6642e-01	-1.9073e-05	 1.0367e-04	 1.0541e-04
 6.0864e-01	 1.0197e+00	-1.5714e-05	 1.1136e-04	 1.1246e-04
 5.2401e-01	 1.0656e+00	-1.2722e-05	 1.1797e-04	 1.1865e-04
 4.3711e-01	 1.1041e+00	-1.0026e-05	 1.2363e-04	 1.2404e-04
 3.4890e-01	 1.1351e+00	-7.5617e-06	 1.2854e-04	 1.2877e-04
 2.6028e-01	 1.1586e+00	-5.3139e-06	 1.3265e-04	 1.3276e-04
 1.7209e-01	 1.1750e+00	-3.3089e-06	 1.3564e-04	 1.3568e-04
 8.5107e-02	 1.1844e+00	-1.5439e-06	 1.3728e-04	 1.3729e-04
 0.0000e+00	 1.1875e+00	 0.0000e+00	 1.3747e-04	 1.3747e-04
 1.2500e+00	 0.0000e+00	-5.5669e-05	 0.0000e+00	 5.5669e-05
 1.2468e+00	 8.9587e-02	-5.5463e-05	 7.2051e-06	 5.5929e-05
 1.2368e+00	 1.8115e-01	-5.4432e-05	 1.4626e-05	 5.6363e-05
 1.2196e+00	 2.7398e-01	-5.2573e-05	 2.2303e-05	 5.7108e-05
 1.1948e+00	 3.6726e-01	-4.9980e-05	 3.0318e-05	 5.8457e-05
 1.1622e+00	 4.6012e-01	-4.6839e-05	 3.8742e-05	 6.0785e-05
 1.1217e+00	 5.5158e-01	-4.3262e-05	 4.7525e-05	 6.4267e-05
 1.0733e+00	 6.4067e-01	-3.9325e-05	 5.6544e-05	 6.8874e-05
 1.0173e+00	 7.2639e-01	-3.5042e-05	 6.5668e-05	 7.4433e-05
 9.5395e-01	 8.0776e-01	-3.0491e-05	 7.4891e-05	 8.0860e-05
 8.8388e-01	 8.8388e-01	-2.5933e-05	 8.4186e-05	 8.8089e-05
 8.0776e-01	 9.5395e-01	-2.1635e-05	 9.3393e-05	 9.5866e-05
 7.2639e-01	 1.0173e+00	-1.7746e-05	 1.0215e-04	 1.0368e-04
 6.4067e-01	 1.0733e+00	-1.4324e-05	 1.1005e-04	 1.1097e-04
 5.5158e-01	 1.1217e+00	-1.1326e-05	 1.1700e-04	 1.1755e-04
 4.6012e-01	 1.1622e+00	-8.6898e-06	 1.2314e-04	 1.2344e-04
 3.6726e-01	 1.1948e+00	-6.3809e-06	 1.2846e-04	 1.2861e-04
 2.7398e-01	 1.2196e+00	-4.3757e-06	 1.3285e-04	 1.3293e-04
 1.8115e-01	 1.2368e+00	-2.6727e-06	 1.3601e-04	 1.3604e-04
 8.9587e-02	 1.2468e+00	-1.2328e-06	 1.3773e-04	 1.3773e-04
 0.0000e+00	 1.2500e+00	 0.0000e+00	 1.3797e-04	 1.3797e-04
 1.3125e+00	 0.0000e+00	-5.6996e-05	 0.0000e+00	 5.6996e-05
 1.3091e+00	 9.4066e-02	-5.6718e-05	 6.9329e-06	 5.7140e-05
 1.2986e+00	 1.9021e-01	-5.5627e-05	 1.4089e-05	 5.7384e-05
 1.2806e+00	 2.8768e-01	-5.3675e-05	 2.1505e-05	 5.7822e-05
 1.2546e+00	 3.8563e-01	-5.0928e-05	 2.9277e-05	 5.8744e-05
 1.2203e+00	 4.8312e-01	-4.7554e-05	 3.7504e-05	 6.0563e-05
 1.1778e+00	 5.7916e-01	-4.3673e-05	 4.6165e-05	 6.3549e-05
 1.1270e+00	 6.7271e-01	-3.9391e-05	 5.5165e-05	 6.7785e-05
 1.0681e+00	 7.6271e-01	-3.4798e-05	 6.4366e-05	 7.3170e-05
 1.0017e+00	 8.4815e-01	-3.0016e-05	 7.3677e-05	 7.9557e-05
 9.2808e-01	 9.2808e-01	-2.5299e-05	 8.3030e-05	 8.6798e-05
 8.4815e-01	 1.0017e+00	-2.0881e-05	 9.2284e-05	 9.4617e-05
 7.6271e-01	 1.0681e+00	-1.6888e-05	 1.0115e-04	 1.0255e-04
 6.7271e-01	 1.1270e+00	-1.3376e-05	 1.0930e-04	 1.1012e-04
 5.7916e-01	 1.1778e+00	-1.0329e-05	 1.1663e-04	 1.1709e-04
 4.8312e-01	 1.2203e+00	-7.7185e-06	 1.2311e-04	 1.2335e-04
 3.8563e-01	 1.2546e+00	-5.5183e-06	 1.2869e-04	 1.2881e-04
 2.8768e-01	 1.2806e+00	-3.7007e-06	 1.3323e-04	 1.3329e-04
 1.9021e-01	 1.2986e+00	-2.2325e-06	 1.3646e-04	 1.3648e-04
 9.4066e-02	 1.3091e+00	-1.0318e-06	 1.3821e-04	 1.3821e-04
 0.0000e+00	 1.3125e+00	 0.0000e+00	 1.3854e-04	 1.3854e-04
 1.3750e+00	 0.0000e+00	-5.8089e-05	 0.0000e+00	 5.8089e-05
 1.3715e+00	 9.8545e-02	-5.7744e-05	 6.7688e-06	 5.8140e-05
 1.3605e+00	 1.9926e-01	-5.6621e-05	 1.3768e-05	 5.8271e-05
 1.3416e+00	 3.0138e-01	-5.4626e-05	 2.1026e-05	 5.8533e-05
 1.3143e+00	 4.0399e-01	-5.1793e-05	 2.8647e-05	 5.9187e-05
 1.2785e+00	 5.0613e-01	-4.8264e-05	 3.6737e-05	 6.0655e-05
 1.2339e+00	 6.0674e-01	-4.4177e-05	 4.5310e-05	 6.3282e-05
 1.1807e+00	 7.0474e-01	-3.9649e-05	 5.4303e-05	 6.7238e-05
 1.1190e+00	 7.9902e-01	-3.4779e-05	 6.3584e-05	 7.2474e-05
 1.0493e+00	 8.8853e-01	-2.9810e-05	 7.2971e-05	 7.8825e-05
 9.7227e-01	 9.7227e-01	-2.4987e-05	 8.2354e-05	 8.6062e-05
 8.8853e-01	 1.0493e+00	-2.0488e-05	 9.1634e-05	 9.3896e-05
 7.9902e-01	 1.1190e+00	-1.6401e-05	 1.0063e-04	 1.0196e-04
 7.0474e-01	 1.1807e+00	-1.2780e-05	 1.0907e-04	 1.0981e-04
 6.0674e-01	 1.2339e+00	-9.6741e-06	 1.1667e-04	 1.1707e-04
 5.0613e-01	 1.2785e+00	-7.0635e-06	 1.2338e-04	 1.2358e-04
 4.0399e-01	 1.3143e+00	-4.9290e-06	 1.2912e-04	 1.2922e-04
 3.0138e-01	 1.3416e+00	-3.2464e-06	 1.3372e-04	 1.3376e-04
