xi	eta	x	y	stress_r	stress_theta
 2.0000000000e-01	 2.0000000000e-01	 1.2426222199e+00	 3.8195551902e-01	 1.7332716152e+01	 2.3007200035e+00
 2.0000000000e-01	 2.5000000000e-01	 1.2087247914e+00	 4.7852312243e-01	 1.6885471200e+01	 1.7504300606e+00
 2.0000000000e-01	 3.0000000000e-01	 1.1665883450e+00	 5.7364765607e-01	 1.6136187427e+01	 1.1377532716e+00
 2.0000000000e-01	 3.5000000000e-01	 1.1162641870e+00	 6.6629893056e-01	 1.5146461370e+01	 5.6257194975e-01
 2.0000000000e-01	 4.0000000000e-01	 1.0579738469e+00	 7.5544115544e-01	 1.4025739662e+01	-4.7679360946e-03
 2.0000000000e-01	 4.5000000000e-01	 9.9211169340e-01	 8.4006808521e-01	 1.2773698520e+01	-7.1216017704e-01
 2.0000000000e-01	 5.0000000000e-01	 9.1923881553e-01	 9.1923881553e-01	 1.1512645683e+01	-1.4237572338e+00
 2.5000000000e-01	 0.0000000000e+00	 1.3750000000e+00	 0.0000000000e+00	 1.7212588531e+01	 3.9125806167e+00
 2.5000000000e-01	 5.0000000000e-02	 1.3714641145e+00	 9.8545332974e-02	 1.7131684373e+01	 3.9555853906e+00
 2.5000000000e-01	 1.0000000000e-01	 1.3604847444e+00	 1.9926429741e-01	 1.6905548337e+01	 3.6296670257e+00
 2.5000000000e-01	 1.5000000000e-01	 1.3415653398e+00	 3.0137591005e-01	 1.6637254332e+01	 3.0746002973e+00
 2.5000000000e-01	 2.0000000000e-01	 1.3143119634e+00	 4.0399141435e-01	 1.6448183459e+01	 2.4300504516e+00
 2.5000000000e-01	 2.5000000000e-01	 1.2784589140e+00	 5.0613022564e-01	 1.6108253218e+01	 1.6739126017e+00
 2.5000000000e-01	 3.0000000000e-01	 1.2338915187e+00	 6.0674271315e-01	 1.5554395441e+01	 8.5005973314e-01
 2.5000000000e-01	 3.5000000000e-01	 1.1806640439e+00	 7.0473925348e-01	 1.4846241245e+01	 8.3880607414e-02
 2.5000000000e-01	 4.0000000000e-01	 1.1190107996e+00	 7.9902429902e-01	 1.4053677095e+01	-5.0213815789e-01
 2.5000000000e-01	 4.5000000000e-01	 1.0493489065e+00	 8.8853355166e-01	 1.3018687313e+01	-1.1080014530e+00
 2.5000000000e-01	 5.0000000000e-01	 9.7227182412e-01	 9.7227182412e-01	 1.1913650840e+01	-1.7740462153e+00
 3.0000000000e-01	 0.0000000000e+00	 1.4500000000e+00	 0.0000000000e+00	 1.6302545176e+01	 4.1781753682e+00
 3.0000000000e-01	 5.0000000000e-02	 1.4462712480e+00	 1.0392053295e-01	 1.6281834336e+01	 4.2012756140e+00
 3.0000000000e-01	 1.0000000000e-01	 1.4346930032e+00	 2.1013325909e-01	 1.6133134903e+01	 3.8600843816e+00
 3.0000000000e-01	 1.5000000000e-01	 1.4147416310e+00	 3.1781459605e-01	 1.5943832712e+01	 3.2687349548e+00
 3.0000000000e-01	 2.0000000000e-01	 1.3860017069e+00	 4.2602730968e-01	 1.5805285875e+01	 2.5437313170e+00
 3.0000000000e-01	 2.5000000000e-01	 1.3481930365e+00	 5.3373732886e-01	 1.5524440973e+01	 1.6693781760e+00
 3.0000000000e-01	 3.0000000000e-01	 1.3011946925e+00	 6.3983777023e-01	 1.5107884318e+01	 7.2780565337e-01
 3.0000000000e-01	 3.5000000000e-01	 1.2450639008e+00	 7.4317957640e-01	 1.4615828898e+01	-1.2658792875e-01
 3.0000000000e-01	 4.0000000000e-01	 1.1800477523e+00	 8.4260744260e-01	 1.3972689214e+01	-8.2391049401e-01
 3.0000000000e-01	 4.5000000000e-01	 1.1065861196e+00	 9.3699901811e-01	 1.3093324960e+01	-1.4314294085e+00
 3.0000000000e-01	 5.0000000000e-01	 1.0253048327e+00	 1.0253048327e+00	 1.2127393984e+01	-2.0153796146e+00
 3.5000000000e-01	 0.0000000000e+00	 1.5250000000e+00	 0.0000000000e+00	 1.5539780311e+01	 4.2252006459e+00
 3.5000000000e-01	 5.0000000000e-02	 1.5210783815e+00	 1.0929573294e-01	 1.5545494887e+01	 4.1865647265e+00
 3.5000000000e-01	 1.0000000000e-01	 1.5089012620e+00	 2.2100222076e-01	 1.5471898831e+01	 3.8658334198e+00
 3.5000000000e-01	 1.5000000000e-01	 1.4879179223e+00	 3.3425328205e-01	 1.5372276183e+01	 3.3266281177e+00
 3.5000000000e-01	 2.0000000000e-01	 1.4576914503e+00	 4.4806320501e-01	 1.5273069485e+01	 2.6148660991e+00
 3.5000000000e-01	 2.5000000000e-01	 1.4179271591e+00	 5.6134443207e-01	 1.5035937779e+01	 1.7100773702e+00
 3.5000000000e-01	 3.0000000000e-01	 1.3684978662e+00	 6.7293282731e-01	 1.4723251990e+01	 7.2796876749e-01
 3.5000000000e-01	 3.5000000000e-01	 1.3094637578e+00	 7.8161989931e-01	 1.4385846742e+01	-1.4746886590e-01
 3.5000000000e-01	 4.0000000000e-01	 1.2410847050e+00	 8.8619058619e-01	 1.3835881187e+01	-8.9977689752e-01
 3.5000000000e-01	 4.5000000000e-01	 1.1638233326e+00	 9.8546448457e-01	 1.3051568816e+01	-1.5859167286e+00
 3.5000000000e-01	 5.0000000000e-01	 1.0783378413e+00	 1.0783378413e+00	 1.2189039622e+01	-2.1398865868e+00
 4.0000000000e-01	 0.0000000000e+00	 1.6000000000e+00	 0.0000000000e+00	 1.4819920527e+01	 4.0340102572e+00
 4.0000000000e-01	 5.0000000000e-02	 1.5958855150e+00	 1.1467093292e-01	 1.4836956948e+01	 3.9418654827e+00
 4.0000000000e-01	 1.0000000000e-01	 1.5831095208e+00	 2.3187118244e-01	 1.4830978349e+01	 3.6587063488e+00
 4.0000000000e-01	 1.5000000000e-01	 1.5610942135e+00	 3.5069196806e-01	 1.4827535887e+01	 3.2132457063e+00
 4.0000000000e-01	 2.0000000000e-01	 1.5293811938e+00	 4.7009910034e-01	 1.4793314129e+01	 2.6038948214e+00
 4.0000000000e-01	 2.5000000000e-01	 1.4876612817e+00	 5.8895153529e-01	 1.4613643775e+01	 1.7631583111e+00
 4.0000000000e-01	 3.0000000000e-01	 1.4358010400e+00	 7.0602788439e-01	 1.4382368816e+01	 7.8905948479e-01
 4.0000000000e-01	 3.5000000000e-01	 1.3738636147e+00	 8.2006022223e-01	 1.4131717695e+01	-8.6291623478e-02
 4.0000000000e-01	 4.0000000000e-01	 1.3021216577e+00	 9.2977372977e-01	 1.3657160892e+01	-8.4558238674e-01
 4.0000000000e-01	 4.5000000000e-01	 1.2210605457e+00	 1.0339299510e+00	 1.2963790352e+01	-1.5561937821e+00
 4.0000000000e-01	 5.0000000000e-01	 1.1313708499e+00	 1.1313708499e+00	 1.2168361620e+01	-2.1678057426e+00
 4.5000000000e-01	 0.0000000000e+00	 1.6750000000e+00	 0.0000000000e+00	 1.4100854248e+01	 3.5895982292e+00
 4.5000000000e-01	 5.0000000000e-02	 1.6706926486e+00	 1.2004613290e-01	 1.4124464366e+01	 3.4638123020e+00
 4.5000000000e-01	 1.0000000000e-01	 1.6573177796e+00	 2.4274014412e-01	 1.4177714155e+01	 3.2240360305e+00
 4.5000000000e-01	 1.5000000000e-01	 1.6342705048e+00	 3.6713065406e-01	 1.4268823636e+01	 2.8801187931e+00
 4.5000000000e-01	 2.0000000000e-01	 1.6010709372e+00	 4.9213499567e-01	 1.4314220481e+01	 2.4002713952e+00
 4.5000000000e-01	 2.5000000000e-01	 1.5573954043e+00	 6.1655863851e-01	 1.4223592844e+01	 1.7041691192e+00
 4.5000000000e-01	 3.0000000000e-01	 1.5031042137e+00	 7.3912294147e-01	 1.4085350497e+01	 8.2637116510e-01
 4.5000000000e-01	 3.5000000000e-01	 1.4382634717e+00	 8.5850054515e-01	 1.3849893468e+01	-5.6609243616e-02
 4.5000000000e-01	 4.0000000000e-01	 1.3631586104e+00	 9.7335687335e-01	 1.3448582122e+01	-7.7869171674e-01
 4.5000000000e-01	 4.5000000000e-01	 1.2782977588e+00	 1.0823954175e+00	 1.2867668349e+01	-1.4554007269e+00
 4.5000000000e-01	 5.0000000000e-01	 1.1844038585e+00	 1.1844038585e+00	 1.2089433297e+01	-2.1417750966e+00
 5.0000000000e-01	 0.0000000000e+00	 1.7500000000e+00	 0.0000000000e+00	 1.3352602518e+01	 2.8788649204e+00
 5.0000000000e-01	 5.0000000000e-02	 1.7454997821e+00	 1.2542133288e-01	 1.3384579091e+01	 2.7420306868e+00
 5.0000000000e-01	 1.0000000000e-01	 1.7315260383e+00	 2.5360910580e-01	 1.3481903630e+01	 2.5322586913e+00
 5.0000000000e-01	 1.5000000000e-01	 1.7074467961e+00	 3.8356934006e-01	 1.3651966455e+01	 2.2685835420e+00
 5.0000000000e-01	 2.0000000000e-01	 1.6727606807e+00	 5.1417089099e-01	 1.3775457229e+01	 1.9147754667e+00
 5.0000000000e-01	 2.5000000000e-01	 1.6271295269e+00	 6.4416574173e-01	 1.3787502984e+01	 1.3866254962e+00
 5.0000000000e-01	 3.0000000000e-01	 1.5704073875e+00	 7.7221799856e-01	 1.3757751313e+01	 6.5892445687e-01
 5.0000000000e-01	 3.5000000000e-01	 1.5026633286e+00	 8.9694086807e-01	 1.3528221948e+01	-1.7476831593e-01
 5.0000000000e-01	 4.0000000000e-01	 1.4241955631e+00	 1.0169400169e+00	 1.3216028541e+01	-8.0362970224e-01
 5.0000000000e-01	 4.5000000000e-01	 1.3355349719e+00	 1.1308608839e+00	 1.2793119015e+01	-1.3723794441e+00
 5.0000000000e-01	 5.0000000000e-01	 1.2374368671e+00	 1.2374368671e+00	 1.2038078950e+01	-2.0727494853e+00
 0.0000000000e+00	 5.0000000000e-01	 7.0710678119e-01	 7.0710678119e-01	 1.0645492701e+01	 7.8332101578e-01
 0.0000000000e+00	 5.5000000000e-01	 6.4620621940e-01	 7.6316284108e-01	 7.6947799664e+00	 8.5435776373e-01
 0.0000000000e+00	 6.0000000000e-01	 5.8110858112e-01	 8.1382603605e-01	 4.6800407216e+00	 8.3663932497e-01
