1	10	10
21	21	2	2
 1.0519e+00	 6.2786e-01	-3.9376e-05	 5.7585e-05	 6.9761e-05
 9.9694e-01	 7.1186e-01	-3.5153e-05	 6.6781e-05	 7.5468e-05
 9.3487e-01	 7.9160e-01	-3.0806e-05	 7.5966e-05	 8.1975e-05
 8.6621e-01	 8.6621e-01	-2.6501e-05	 8.5106e-05	 8.9137e-05
 7.9160e-01	 9.3487e-01	-2.2381e-05	 9.4109e-05	 9.6734e-05
 7.1186e-01	 9.9694e-01	-1.8530e-05	 1.0273e-04	 1.0439e-04
 6.2786e-01	 1.0519e+00	-1.5017e-05	 1.1068e-04	 1.1169e-04
 5.4055e-01	 1.0993e+00	-1.1873e-05	 1.1773e-04	 1.1833e-04
 4.5092e-01	 1.1390e+00	-9.1005e-06	 1.2387e-04	 1.2420e-04
 3.5992e-01	 1.1709e+00	-6.6943e-06	 1.2907e-04	 1.2924e-04
 2.6850e-01	 1.1952e+00	-4.6338e-06	 1.3328e-04	 1.3336e-04
 1.7753e-01	 1.2121e+00	-2.8745e-06	 1.3632e-04	 1.3635e-04
 8.7795e-02	 1.2218e+00	-1.3512e-06	 1.3805e-04	 1.3806e-04
 0.0000e+00	 1.2250e+00	 0.0000e+00	 1.3834e-04	 1.3834e-04
 1.3000e+00	 0.0000e+00	-5.7093e-05	 0.0000e+00	 5.7093e-05
 1.2967e+00	 9.3170e-02	-5.6808e-05	 6.9688e-06	 5.7234e-05
 1.2863e+00	 1.8840e-01	-5.5685e-05	 1.4138e-05	 5.7452e-05
 1.2684e+00	 2.8494e-01	-5.3754e-05	 2.1589e-05	 5.7927e-05
 1.2426e+00	 3.8196e-01	-5.1069e-05	 2.9430e-05	 5.8942e-05
 1.2087e+00	 4.7852e-01	-4.7718e-05	 3.7750e-05	 6.0845e-05
 1.1666e+00	 5.7365e-01	-4.3795e-05	 4.6507e-05	 6.3882e-05
 1.1163e+00	 6.6630e-01	-3.9439e-05	 5.5593e-05	 6.8162e-05
 1.0580e+00	 7.5544e-01	-3.4846e-05	 6.4854e-05	 7.3623e-05
 9.9211e-01	 8.4007e-01	-3.0191e-05	 7.4172e-05	 8.0081e-05
 9.1924e-01	 9.1924e-01	-2.5622e-05	 8.3456e-05	 8.7301e-05
 8.4007e-01	 9.9211e-01	-2.1284e-05	 9.2624e-05	 9.5038e-05
 7.5544e-01	 1.0580e+00	-1.7258e-05	 1.0145e-04	 1.0290e-04
 6.6630e-01	 1.1163e+00	-1.3636e-05	 1.0968e-04	 1.1053e-04
 5.7365e-01	 1.1666e+00	-1.0470e-05	 1.1714e-04	 1.1761e-04
 4.7852e-01	 1.2087e+00	-7.7777e-06	 1.2367e-04	 1.2391e-04
 3.8196e-01	 1.2426e+00	-5.5445e-06	 1.2918e-04	 1.2930e-04
 2.8494e-01	 1.2684e+00	-3.7368e-06	 1.3359e-04	 1.3365e-04
 1.8840e-01	 1.2863e+00	-2.2800e-06	 1.3677e-04	 1.3679e-04
 9.3170e-02	 1.2967e+00	-1.0685e-06	 1.3858e-04	 1.3858e-04
 0.0000e+00	 1.3000e+00	 0.0000e+00	 1.3894e-04	 1.3894e-04
 1.3750e+00	 0.0000e+00	-5.8389e-05	 0.0000e+00	 5.8389e-05
 1.3715e+00	 9.8545e-02	-5.8038e-05	 6.7573e-06	 5.8430e-05
 1.3605e+00	 1.9926e-01	-5.6856e-05	 1.3722e-05	 5.8489e-05
 1.3416e+00	 3.0138e-01	-5.4848e-05	 2.0966e-05	 5.8718e-05
 1.3143e+00	 4.0399e-01	-5.2052e-05	 2.8604e-05	 5.9393e-05
 1.2785e+00	 5.0613e-01	-4.8537e-05	 3.6733e-05	 6.0870e-05
 1.2339e+00	 6.0674e-01	-4.4391e-05	 4.5347e-05	 6.3458e-05
 1.1807e+00	 7.0474e-01	-3.9765e-05	 5.4385e-05	 6.7371e-05
 1.1190e+00	 7.9902e-01	-3.4883e-05	 6.3725e-05	 7.2648e-05
