xi	eta	x	y	stress_r	stress_theta
 2.2222222222e-02	 5.5555555556e-02	 1.0189671690e+00	 8.1511840305e-02	 2.8954277218e+01	 5.9127701536e-01
 2.2222222222e-02	 6.6666666667e-02	 1.0175071531e+00	 9.8068674862e-02	 2.8875352402e+01	 6.0617894197e-01
 2.2222222222e-02	 7.7777777778e-02	 1.0157671841e+00	 1.1469655337e-01	 2.8760101245e+01	 6.0980952069e-01
 2.2222222222e-02	 8.8888888889e-02	 1.0137431448e+00	 1.3138914734e-01	 2.8609793691e+01	 6.0558584521e-01
 2.2222222222e-02	 1.0000000000e-01	 1.0114310827e+00	 1.4813992211e-01	 2.8425733951e+01	 5.9674391451e-01
 2.2222222222e-02	 1.1111111111e-01	 1.0088272210e+00	 1.6494214098e-01	 2.8209238352e+01	 5.8625216717e-01
 3.3333333333e-02	 5.5555555556e-02	 1.0300428991e+00	 8.2397838570e-02	 2.8252588457e+01	 8.6367309574e-01
 3.3333333333e-02	 6.6666666667e-02	 1.0285670135e+00	 9.9134638719e-02	 2.8179784288e+01	 8.7863922169e-01
 3.3333333333e-02	 7.7777777778e-02	 1.0268081317e+00	 1.1594325504e-01	 2.8069814365e+01	 8.8090040904e-01
 3.3333333333e-02	 8.8888888889e-02	 1.0247620920e+00	 1.3281729024e-01	 2.7924075913e+01	 8.7427599000e-01
 3.3333333333e-02	 1.0000000000e-01	 1.0224248988e+00	 1.4975013866e-01	 2.7743996832e+01	 8.6239708217e-01
 3.3333333333e-02	 1.1111111111e-01	 1.0197927342e+00	 1.6673499033e-01	 2.7531011334e+01	 8.4861255387e-01
 4.4444444444e-02	 5.5555555556e-02	 1.0411186292e+00	 8.3283836834e-02	 2.7594854100e+01	 1.1344412532e+00
 4.4444444444e-02	 6.6666666667e-02	 1.0396268738e+00	 1.0020060258e-01	 2.7527171979e+01	 1.1471779305e+00
 4.4444444444e-02	 7.7777777778e-02	 1.0378490794e+00	 1.1718995670e-01	 2.7421584714e+01	 1.1458329473e+00
