0:  0.000000e+00  0.000000e+00	 0.000000e+00 0.000000e+00 
1:  1.234568e-01  0.000000e+00	 -7.854640e-09 0.000000e+00 
2:  3.703704e-01  0.000000e+00	 2.256426e-08 0.000000e+00 
3:  7.407407e-01  0.000000e+00	 -3.548497e-08 0.000000e+00 
4:  1.111111e+00  0.000000e+00	 7.721601e-08 0.000000e+00 
5:  1.481481e+00  0.000000e+00	 -5.675138e-07 0.000000e+00 
6:  1.851852e+00  0.000000e+00	 -4.392886e-05 0.000000e+00 
7:  2.222222e+00  0.000000e+00	 -6.867716e-05 0.000000e+00 
8:  2.592593e+00  0.000000e+00	 -7.301758e-05 0.000000e+00 
9:  2.962963e+00  0.000000e+00	 -7.823230e-05 0.000000e+00 
10:  3.333333e+00  0.000000e+00	 -8.372963e-05 0.000000e+00 
11:  3.703704e+00  0.000000e+00	 -8.956642e-05 0.000000e+00 
12:  4.074074e+00  0.000000e+00	 -9.562461e-05 0.000000e+00 
13:  4.444444e+00  0.000000e+00	 -1.018702e-04 0.000000e+00 
14:  4.814815e+00  0.000000e+00	 -1.082590e-04 0.000000e+00 
15:  5.185185e+00  0.000000e+00	 -1.147621e-04 0.000000e+00 
16:  5.555556e+00  0.000000e+00	 -1.213564e-04 0.000000e+00 
17:  5.925926e+00  0.000000e+00	 -1.280235e-04 0.000000e+00 
18:  6.296296e+00  0.000000e+00	 -1.347491e-04 0.000000e+00 
19:  6.666667e+00  0.000000e+00	 -1.415212e-04 0.000000e+00 
20:  7.037037e+00  0.000000e+00	 -1.483300e-04 0.000000e+00 
21:  7.407407e+00  0.000000e+00	 -1.551668e-04 0.000000e+00 
22:  7.777778e+00  0.000000e+00	 -1.620239e-04 0.000000e+00 
23:  8.148148e+00  0.000000e+00	 -1.688937e-04 0.000000e+00 
24:  8.518519e+00  0.000000e+00	 -1.757685e-04 0.000000e+00 
25:  8.888889e+00  0.000000e+00	 -1.826399e-04 0.000000e+00 
26:  9.259259e+00  0.000000e+00	 -1.894981e-04 0.000000e+00 
27:  9.629630e+00  0.000000e+00	 -1.963312e-04 0.000000e+00 
