e	gp_n	disp_x	disp_y
0	0	5.955915334957139e-08	-1.619869485210003e-07
0	1	-1.668992996762386e-07	-2.139567104016225e-07
0	2	-8.734089029191326e-07	-2.742260390494478e-08
0	3	-1.082363240162109e-06	1.636797280494946e-07
0	4	1.648464201331013e-08	2.449408818718478e-07
0	5	-3.882128011112080e-07	1.826762854348397e-07
0	6	-1.263160604983819e-06	3.305509427882101e-07
0	7	-1.450132919998726e-06	4.448586108995421e-07
0	8	3.218576828532106e-08	1.650072164363665e-06
0	9	-4.137637862533828e-08	1.805511935289986e-06
0	10	-3.447063078365274e-07	1.135182874929842e-06
0	11	-4.857827674587155e-07	4.535373596305842e-07
0	12	2.573936064388227e-08	1.884472555882740e-06
0	13	2.037019350884153e-07	2.179493507972505e-06
0	14	3.552519194190986e-07	1.265148197289742e-06
0	15	1.398502211845248e-07	6.119636713461034e-07
1	0	-8.856046737446923e-07	2.384794670790274e-07
1	1	-3.111916424073428e-07	3.126601235934276e-07
1	2	-1.498838869943093e-06	3.740931776731856e-07
1	3	-6.004667440318259e-06	4.803109686234130e-07
1	4	-1.157720464434257e-06	4.542405908353078e-07
1	5	-2.595981810553047e-07	4.166719202226973e-07
1	6	-9.123088216193605e-07	6.329131621702366e-07
1	7	-5.075956404678884e-06	1.339517407870280e-06
1	8	-4.570191974206756e-07	1.830159980237838e-07
1	9	-5.569808137690485e-07	6.938417200338197e-08
1	10	-2.786625161930527e-06	1.100550957671722e-06
1	11	-7.723981004276329e-06	3.156590751449890e-06
1	12	-1.761205786123808e-07	5.957704872342540e-07
1	13	-1.444716174330091e-06	1.458554815285087e-06
1	14	-5.427842492788713e-06	4.365107518824068e-06
1	15	-1.116497077120185e-05	7.975076563762091e-06
2	0	-1.030916975733192e-05	5.836846233737694e-07
2	1	-2.164317882558596e-05	8.649385445420201e-07
2	2	-3.911995416120200e-05	1.305936163247678e-06
2	3	-5.122947915308262e-05	1.612536863529215e-06
2	4	-9.268459811949643e-06	2.008292585163873e-06
2	5	-2.054232789184786e-05	3.755596971953701e-06
2	6	-3.814360888982677e-05	6.385009159515712e-06
2	7	-5.042067486364050e-05	8.111039181258038e-06
2	8	-1.198112704371372e-05	4.807279369517472e-06
2	9	-2.269625142833388e-05	8.750306105552766e-06
2	10	-3.882536750900493e-05	1.430050563005301e-05
2	11	-4.994154874772795e-05	1.773478779782872e-05
2	12	-1.543983243888062e-05	1.039108548972910e-05
2	13	-2.540074904094092e-05	1.555242203423519e-05
2	14	-3.970283232163786e-05	2.220849568191029e-05
2	15	-4.940998630340713e-05	2.607172644134847e-05
3	0	-5.622126263988552e-05	1.738278290593825e-06
3	1	-6.244117494636389e-05	1.890395829826514e-06
3	2	-6.630642047528228e-05	1.964054751533082e-06
3	3	-6.777022567572999e-05	1.961252320000513e-06
3	4	-5.550210255523447e-05	8.760881004121812e-06
3	5	-6.186879089646271e-05	9.412007627446964e-06
3	6	-6.587902698930746e-05	9.491905480177721e-06
3	7	-6.741499239624903e-05	9.278470804791306e-06
3	8	-5.455446870790329e-05	1.893508685550792e-05
3	9	-6.041522904403091e-05	1.991691645375055e-05
3	10	-6.430453923604548e-05	1.956522759040701e-05
3	11	-6.598298430685178e-05	1.882722263444863e-05
3	12	-5.346079396473540e-05	2.733827621168863e-05
3	13	-5.872604016054852e-05	2.818058122552718e-05
3	14	-6.249490893929502e-05	2.735990370508232e-05
3	15	-6.435902938355104e-05	2.625045461645838e-05
4	0	-6.854940117760975e-05	1.949767352104864e-06
4	1	-7.039889379539471e-05	1.921133407032642e-06
4	2	-7.332975547148949e-05	1.880623035937695e-06
4	3	-7.574062380635218e-05	1.856526691712387e-06
4	4	-6.821786433552134e-05	9.162444161249284e-06
4	5	-7.008897729573374e-05	9.012351034485565e-06
4	6	-7.302802320100937e-05	8.915340971439478e-06
4	7	-7.545215523528152e-05	8.883672584507461e-06
4	8	-6.689132817131392e-05	1.850377956744170e-05
4	9	-6.896501603761094e-05	1.818118847259823e-05
4	10	-7.215237411516025e-05	1.812351876331213e-05
4	11	-7.473342015779613e-05	1.817616121368753e-05
4	12	-6.539682002777010e-05	2.578734977010259e-05
4	13	-6.770830557961986e-05	2.534071459814951e-05
4	14	-7.117232521586182e-05	2.528776369265970e-05
4	15	-7.392030271984946e-05	2.537619181216072e-05
5	0	-7.701375016132756e-05	1.848957820367133e-06
5	1	-7.934027580915385e-05	1.844990114459603e-06
5	2	-8.233199545481459e-05	1.851058267275524e-06
5	3	-8.466433236391275e-05	1.856301382075094e-06
5	4	-7.674151895991533e-05	8.871945798452588e-06
5	5	-7.911607471678942e-05	8.851004770603975e-06
5	6	-8.218183800433672e-05	8.824712360039282e-06
5	7	-8.455870013583639e-05	8.804669753236690e-06
5	8	-7.608822969273600e-05	1.818387897577561e-05
5	9	-7.855111503680585e-05	1.812840316395341e-05
5	10	-8.168616016037790e-05	1.798023807308218e-05
5	11	-8.410057298438460e-05	1.786538686346285e-05
5	12	-7.534229906732700e-05	2.538565669430671e-05
5	13	-7.789203330278674e-05	2.528688216741073e-05
5	14	-8.109188045726446e-05	2.503475407842495e-05
5	15	-8.354453143406810e-05	2.484412873473561e-05
6	0	-8.594309578860934e-05	1.856893293934201e-06
6	1	-8.841861179646891e-05	1.852934830446179e-06
6	2	-9.175481802733272e-05	1.842587669530267e-06
6	3	-9.435444258312050e-05	1.835036163010187e-06
6	4	-8.585057963364102e-05	8.793827478196693e-06
6	5	-8.832999785989473e-05	8.773538622796323e-06
6	6	-9.165027720887713e-05	8.749495584418479e-06
6	7	-9.423940361065620e-05	8.735019856698315e-06
6	8	-8.541287785239341e-05	1.782080425497884e-05
6	9	-8.793496107127893e-05	1.777620528470299e-05
6	10	-9.131324379504059e-05	1.776635057021927e-05
6	11	-9.394290385879753e-05	1.776991822807911e-05
6	12	-8.488090587243386e-05	2.477265890028888e-05
6	13	-8.745851969860578e-05	2.470761503241120e-05
6	14	-9.091618283845395e-05	2.470599002253638e-05
6	15	-9.359972094296008e-05	2.472072134810903e-05
7	0	-9.574318604042010e-05	1.832453606424228e-06
7	1	-9.834898318330647e-05	1.830794921917468e-06
7	2	-1.017628818770525e-04	1.832190286941843e-06
7	3	-1.044035241112438e-04	1.833528345689156e-06
7	4	-9.562850779249309e-05	8.729330277999363e-06
7	5	-9.824770525022237e-05	8.722238305524025e-06
7	6	-1.016911601483650e-04	8.716776575151506e-06
7	7	-1.043519649635515e-04	8.712563021069471e-06
7	8	-9.535050053849633e-05	1.776795679901922e-05
7	9	-9.799785369186255e-05	1.775262341051366e-05
7	10	-1.014683933754448e-04	1.771912814603353e-05
7	11	-1.041454779047274e-04	1.769176188587399e-05
7	12	-9.502987693165669e-05	2.471984478012217e-05
7	13	-9.770695256159826e-05	2.469432419977168e-05
7	14	-1.012004199358428e-04	2.463419855124348e-05
7	15	-1.038910244416747e-04	2.458595186267675e-05
8	0	-1.058232592992493e-04	1.833597071143268e-06
8	1	-1.085117247372368e-04	1.832189886192705e-06
8	2	-1.120561828195543e-04	1.828625282694394e-06
8	3	-1.147910165266379e-04	1.825744762906715e-06
8	4	-1.057780359468186e-04	8.709426657081805e-06
8	5	-1.084690544721182e-04	8.701556547411154e-06
8	6	-1.120068393180378e-04	8.689263434152555e-06
8	7	-1.147364655069177e-04	8.679995194200101e-06
8	8	-1.055795170883535e-04	1.767917936413305e-05
8	9	-1.082848722672559e-04	1.766069702426761e-05
8	10	-1.118400424884557e-04	1.764310447099641e-05
8	11	-1.145818569749835e-04	1.763136315674749e-05
8	12	-1.053332675200486e-04	2.456500845905467e-05
8	13	-1.080570760950997e-04	2.453733829695407e-05
8	14	-1.116385625888601e-04	2.451547384700978e-05
8	15	-1.143988128506114e-04	2.450175801101775e-05
9	0	-1.162518708552194e-04	1.824510891149261e-06
9	1	-1.189978118338611e-04	1.822923140383426e-06
9	2	-1.225927282396218e-04	1.821690572445861e-06
9	3	-1.253602990731340e-04	1.820849797521441e-06
9	4	-1.161967876340018e-04	8.675622998337020e-06
9	5	-1.189467639399988e-04	8.668662324937426e-06
9	6	-1.225520696811976e-04	8.660925057048173e-06
9	7	-1.253271933348192e-04	8.655025532179408e-06
9	8	-1.160482336363462e-04	1.762474267901299e-05
9	9	-1.188087051065044e-04	1.761099738657306e-05
9	10	-1.224259718731640e-04	1.759126885408516e-05
9	11	-1.252089065779997e-04	1.757551775320134e-05
9	12	-1.158733626746701e-04	2.449315761466013e-05
9	13	-1.186457072149239e-04	2.447323688594935e-05
9	14	-1.222738818523993e-04	2.444257413569568e-05
9	15	-1.250636829303907e-04	2.441802933009090e-05
10	0	-1.268403636829043e-04	1.820276320776542e-06
10	1	-1.296274060367413e-04	1.818877323270696e-06
10	2	-1.332792786443343e-04	1.816631288828808e-06
10	3	-1.360870262898509e-04	1.814783135395931e-06
10	4	-1.268098343158816e-04	8.651591677402688e-06
10	5	-1.295985166007953e-04	8.644448146201635e-06
10	6	-1.332489656167752e-04	8.634177441708322e-06
10	7	-1.360553598114568e-04	8.625965582416622e-06
10	8	-1.266952215696980e-04	1.756712493963164e-05
10	9	-1.294899684227079e-04	1.755150988885256e-05
10	10	-1.331471136643835e-04	1.753115390042303e-05
10	11	-1.359580782495530e-04	1.751533811912759e-05
10	12	-1.265537350926339e-04	2.440534293519856e-05
10	13	-1.293559649680441e-04	2.438268019801226e-05
10	14	-1.330229826549593e-04	2.435432155474950e-05
10	15	-1.358408491674912e-04	2.433256311824679e-05
11	0	-1.375854576610551e-04	1.813812281792723e-06
11	1	-1.404006247493816e-04	1.812050680761967e-06
11	2	-1.440806578043951e-04	1.809802226452934e-06
11	3	-1.469070101220147e-04	1.808054232852354e-06
11	4	-1.375537189669876e-04	8.621585802292292e-06
11	5	-1.403702717909019e-04	8.613415756638313e-06
11	6	-1.440536986780117e-04	8.602664855020547e-06
11	7	-1.468825889184442e-04	8.594183743238582e-06
11	8	-1.374587852225827e-04	1.750676512859343e-05
11	9	-1.402796320963084e-04	1.749032733101921e-05
11	10	-1.439682658265319e-04	1.746809822456423e-05
11	11	-1.468006814762612e-04	1.745037782589442e-05
11	12	-1.373447737765742e-04	2.432067306752172e-05
11	13	-1.401707182411957e-04	2.429758775547105e-05
11	14	-1.438646507279893e-04	2.426603675581882e-05
11	15	-1.467005404846390e-04	2.424084335109751e-05
12	0	-1.484153715263569e-04	1.807094942801670e-06
12	1	-1.512496932559505e-04	1.805224136725585e-06
12	2	-1.549539582555367e-04	1.802632923518159e-06
12	3	-1.577966684599058e-04	1.800521707061344e-06
12	4	-1.483918960368191e-04	8.589526888066168e-06
12	5	-1.512270740708055e-04	8.580478501812649e-06
12	6	-1.549313882023192e-04	8.568025673140481e-06
12	7	-1.577739878967772e-04	8.557951044944415e-06
12	8	-1.483116538536428e-04	1.744066710349664e-05
12	9	-1.511495576061544e-04	1.742190375807913e-05
12	10	-1.548568298506114e-04	1.739628121696885e-05
12	11	-1.577014059304813e-04	1.737569657300149e-05
12	12	-1.482132914332741e-04	2.422708469042087e-05
12	13	-1.510544775753006e-04	2.420062783610332e-05
12	14	-1.547657846234879e-04	2.416470054221591e-05
12	15	-1.576131338114100e-04	2.413594396183956e-05
13	0	-1.593124714992100e-04	1.799349247328890e-06
13	1	-1.621581690122730e-04	1.797057959461166e-06
13	2	-1.658731485770571e-04	1.793890740287119e-06
13	3	-1.687217756384127e-04	1.791328094764760e-06
13	4	-1.592898811354938e-04	8.552383870065936e-06
13	5	-1.621361179420716e-04	8.541545257892404e-06
13	6	-1.658521816271039e-04	8.526587302984056e-06
13	7	-1.687016148921177e-04	8.514454024370743e-06
13	8	-1.592182997907131e-04	1.736436952680437e-05
13	9	-1.620663462054960e-04	1.734238484502981e-05
13	10	-1.657845863590244e-04	1.731209166540794e-05
13	11	-1.686354989824665e-04	1.728748018977229e-05
13	12	-1.591313534735486e-04	2.412014382123452e-05
13	13	-1.619815960627868e-04	2.408950508413329e-05
13	14	-1.657022439327662e-04	2.404731886456812e-05
13	15	-1.685547552843323e-04	2.401304906092911e-05
14	0	-1.702401790307681e-04	1.789914767774140e-06
14	1	-1.730898020796295e-04	1.787162991452617e-06
14	2	-1.768074379982291e-04	1.783331487737673e-06
14	3	-1.796556697924271e-04	1.780168843924905e-06
14	4	-1.702203440665736e-04	8.507737740079055e-06
14	5	-1.730703444654805e-04	8.494616019148974e-06
14	6	-1.767881918762002e-04	8.476313085066256e-06
14	7	-1.796365334370782e-04	8.461229819424663e-06
14	8	-1.701549354538697e-04	1.727382187249110e-05
14	9	-1.730061132512631e-04	1.724707583737801e-05
14	10	-1.767252649639034e-04	1.720973971178803e-05
14	11	-1.795744847301775e-04	1.717902933961351e-05
14	12	-1.700749877126475e-04	2.399402654197493e-05
14	13	-1.729275783867870e-04	2.395677226165088e-05
14	14	-1.766484066646113e-04	2.390479665189801e-05
14	15	-1.794987750739395e-04	2.386209907638794e-05
15	0	-1.811728371687897e-04	1.778390878029137e-06
15	1	-1.840180645430891e-04	1.774865000956775e-06
15	2	-1.877258259021258e-04	1.769869306258174e-06
15	3	-1.905632613266308e-04	1.765716380705976e-06
15	4	-1.811537897584192e-04	8.452772711354090e-06
15	5	-1.839992640140808e-04	8.436042789040899e-06
15	6	-1.877074243841207e-04	8.412370077751264e-06
15	7	-1.905451512459364e-04	8.392671696294560e-06
15	8	-1.810921829924872e-04	1.716185277830556e-05
15	9	-1.839384536415289e-04	1.712795240084878e-05
15	10	-1.876475962711380e-04	1.708005422129075e-05
15	11	-1.904860389464720e-04	1.704017851256434e-05
15	12	-1.810170346794759e-04	2.383824574630014e-05
15	13	-1.838642728751923e-04	2.379121837415563e-05
15	14	-1.875745601713457e-04	2.372483481857048e-05
15	15	-1.904138355827343e-04	2.366958376849564e-05
16	0	-1.920735128882791e-04	1.763381895822988e-06
16	1	-1.949034164071438e-04	1.758746804070994e-06
16	2	-1.985859226889987e-04	1.752106872414246e-06
16	3	-2.013993759198093e-04	1.746479828492952e-06
16	4	-1.920555310660176e-04	8.381580049313684e-06
16	5	-1.948856244160786e-04	8.359529624336126e-06
16	6	-1.985683590660138e-04	8.327957099050401e-06
16	7	-2.013820455188101e-04	8.301272557156016e-06
16	8	-1.919967891745629e-04	1.701769885069987e-05
16	9	-1.948275697447455e-04	1.697297136255808e-05
16	10	-1.985112346606387e-04	1.690897908284334e-05
16	11	-2.013257039692523e-04	1.685503630877739e-05
16	12	-1.919250276148270e-04	2.363843198915741e-05
16	13	-1.947566517615915e-04	2.357644909159224e-05
16	14	-1.984414749711075e-04	2.348783225972817e-05
16	15	-2.012569021092824e-04	2.341323348906538e-05
17	0	-6.298988239062505e-09	1.266555366803310e-06
17	1	1.744562056036637e-07	1.564871256415230e-06
17	2	3.971122730865257e-07	9.471990763298135e-07
17	3	6.659984800267748e-08	8.858715703849303e-07
17	4	-1.223075654168889e-07	-3.992559694339288e-07
17	5	-2.254215809441354e-07	-2.504918836919153e-07
17	6	-2.599522754318326e-07	4.958605262730891e-07
17	7	-9.437231434814719e-07	2.582500459504561e-06
17	8	-3.118594445412256e-07	1.970623797687977e-06
17	9	-1.060545542784191e-06	1.746683178310451e-06
17	10	-1.848454533527261e-06	4.814457556007796e-06
17	11	-3.107858072421839e-06	1.025182645282141e-05
17	12	-4.215153306246009e-07	1.226421908200708e-05
17	13	-1.609631220676321e-06	1.173531251906941e-05
17	14	-2.976779004493404e-06	1.605188550058242e-05
17	15	-4.625244522474307e-06	2.313002101162078e-05
18	0	-4.368062882328356e-07	1.355775074340405e-06
18	1	-2.264689484985207e-06	3.397490126113545e-06
18	2	-7.014178497840158e-06	7.977450852019462e-06
18	3	-1.303150016736968e-05	1.262324225198522e-05
18	4	-1.762926406647403e-06	4.557713503960867e-06
18	5	-4.369897295251372e-06	9.849604431885280e-06
18	6	-1.000369456781143e-05	1.851123244909500e-05
18	7	-1.614728701211617e-05	2.527026117497283e-05
18	8	-4.252426388281906e-06	1.439159650462430e-05
18	9	-7.440845546550211e-06	2.401582448111164e-05
18	10	-1.342400182389684e-05	3.757997384463351e-05
18	11	-1.920417878510078e-05	4.637393394526541e-05
18	12	-5.939472168979111e-06	2.821078023028887e-05
18	13	-9.331608075135227e-06	3.946804004850235e-05
18	14	-1.522953341817681e-05	5.441639660660788e-05
18	15	-2.056232644662964e-05	6.326649089065161e-05
19	0	-1.724643314443203e-05	1.539856093453540e-05
19	1	-2.670304860660497e-05	2.083961953750866e-05
19	2	-3.995148569079435e-05	2.732927641515300e-05
19	3	-4.888624086004174e-05	3.087884061953198e-05
19	4	-2.009953570212337e-05	2.854434576713258e-05
19	5	-2.847299918313872e-05	3.373098875314229e-05
19	6	-3.977284193503917e-05	3.848128796544451e-05
19	7	-4.736761912361489e-05	4.046118576518836e-05
19	8	-2.264467255040927e-05	4.977884215754534e-05
19	9	-2.953106063090234e-05	5.348130099624831e-05
19	10	-3.851294812652877e-05	5.442757992809601e-05
19	11	-4.463423470854086e-05	5.344275962829446e-05
19	12	-2.359572511927542e-05	6.621648535669387e-05
19	13	-2.946047344024838e-05	6.824269490079069e-05
19	14	-3.698473682242683e-05	6.624513759087580e-05
19	15	-4.223699824587289e-05	6.319866637202488e-05
