e	gp_n	disp_x	disp_y
20	0	-5.263971275558569e-05	3.197899709458286e-05
20	1	-5.761254938025312e-05	3.256393120313260e-05
20	2	-6.137057714405400e-05	3.150431688132958e-05
20	3	-6.337250912565273e-05	3.027446397088431e-05
20	4	-5.063094886499085e-05	4.089459920925739e-05
20	5	-5.517810893769416e-05	4.069621184686114e-05
20	6	-5.905049345521235e-05	3.925503835005247e-05
20	7	-6.137926534338468e-05	3.796718188426758e-05
20	8	-4.739776867170074e-05	5.269468973738805e-05
20	9	-5.160302585395112e-05	5.123531434374974e-05
20	10	-5.580835744619000e-05	4.940957363140823e-05
20	11	-5.863351698387037e-05	4.822854936211648e-05
20	12	-4.472853642492668e-05	6.165377757811461e-05
20	13	-4.880761217380628e-05	5.936117183191602e-05
20	14	-5.333479564113125e-05	5.730984491788075e-05
20	15	-5.653619115855863e-05	5.621654188268165e-05
21	0	-6.449387919378441e-05	2.976591124123622e-05
21	1	-6.694585695198239e-05	2.926173108245165e-05
21	2	-7.055898366768655e-05	2.916861063654728e-05
21	3	-7.339424940482857e-05	2.923555243056174e-05
21	4	-6.267689534383683e-05	3.743350252938963e-05
21	5	-6.539934027635554e-05	3.683747322254416e-05
21	6	-6.926933878080773e-05	3.657725320034518e-05
21	7	-7.225016932327974e-05	3.651838551290639e-05
21	8	-6.017389281234188e-05	4.772401037199598e-05
21	9	-6.323611086786643e-05	4.701926301440816e-05
21	10	-6.738821385238767e-05	4.643394486088914e-05
21	11	-7.052388430331713e-05	4.611364653584023e-05
21	12	-5.824968933454311e-05	5.573072096635574e-05
21	13	-6.153883395975776e-05	5.493253794517428e-05
21	14	-6.586003107384830e-05	5.408245741436015e-05
21	15	-6.908860048162748e-05	5.355142643048283e-05
22	0	-7.485298170734696e-05	2.923161457761399e-05
22	1	-7.745561105219060e-05	2.910161086268933e-05
22	2	-8.070395698458995e-05	2.880552092492191e-05
22	3	-8.318791732696873e-05	2.858671654808366e-05
22	4	-7.377502455843652e-05	3.645978628614868e-05
22	5	-7.648741685386558e-05	3.625647212769837e-05
22	6	-7.985759176148613e-05	3.590598090814524e-05
22	7	-8.242438951117269e-05	3.566224238297921e-05
22	8	-7.212823655455318e-05	4.594994869552318e-05
22	9	-7.499672276611027e-05	4.563280262131244e-05
22	10	-7.857045529803574e-05	4.523967426972580e-05
22	11	-8.128037618020756e-05	4.499143533510110e-05
22	12	-7.074769666888781e-05	5.330324741109449e-05
22	13	-7.373874879139353e-05	5.289458345595078e-05
22	14	-7.748814739644652e-05	5.246599331253694e-05
22	15	-8.032343364394443e-05	5.221132116277197e-05
23	0	-8.454186303024780e-05	2.850457857161110e-05
23	1	-8.715534524479097e-05	2.842813773560140e-05
23	2	-9.065999472963254e-05	2.842177281493679e-05
23	3	-9.337466531399822e-05	2.843446532401421e-05
23	4	-8.382050203909085e-05	3.556827725660083e-05
23	5	-8.651003409455437e-05	3.546890502349547e-05
23	6	-9.010419602227456e-05	3.543237916376141e-05
23	7	-9.287667269587697e-05	3.542297648497103e-05
23	8	-8.274433610710591e-05	4.488911024663394e-05
23	9	-8.554359472732872e-05	4.475361786516906e-05
23	10	-8.925277232346231e-05	4.464795693019445e-05
23	11	-9.209765545313298e-05	4.458539857931642e-05
23	12	-8.184449746121938e-05	5.209980037015985e-05
23	13	-8.472997216227148e-05	5.192901378520325e-05
23	14	-8.852218786804187e-05	5.175850079165461e-05
23	15	-9.141878187772664e-05	5.164710702444944e-05
24	0	-9.481817544707577e-05	2.843121212789965e-05
24	1	-9.751396086772027e-05	2.839799331092266e-05
24	2	-1.010237187855099e-04	2.832470620867962e-05
24	3	-1.037245273537829e-04	2.826694508027057e-05
24	4	-9.434615819592115e-05	3.540867533356707e-05
24	5	-9.708196871718283e-05	3.535642620507205e-05
24	6	-1.006320539489916e-04	3.526178798469910e-05
24	7	-1.033593683530374e-04	3.519044513752679e-05
24	8	-9.360190702430083e-05	4.454773606819421e-05
24	9	-9.639757364135515e-05	4.446353512740950e-05
24	10	-1.000165593422913e-04	4.434331297083624e-05
24	11	-1.027908138666280e-04	4.425807711723905e-05
24	12	-9.294956569336884e-05	5.158832461127539e-05
24	13	-9.579515235732662e-05	5.147588335752282e-05
24	14	-9.947676621240928e-05	5.133385506323425e-05
24	15	-1.022945288805827e-04	5.123673234644222e-05
25	0	-1.051725851911187e-04	2.824202457251471e-05
25	1	-1.079085774215525e-04	2.820926803370036e-05
25	2	-1.115065743310187e-04	2.818358264267179e-05
25	3	-1.142782239001846e-04	2.816740967656291e-05
25	4	-1.048214086862138e-04	3.515930568826436e-05
25	5	-1.075840742219854e-04	3.511653263284215e-05
25	6	-1.112155957053970e-04	3.507976564060967e-05
25	7	-1.140100056962050e-04	3.505549088580965e-05
25	8	-1.042761444618225e-04	4.421956227303682e-05
25	9	-1.070795461938006e-04	4.416161300502846e-05
25	10	-1.107582639016365e-04	4.410367062254967e-05
25	11	-1.135841569230274e-04	4.406328888721594e-05
25	12	-1.038006797593604e-04	5.119157514766231e-05
25	13	-1.066384743561008e-04	5.111931031290359e-05
25	14	-1.103546932505999e-04	5.104089052908081e-05
25	15	-1.132053212433790e-04	5.098513831777701e-05
26	0	-1.157578854620832e-04	2.815715965242395e-05
26	1	-1.185378587382925e-04	2.813325640703461e-05
26	2	-1.221733556369520e-04	2.809643235508361e-05
26	3	-1.249678647905466e-04	2.806713653520186e-05
26	4	-1.155001698489504e-04	3.504072221351827e-05
26	5	-1.182967014804511e-04	3.500783251108082e-05
26	6	-1.219493544435781e-04	3.495896977077136e-05
26	7	-1.247551773531295e-04	3.492082863528013e-05
26	8	-1.150894001004236e-04	4.404033483031648e-05
26	9	-1.179112652624442e-04	4.399307771359963e-05
26	10	-1.215922820433985e-04	4.392718942389776e-05
26	11	-1.244172605412897e-04	4.387710341568786e-05
26	12	-1.147228210511447e-04	5.095462096995239e-05
26	13	-1.175663595274730e-04	5.089462930759021e-05
26	14	-1.212730260072344e-04	5.081432915724702e-05
26	15	-1.241156123021602e-04	5.075428067759181e-05
27	0	-1.264604402867242e-04	2.805212190456452e-05
27	1	-1.292676094749141e-04	2.802556444561790e-05
27	2	-1.329410192505865e-04	2.799267249670877e-05
27	3	-1.357633279679496e-04	2.796751005310720e-05
27	4	-1.262536051884408e-04	3.490142218214860e-05
27	5	-1.290716919252633e-04	3.486726026828325e-05
27	6	-1.327586516443595e-04	3.482515274092153e-05
27	7	-1.355902891949863e-04	3.479297438976397e-05
27	8	-1.259252852700891e-04	4.385165739374472e-05
27	9	-1.287604462813091e-04	4.380662593424380e-05
27	10	-1.324676643571510e-04	4.375083717476395e-05
27	11	-1.353131058117717e-04	4.370819003921483e-05
27	12	-1.256322826495957e-04	5.072372667249190e-05
27	13	-1.284823364056946e-04	5.066930574996956e-05
27	14	-1.322066492938058e-04	5.060152505974181e-05
27	15	-1.350636498133768e-04	5.054977738567905e-05
28	0	-1.372693327016380e-04	2.795372569469955e-05
28	1	-1.400986035397722e-04	2.792687235376782e-05
28	2	-1.437960373929235e-04	2.789009856818819e-05
28	3	-1.466342353047244e-04	2.786077086225694e-05
28	4	-1.371007336175861e-04	3.477531938475546e-05
28	5	-1.399373076614311e-04	3.474087803961922e-05
28	6	-1.436427003396172e-04	3.469377391145103e-05
28	7	-1.464862012251220e-04	3.465638914604926e-05
28	8	-1.368302434886078e-04	4.368485208891807e-05
28	9	-1.396781749295711e-04	4.363950686644050e-05
28	10	-1.433964016961510e-04	4.357791525952134e-05
28	11	-1.462485571677060e-04	4.352941814599595e-05
28	12	-1.365864753361190e-04	5.052158948324969e-05
28	13	-1.394442863277788e-04	5.046713090733503e-05
28	14	-1.431739753915773e-04	5.039369073392464e-05
28	15	-1.460339360304984e-04	5.033620480939360e-05
29	0	-1.481481637094854e-04	2.784479359492273e-05
29	1	-1.509915097892635e-04	2.781415514771894e-05
29	2	-1.547054572180552e-04	2.777266768544555e-05
29	3	-1.575546192310767e-04	2.773950721902821e-05
29	4	-1.480027955081126e-04	3.463612584082096e-05
29	5	-1.508509264206220e-04	3.459746634491335e-05
29	6	-1.545706029467732e-04	3.454537874431501e-05
29	7	-1.574236808191230e-04	3.450382914136588e-05
29	8	-1.477694467912741e-04	4.350328721531043e-05
29	9	-1.506251293994323e-04	4.345370579332197e-05
29	10	-1.543536623986692e-04	4.338727393318525e-05
29	11	-1.572127628510303e-04	4.333441512635635e-05
29	12	-1.475586723426765e-04	5.030533430537222e-05
29	13	-1.504210325290902e-04	5.024692827950705e-05
29	14	-1.541572923988317e-04	5.016893943639665e-05
29	15	-1.570216265063407e-04	5.010702792042334e-05
30	0	-1.590737078309551e-04	2.772129090108209e-05
30	1	-1.619253957739401e-04	2.768596600613966e-05
30	2	-1.656476355650854e-04	2.763733928840501e-05
30	3	-1.685012049263690e-04	2.759785852512324e-05
30	4	-1.589446634494801e-04	3.448099967374570e-05
30	5	-1.617995483832775e-04	3.443670805967624e-05
30	6	-1.655253683214142e-04	3.437576543095523e-05
30	7	-1.683813279685291e-04	3.432636610983265e-05
30	8	-1.587366833648525e-04	4.330537397620215e-05
30	9	-1.615965966383998e-04	4.324902446313360e-05
30	10	-1.653281376855349e-04	4.317159104762240e-05
30	11	-1.681879388847345e-04	4.310899939835643e-05
30	12	-1.585481123115960e-04	5.007304466743833e-05
30	13	-1.614124523977347e-04	5.000716206717727e-05
30	14	-1.651490801320893e-04	4.991679422615823e-05
30	15	-1.680123143252995e-04	4.984392078068337e-05
31	0	-1.700219627616844e-04	2.757595419549666e-05
31	1	-1.728754827964296e-04	2.753307852182778e-05
31	2	-1.765974107658225e-04	2.747330265083718e-05
31	3	-1.794485332939725e-04	2.742422761156617e-05
31	4	-1.699032642425211e-04	3.429900414736406e-05
31	5	-1.727588458324758e-04	3.424553549770187e-05
31	6	-1.764831874447025e-04	3.417112908464488e-05
31	7	-1.793359634022461e-04	3.411011226629395e-05
31	8	-1.697117600667633e-04	4.307441929822411e-05
31	9	-1.725706118742887e-04	4.300701745534010e-05
31	10	-1.762987509823500e-04	4.291348264757208e-05
31	11	-1.791541258068236e-04	4.283690809814350e-05
31	12	-1.695378188875223e-04	4.980373429866556e-05
31	13	-1.723995838449670e-04	4.972554461873881e-05
31	14	-1.761310968746632e-04	4.961727060853141e-05
31	15	-1.789887794672937e-04	4.952876467506034e-05
32	0	-1.809671627165030e-04	2.739682143808071e-05
32	1	-1.838150411224224e-04	2.734280726095467e-05
32	2	-1.875260886610675e-04	2.726659375073113e-05
32	3	-1.903659166000528e-04	2.720318362252314e-05
32	4	-1.808554089870940e-04	3.407605131594415e-05
