e	頂点番号	disp_x	disp_y
0	0	0.000000000000000e+00	0.000000000000000e+00
0	1	-6.505654105116380e-07	0.000000000000000e+00
0	2	0.000000000000000e+00	1.305219957883490e-06
0	3	-2.623638739839694e-08	7.722613469786085e-07
1	0	-6.505654105116379e-07	0.000000000000000e+00
1	1	-8.876460758607455e-06	0.000000000000000e+00
1	2	-2.623638739839737e-08	7.722613469786086e-07
1	3	-1.413658278705549e-05	1.135789212881535e-05
2	0	-8.876460758607455e-06	0.000000000000000e+00
2	1	-5.417387195416747e-05	0.000000000000000e+00
2	2	-1.413658278705549e-05	1.135789212881535e-05
2	3	-5.123867849668628e-05	2.912529575966296e-05
3	0	-5.417387195416745e-05	0.000000000000000e+00
3	1	-6.810321119500621e-05	0.000000000000000e+00
3	2	-5.123867849668626e-05	2.912529575966295e-05
3	3	-6.439510384572246e-05	2.798838878114004e-05
4	0	-6.810321119500621e-05	0.000000000000000e+00
4	1	-7.642114776655188e-05	0.000000000000000e+00
4	2	-6.439510384572246e-05	2.798838878114004e-05
4	3	-7.439225063559866e-05	2.731271274434088e-05
5	0	-7.642114776655188e-05	0.000000000000000e+00
5	1	-8.528493643817492e-05	0.000000000000000e+00
5	2	-7.439225063559866e-05	2.731271274434088e-05
5	3	-8.403966814325997e-05	2.667045077028290e-05
6	0	-8.528493643817492e-05	0.000000000000000e+00
6	1	-9.506523129989113e-05	0.000000000000000e+00
6	2	-8.403966814325994e-05	2.667045077028290e-05
6	3	-9.420984365747143e-05	2.657723909224142e-05
7	0	-9.506523129989113e-05	0.000000000000000e+00
7	1	-1.051078588093882e-04	0.000000000000000e+00
7	2	-9.420984365747143e-05	2.657723909224142e-05
7	3	-1.045319373175737e-04	2.641356095041460e-05
8	0	-1.051078588093882e-04	0.000000000000000e+00
8	1	-1.155271667240266e-04	0.000000000000000e+00
8	2	-1.045319373175737e-04	2.641356095041460e-05
8	3	-1.150788541086752e-04	2.632971123864616e-05
9	0	-1.155271667240266e-04	0.000000000000000e+00
9	1	-1.260994655268489e-04	0.000000000000000e+00
9	2	-1.150788541086752e-04	2.632971123864616e-05
9	3	-1.257626666541348e-04	2.623532124328581e-05
10	0	-1.260994655268489e-04	0.000000000000000e+00
10	1	-1.368384299861247e-04	0.000000000000000e+00
10	2	-1.257626666541348e-04	2.623532124328581e-05
10	3	-1.365556905191038e-04	2.614347078727393e-05
11	0	-1.368384299861247e-04	0.000000000000000e+00
11	1	-1.476616447068933e-04	0.000000000000000e+00
11	2	-1.365556905191038e-04	2.614347078727393e-05
11	3	-1.474250373357575e-04	2.604328496078275e-05
12	0	-1.476616447068933e-04	0.000000000000000e+00
12	1	-1.585557427283842e-04	0.000000000000000e+00
12	2	-1.474250373357575e-04	2.604328496078275e-05
12	3	-1.583441268685571e-04	2.592917304057425e-05
13	0	-1.585557427283842e-04	0.000000000000000e+00
13	1	-1.694817707488073e-04	0.000000000000000e+00
13	2	-1.583441268685571e-04	2.592917304057425e-05
13	3	-1.692891307988919e-04	2.579522898146704e-05
14	0	-1.694817707488073e-04	0.000000000000000e+00
14	1	-1.804152401323308e-04	0.000000000000000e+00
14	2	-1.692891307988919e-04	2.579522898146704e-05
14	3	-1.802338022941912e-04	2.563038815308148e-05
15	0	-1.804152401323308e-04	0.000000000000000e+00
15	1	-1.913193608365696e-04	0.000000000000000e+00
15	2	-1.802338022941912e-04	2.563038815308148e-05
15	3	-1.911465342717336e-04	2.541975212491175e-05
16	0	-1.913193608365696e-04	0.000000000000000e+00
16	1	-2.021483362596622e-04	0.000000000000000e+00
16	2	-1.911465342717336e-04	2.541975212491175e-05
16	3	-2.019836649645980e-04	2.513865020276347e-05
17	0	0.000000000000000e+00	1.305219957883490e-06
17	1	-2.623638739839800e-08	7.722613469786090e-07
17	2	0.000000000000000e+00	1.759040277447245e-05
17	3	-5.547689967233682e-06	3.036529150531285e-05
18	0	-2.623638739839758e-08	7.722613469786083e-07
18	1	-1.413658278705548e-05	1.135789212881535e-05
18	2	-5.547689967233679e-06	3.036529150531285e-05
18	3	-2.221416433840426e-05	6.910355688843212e-05
19	0	-1.413658278705548e-05	1.135789212881535e-05
19	1	-5.123867849668628e-05	2.912529575966296e-05
19	2	-2.221416433840426e-05	6.910355688843212e-05
19	3	-4.282937137342804e-05	6.481977852063625e-05
20	0	-5.123867849668626e-05	2.912529575966295e-05
20	1	-6.439510384572246e-05	2.798838878114004e-05
20	2	-4.282937137342804e-05	6.481977852063624e-05
20	3	-5.686653381744522e-05	5.810941436614016e-05
21	0	-6.439510384572246e-05	2.798838878114004e-05
21	1	-7.439225063559866e-05	2.731271274434087e-05
21	2	-5.686653381744522e-05	5.810941436614016e-05
21	3	-6.953971589656481e-05	5.540897390790152e-05
22	0	-7.439225063559866e-05	2.731271274434087e-05
22	1	-8.403966814325998e-05	2.667045077028290e-05
22	2	-6.953971589656481e-05	5.540897390790152e-05
22	3	-8.082737255239631e-05	5.408519855013262e-05
23	0	-8.403966814325997e-05	2.667045077028290e-05
23	1	-9.420984365747144e-05	2.657723909224142e-05
23	2	-8.082737255239629e-05	5.408519855013263e-05
23	3	-9.199815121585791e-05	5.350284372504533e-05
24	0	-9.420984365747144e-05	2.657723909224142e-05
24	1	-1.045319373175736e-04	2.641356095041459e-05
24	2	-9.199815121585791e-05	5.350284372504533e-05
24	3	-1.029100742367589e-04	5.307645562179735e-05
25	0	-1.045319373175736e-04	2.641356095041459e-05
25	1	-1.150788541086752e-04	2.632971123864615e-05
25	2	-1.029100742367589e-04	5.307645562179735e-05
25	3	-1.138579998140212e-04	5.281611721848713e-05
26	0	-1.150788541086752e-04	2.632971123864615e-05
26	1	-1.257626666541348e-04	2.623532124328580e-05
26	2	-1.138579998140212e-04	5.281611721848713e-05
26	3	-1.247887964545505e-04	5.257262792742962e-05
27	0	-1.257626666541348e-04	2.623532124328580e-05
27	1	-1.365556905191038e-04	2.614347078727392e-05
27	2	-1.247887964545505e-04	5.257262792742962e-05
27	3	-1.357542419113414e-04	5.235940203198519e-05
28	0	-1.365556905191038e-04	2.614347078727392e-05
28	1	-1.474250373357575e-04	2.604328496078276e-05
28	2	-1.357542419113414e-04	5.235940203198519e-05
28	3	-1.467350432393508e-04	5.213482625255636e-05
29	0	-1.474250373357575e-04	2.604328496078276e-05
29	1	-1.583441268685571e-04	2.592917304057425e-05
29	2	-1.467350432393507e-04	5.213482625255636e-05
29	3	-1.577301342285156e-04	5.189476097180299e-05
30	0	-1.583441268685571e-04	2.592917304057425e-05
30	1	-1.692891307988920e-04	2.579522898146704e-05
30	2	-1.577301342285156e-04	5.189476097180299e-05
30	3	-1.687246423979421e-04	5.161831966777837e-05
31	0	-1.692891307988920e-04	2.579522898146704e-05
31	1	-1.802338022941911e-04	2.563038815308148e-05
31	2	-1.687246423979421e-04	5.161831966777837e-05
31	3	-1.797022119947554e-04	5.128701243737426e-05
32	0	-1.802338022941911e-04	2.563038815308148e-05
32	1	-1.911465342717336e-04	2.541975212491174e-05
32	2	-1.797022119947554e-04	5.128701243737426e-05
32	3	-1.906387542589452e-04	5.086972035728268e-05
33	0	-1.911465342717336e-04	2.541975212491174e-05
33	1	-2.019836649645981e-04	2.513865020276347e-05
33	2	-1.906387542589452e-04	5.086972035728268e-05
33	3	-2.014995841423626e-04	5.032095926136493e-05
34	0	0.000000000000000e+00	1.759040277447245e-05
34	1	-5.547689967233682e-06	3.036529150531285e-05
34	2	0.000000000000000e+00	1.239432998016600e-04
34	3	-5.620375278790173e-06	1.221715592673044e-04
35	0	-5.547689967233679e-06	3.036529150531285e-05
35	1	-2.221416433840426e-05	6.910355688843212e-05
35	2	-5.620375278790172e-06	1.221715592673044e-04
35	3	-1.936604599848898e-05	1.117584227270513e-04
36	0	-2.221416433840426e-05	6.910355688843212e-05
36	1	-4.282937137342804e-05	6.481977852063625e-05
36	2	-1.936604599848898e-05	1.117584227270513e-04
36	3	-3.458529804882442e-05	9.688594010518484e-05
37	0	-4.282937137342804e-05	6.481977852063624e-05
37	1	-5.686653381744522e-05	5.810941436614016e-05
37	2	-3.458529804882443e-05	9.688594010518485e-05
37	3	-5.032911232961514e-05	8.891650538017116e-05
38	0	-5.686653381744522e-05	5.810941436614016e-05
38	1	-6.953971589656481e-05	5.540897390790152e-05
38	2	-5.032911232961514e-05	8.891650538017116e-05
38	3	-6.414046186920665e-05	8.452998012672542e-05
39	0	-6.953971589656481e-05	5.540897390790152e-05
39	1	-8.082737255239631e-05	5.408519855013262e-05
39	2	-6.414046186920665e-05	8.452998012672542e-05
39	3	-7.700816925132851e-05	8.223296354638261e-05
40	0	-8.082737255239629e-05	5.408519855013263e-05
40	1	-9.199815121585791e-05	5.350284372504533e-05
40	2	-7.700816925132847e-05	8.223296354638260e-05
40	3	-8.903090548920158e-05	8.093356047790995e-05
41	0	-9.199815121585791e-05	5.350284372504533e-05
41	1	-1.029100742367589e-04	5.307645562179735e-05
41	2	-8.903090548920158e-05	8.093356047790995e-05
41	3	-1.006785845902962e-04	8.010486942212613e-05
42	0	-1.029100742367589e-04	5.307645562179735e-05
42	1	-1.138579998140212e-04	5.281611721848713e-05
42	2	-1.006785845902962e-04	8.010486942212613e-05
42	3	-1.120736124574785e-04	7.953897001262088e-05
43	0	-1.138579998140212e-04	5.281611721848713e-05
43	1	-1.247887964545505e-04	5.257262792742962e-05
43	2	-1.120736124574785e-04	7.953897001262088e-05
43	3	-1.233394004726403e-04	7.908365758025623e-05
44	0	-1.247887964545505e-04	5.257262792742962e-05
44	1	-1.357542419113414e-04	5.235940203198519e-05
44	2	-1.233394004726403e-04	7.908365758025623e-05
44	3	-1.345267718820931e-04	7.869193886037633e-05
45	0	-1.357542419113414e-04	5.235940203198519e-05
45	1	-1.467350432393508e-04	5.213482625255636e-05
45	2	-1.345267718820931e-04	7.869193886037633e-05
45	3	-1.456636422147013e-04	7.831263054225157e-05
46	0	-1.467350432393507e-04	5.213482625255636e-05
46	1	-1.577301342285156e-04	5.189476097180299e-05
46	2	-1.456636422147013e-04	7.831263054225155e-05
46	3	-1.567643675651097e-04	7.792292244084165e-05
47	0	-1.577301342285156e-04	5.189476097180299e-05
47	1	-1.687246423979421e-04	5.161831966777837e-05
47	2	-1.567643675651097e-04	7.792292244084165e-05
47	3	-1.678297780543160e-04	7.749256460299307e-05
48	0	-1.687246423979421e-04	5.161831966777837e-05
48	1	-1.797022119947554e-04	5.128701243737426e-05
48	2	-1.678297780543160e-04	7.749256460299307e-05
48	3	-1.788553256110357e-04	7.699155208817881e-05
49	0	-1.797022119947554e-04	5.128701243737426e-05
49	1	-1.906387542589452e-04	5.086972035728268e-05
49	2	-1.788553256110357e-04	7.699155208817881e-05
49	3	-1.898272698056131e-04	7.637638413150041e-05
50	0	-1.906387542589452e-04	5.086972035728268e-05
50	1	-2.014995841423626e-04	5.032095926136493e-05
50	2	-1.898272698056131e-04	7.637638413150041e-05
50	3	-2.007241080447636e-04	7.558489054387923e-05
51	0	0.000000000000000e+00	1.239432998016600e-04
51	1	-5.620375278790174e-06	1.221715592673044e-04
51	2	0.000000000000000e+00	1.541059938953658e-04
51	3	-7.122770783051565e-06	1.486421964960598e-04
52	0	-5.620375278790172e-06	1.221715592673044e-04
52	1	-1.936604599848899e-05	1.117584227270513e-04
52	2	-7.122770783051563e-06	1.486421964960598e-04
52	3	-1.726384613165117e-05	1.377979702841315e-04
53	0	-1.936604599848899e-05	1.117584227270513e-04
53	1	-3.458529804882443e-05	9.688594010518484e-05
53	2	-1.726384613165117e-05	1.377979702841315e-04
53	3	-3.136342236057138e-05	1.269688663327979e-04
54	0	-3.458529804882443e-05	9.688594010518484e-05
54	1	-5.032911232961514e-05	8.891650538017116e-05
54	2	-3.136342236057137e-05	1.269688663327979e-04
54	3	-4.594538610266113e-05	1.189363366783300e-04
55	0	-5.032911232961514e-05	8.891650538017116e-05
55	1	-6.414046186920666e-05	8.452998012672544e-05
55	2	-4.594538610266113e-05	1.189363366783300e-04
55	3	-6.008630502045150e-05	1.138544749985514e-04
56	0	-6.414046186920666e-05	8.452998012672544e-05
56	1	-7.700816925132851e-05	8.223296354638260e-05
56	2	-6.008630502045150e-05	1.138544749985514e-04
56	3	-7.341792051608605e-05	1.107291782614779e-04
57	0	-7.700816925132848e-05	8.223296354638257e-05
57	1	-8.903090548920158e-05	8.093356047790994e-05
57	2	-7.341792051608604e-05	1.107291782614780e-04
57	3	-8.607702069792131e-05	1.087411800166356e-04
58	0	-8.903090548920158e-05	8.093356047790994e-05
58	1	-1.006785845902962e-04	8.010486942212612e-05
58	2	-8.607702069792131e-05	1.087411800166356e-04
58	3	-9.822340218323154e-05	1.074386449327154e-04
59	0	-1.006785845902962e-04	8.010486942212612e-05
59	1	-1.120736124574785e-04	7.953897001262088e-05
59	2	-9.822340218323154e-05	1.074386449327154e-04
59	3	-1.100278104658150e-04	1.064974695745646e-04
60	0	-1.120736124574785e-04	7.953897001262088e-05
60	1	-1.233394004726404e-04	7.908365758025621e-05
60	2	-1.100278104658150e-04	1.064974695745646e-04
60	3	-1.215971425623669e-04	1.057732075661780e-04
61	0	-1.233394004726404e-04	7.908365758025621e-05
61	1	-1.345267718820931e-04	7.869193886037633e-05
61	2	-1.215971425623669e-04	1.057732075661780e-04
61	3	-1.330083600635085e-04	1.051558315823387e-04
62	0	-1.345267718820931e-04	7.869193886037633e-05
62	1	-1.456636422147013e-04	7.831263054225157e-05
62	2	-1.330083600635085e-04	1.051558315823387e-04
62	3	-1.443067560103716e-04	1.045897062962664e-04
63	0	-1.456636422147012e-04	7.831263054225154e-05
63	1	-1.567643675651096e-04	7.792292244084162e-05
63	2	-1.443067560103716e-04	1.045897062962664e-04
63	3	-1.555207039055609e-04	1.040273097980361e-04
64	0	-1.567643675651096e-04	7.792292244084162e-05
64	1	-1.678297780543160e-04	7.749256460299307e-05
64	2	-1.555207039055609e-04	1.040273097980361e-04
64	3	-1.666648296915787e-04	1.034310771379162e-04
65	0	-1.678297780543160e-04	7.749256460299307e-05
65	1	-1.788553256110358e-04	7.699155208817883e-05
65	2	-1.666648296915787e-04	1.034310771379162e-04
65	3	-1.777447589011301e-04	1.027589320823323e-04
66	0	-1.788553256110358e-04	7.699155208817883e-05
66	1	-1.898272698056130e-04	7.637638413150040e-05
66	2	-1.777447589011301e-04	1.027589320823323e-04
66	3	-1.887587858955435e-04	1.019587373685857e-04
67	0	-1.898272698056130e-04	7.637638413150040e-05
67	1	-2.007241080447635e-04	7.558489054387921e-05
67	2	-1.887587858955435e-04	1.019587373685857e-04
67	3	-1.996993541157629e-04	1.009578752649876e-04
68	0	0.000000000000000e+00	1.541059938953658e-04
68	1	-7.122770783051565e-06	1.486421964960598e-04
68	2	0.000000000000000e+00	1.725669492796164e-04
68	3	-8.164828767719449e-06	1.697409159144133e-04
69	0	-7.122770783051563e-06	1.486421964960598e-04
69	1	-1.726384613165117e-05	1.377979702841315e-04
69	2	-8.164828767719447e-06	1.697409159144133e-04
69	3	-1.853577014213220e-05	1.624702002493472e-04
70	0	-1.726384613165117e-05	1.377979702841315e-04
70	1	-3.136342236057138e-05	1.269688663327979e-04
70	2	-1.853577014213220e-05	1.624702002493472e-04
70	3	-3.041305209843431e-05	1.545125707780449e-04
71	0	-3.136342236057137e-05	1.269688663327979e-04
71	1	-4.594538610266113e-05	1.189363366783300e-04
71	2	-3.041305209843431e-05	1.545125707780449e-04
71	3	-4.378182099560453e-05	1.477201137059686e-04
72	0	-4.594538610266113e-05	1.189363366783300e-04
72	1	-6.008630502045150e-05	1.138544749985514e-04
72	2	-4.378182099560453e-05	1.477201137059686e-04
72	3	-5.735977600520727e-05	1.426828248353701e-04
73	0	-6.008630502045150e-05	1.138544749985514e-04
73	1	-7.341792051608605e-05	1.107291782614779e-04
73	2	-5.735977600520727e-05	1.426828248353701e-04
73	3	-7.065295441782074e-05	1.391281950301455e-04
74	0	-7.341792051608604e-05	1.107291782614780e-04
74	1	-8.607702069792131e-05	1.087411800166356e-04
74	2	-7.065295441782075e-05	1.391281950301456e-04
74	3	-8.348501250518317e-05	1.366721895294001e-04
75	0	-8.607702069792131e-05	1.087411800166356e-04
75	1	-9.822340218323154e-05	1.074386449327154e-04
75	2	-8.348501250518317e-05	1.366721895294001e-04
75	3	-9.589530895066796e-05	1.349176695447973e-04
76	0	-9.822340218323154e-05	1.074386449327154e-04
76	1	-1.100278104658150e-04	1.064974695745646e-04
76	2	-9.589530895066796e-05	1.349176695447973e-04
76	3	-1.079528717751305e-04	1.336202176303597e-04
77	0	-1.100278104658150e-04	1.064974695745646e-04
77	1	-1.215971425623669e-04	1.057732075661780e-04
77	2	-1.079528717751305e-04	1.336202176303597e-04
77	3	-1.197445593746191e-04	1.325945914778700e-04
78	0	-1.215971425623669e-04	1.057732075661780e-04
78	1	-1.330083600635085e-04	1.051558315823387e-04
78	2	-1.197445593746191e-04	1.325945914778700e-04
78	3	-1.313325354111928e-04	1.317333818055114e-04
79	0	-1.330083600635085e-04	1.051558315823387e-04
79	1	-1.443067560103716e-04	1.045897062962664e-04
79	2	-1.313325354111928e-04	1.317333818055114e-04
79	3	-1.427674341972052e-04	1.309558316783825e-04
80	0	-1.443067560103716e-04	1.045897062962664e-04
80	1	-1.555207039055609e-04	1.040273097980361e-04
80	2	-1.427674341972052e-04	1.309558316783824e-04
80	3	-1.540818557832246e-04	1.302066227773829e-04
81	0	-1.555207039055609e-04	1.040273097980361e-04
81	1	-1.666648296915787e-04	1.034310771379162e-04
81	2	-1.540818557832246e-04	1.302066227773829e-04
81	3	-1.652986206572413e-04	1.294360991715823e-04
82	0	-1.666648296915787e-04	1.034310771379162e-04
82	1	-1.777447589011301e-04	1.027589320823323e-04
82	2	-1.652986206572413e-04	1.294360991715823e-04
82	3	-1.764313124635019e-04	1.285954948092056e-04
83	0	-1.777447589011301e-04	1.027589320823323e-04
83	1	-1.887587858955435e-04	1.019587373685857e-04
83	2	-1.764313124635019e-04	1.285954948092056e-04
83	3	-1.874883269671797e-04	1.276267675409737e-04
84	0	-1.887587858955435e-04	1.019587373685857e-04
84	1	-1.996993541157629e-04	1.009578752649876e-04
84	2	-1.874883269671797e-04	1.276267675409737e-04
84	3	-1.984753855870937e-04	1.264544213517217e-04
85	0	0.000000000000000e+00	1.725669492796164e-04
85	1	-8.164828767719449e-06	1.697409159144133e-04
85	2	0.000000000000000e+00	1.925921967632282e-04
85	3	-8.926826341743896e-06	1.908931410511387e-04
86	0	-8.164828767719447e-06	1.697409159144133e-04
86	1	-1.853577014213220e-05	1.624702002493472e-04
86	2	-8.926826341743899e-06	1.908931410511388e-04
86	3	-1.877444465239094e-05	1.865023901870282e-04
87	0	-1.853577014213220e-05	1.624702002493472e-04
87	1	-3.041305209843431e-05	1.545125707780449e-04
87	2	-1.877444465239094e-05	1.865023901870282e-04
87	3	-3.037766858290419e-05	1.808276898145507e-04
88	0	-3.041305209843431e-05	1.545125707780449e-04
88	1	-4.378182099560453e-05	1.477201137059686e-04
88	2	-3.037766858290419e-05	1.808276898145507e-04
88	3	-4.282252125208431e-05	1.753785163056789e-04
89	0	-4.378182099560453e-05	1.477201137059686e-04
89	1	-5.735977600520727e-05	1.426828248353701e-04
89	2	-4.282252125208431e-05	1.753785163056789e-04
89	3	-5.574672720233681e-05	1.707665882036711e-04
90	0	-5.735977600520727e-05	1.426828248353701e-04
90	1	-7.065295441782074e-05	1.391281950301455e-04
90	2	-5.574672720233681e-05	1.707665882036711e-04
90	3	-6.868037489382979e-05	1.671901501534147e-04
91	0	-7.065295441782075e-05	1.391281950301456e-04
91	1	-8.348501250518317e-05	1.366721895294001e-04
91	2	-6.868037489382978e-05	1.671901501534147e-04
91	3	-8.141354566972018e-05	1.644640270162780e-04
92	0	-8.348501250518317e-05	1.366721895294001e-04
92	1	-9.589530895066796e-05	1.349176695447973e-04
92	2	-8.141354566972018e-05	1.644640270162780e-04
92	3	-9.385325530079293e-05	1.623994333065112e-04
93	0	-9.589530895066796e-05	1.349176695447973e-04
93	1	-1.079528717751305e-04	1.336202176303597e-04
93	2	-9.385325530079293e-05	1.623994333065112e-04
93	3	-1.060101753494261e-04	1.607874244583636e-04
94	0	-1.079528717751305e-04	1.336202176303597e-04
94	1	-1.197445593746191e-04	1.325945914778700e-04
94	2	-1.060101753494261e-04	1.607874244583636e-04
94	3	-1.179144240435110e-04	1.594857131051532e-04
95	0	-1.197445593746191e-04	1.325945914778700e-04
95	1	-1.313325354111928e-04	1.317333818055114e-04
95	2	-1.179144240435110e-04	1.594857131051532e-04
95	3	-1.296114180541357e-04	1.583786039738234e-04
96	0	-1.313325354111928e-04	1.317333818055114e-04
96	1	-1.427674341972052e-04	1.309558316783825e-04
96	2	-1.296114180541357e-04	1.583786039738234e-04
96	3	-1.411378550704848e-04	1.573869080743428e-04
97	0	-1.427674341972052e-04	1.309558316783824e-04
97	1	-1.540818557832246e-04	1.302066227773829e-04
97	2	-1.411378550704848e-04	1.573869080743428e-04
97	3	-1.525259642301551e-04	1.564455943459347e-04
98	0	-1.540818557832246e-04	1.302066227773829e-04
98	1	-1.652986206572413e-04	1.294360991715823e-04
98	2	-1.525259642301551e-04	1.564455943459347e-04
98	3	-1.637992023256186e-04	1.555008294074199e-04
99	0	-1.652986206572413e-04	1.294360991715823e-04
99	1	-1.764313124635019e-04	1.285954948092056e-04
99	2	-1.637992023256186e-04	1.555008294074199e-04
99	3	-1.749762327098649e-04	1.544989964674607e-04
100	0	-1.764313124635019e-04	1.285954948092056e-04
100	1	-1.874883269671797e-04	1.276267675409737e-04
100	2	-1.749762327098649e-04	1.544989964674607e-04
100	3	-1.860723461596299e-04	1.533813477208948e-04
101	0	-1.874883269671797e-04	1.276267675409737e-04
101	1	-1.984753855870937e-04	1.264544213517217e-04
101	2	-1.860723461596299e-04	1.533813477208948e-04
101	3	-1.971039495775305e-04	1.520756907336799e-04
102	0	0.000000000000000e+00	1.925921967632282e-04
102	1	-8.926826341743899e-06	1.908931410511387e-04
102	2	0.000000000000000e+00	2.150500750413919e-04
102	3	-9.521597511306862e-06	2.138630019825091e-04
103	0	-8.926826341743901e-06	1.908931410511388e-04
103	1	-1.877444465239094e-05	1.865023901870282e-04
103	2	-9.521597511306862e-06	2.138630019825091e-04
103	3	-1.972437087259953e-05	2.107564436968995e-04
104	0	-1.877444465239094e-05	1.865023901870282e-04
104	1	-3.037766858290419e-05	1.808276898145507e-04
104	2	-1.972437087259953e-05	2.107564436968995e-04
104	3	-3.065482569415198e-05	2.066018702109525e-04
105	0	-3.037766858290419e-05	1.808276898145507e-04
105	1	-4.282252125208431e-05	1.753785163056789e-04
105	2	-3.065482569415198e-05	2.066018702109526e-04
105	3	-4.249511593659070e-05	2.022036493814548e-04
106	0	-4.282252125208431e-05	1.753785163056789e-04
106	1	-5.574672720233682e-05	1.707665882036711e-04
106	2	-4.249511593659070e-05	2.022036493814548e-04
106	3	-5.481902316875246e-05	1.982037988487982e-04
107	0	-5.574672720233682e-05	1.707665882036711e-04
107	1	-6.868037489382979e-05	1.671901501534147e-04
107	2	-5.481902316875246e-05	1.982037988487982e-04
107	3	-6.733948478207978e-05	1.947879808485903e-04
108	0	-6.868037489382978e-05	1.671901501534147e-04
108	1	-8.141354566972017e-05	1.644640270162780e-04
108	2	-6.733948478207977e-05	1.947879808485903e-04
108	3	-7.981686148251393e-05	1.920045651643155e-04
109	0	-8.141354566972017e-05	1.644640270162780e-04
109	1	-9.385325530079295e-05	1.623994333065111e-04
