e	頂点番号	xx	yy	xy	zz
16	0	-1.848876660882624e-05	4.320414361231811e-05	-1.079222090275174e-09	0.000000000000000e+00
16	1	-1.830997273955231e-05	4.272259700599098e-05	-1.005073825815356e-10	0.000000000000000e+00
16	2	-1.850214576606090e-05	4.323122940241238e-05	1.754036073078176e-07	0.000000000000000e+00
16	3	-1.832660451878750e-05	4.276111578586669e-05	7.684796169404320e-10	0.000000000000000e+00
17	0	2.961104981977408e-09	-7.477658592969554e-06	1.016363466186070e-05	0.000000000000000e+00
17	1	-4.998333508181664e-06	6.037634286170935e-06	4.296569096188132e-07	0.000000000000000e+00
17	2	-1.145301000755421e-05	1.235973215010696e-04	-2.215355890439145e-05	0.000000000000000e+00
17	3	-1.646943245903276e-05	1.247690395658122e-04	5.608237986786441e-05	0.000000000000000e+00
18	0	-4.998333508181658e-06	6.037634286170929e-06	4.296569096188077e-07	0.000000000000000e+00
18	1	-5.210619928623827e-05	5.935469998048352e-05	9.089346951931922e-06	0.000000000000000e+00
18	2	-1.646943245903276e-05	1.247690395658122e-04	5.608237986786443e-05	0.000000000000000e+00
18	3	-3.596149828217644e-05	1.001068943984812e-04	3.070258907719396e-05	0.000000000000000e+00
19	0	-5.210619928623825e-05	5.935469998048352e-05	9.089346951931917e-06	0.000000000000000e+00
19	1	-4.776032410423328e-05	5.781449469499571e-05	2.312375090799947e-05	0.000000000000000e+00
19	2	-3.596149828217644e-05	1.001068943984812e-04	3.070258907719396e-05	0.000000000000000e+00
19	3	-2.982114958385269e-05	5.887817807749241e-05	-4.194633630979483e-06	0.000000000000000e+00
20	0	-4.776032410423335e-05	5.781449469499570e-05	2.312375090799950e-05	0.000000000000000e+00
20	1	-1.317096169603002e-05	4.896437945434941e-05	5.558804091947147e-06	0.000000000000000e+00
20	2	-2.982114958385270e-05	5.887817807749243e-05	-4.194633630979513e-06	0.000000000000000e+00
20	3	-2.148098772552166e-05	5.245813872054078e-05	6.737489103397396e-06	0.000000000000000e+00
21	0	-1.317096169603003e-05	4.896437945434941e-05	5.558804091947143e-06	0.000000000000000e+00
21	1	-1.763904702009977e-05	4.716973535333939e-05	6.265274426252697e-06	0.000000000000000e+00
21	2	-2.148098772552167e-05	5.245813872054078e-05	6.737489103397435e-06	0.000000000000000e+00
21	3	-2.047765658205819e-05	4.866932540573941e-05	6.162054356854963e-06	0.000000000000000e+00
22	0	-1.763904702009977e-05	4.716973535333939e-05	6.265274426252697e-06	0.000000000000000e+00
22	1	-1.646012814101220e-05	4.574559119778828e-05	3.315294810069198e-06	0.000000000000000e+00
22	2	-2.047765658205819e-05	4.866932540573941e-05	6.162054356854963e-06	0.000000000000000e+00
22	3	-1.880866349449601e-05	4.733812278466775e-05	4.861605715358385e-06	0.000000000000000e+00
23	0	-1.646012814101219e-05	4.574559119778826e-05	3.315294810069172e-06	0.000000000000000e+00
23	1	-1.759016482740256e-05	4.545195482565215e-05	2.649479107598587e-06	0.000000000000000e+00
23	2	-1.880866349449602e-05	4.733812278466777e-05	4.861605715358424e-06	0.000000000000000e+00
23	3	-1.882570956835246e-05	4.618688550230827e-05	3.847876716256856e-06	0.000000000000000e+00
24	0	-1.759016482740254e-05	4.545195482565215e-05	2.649479107598574e-06	0.000000000000000e+00
24	1	-1.768978533837727e-05	4.503728166040113e-05	1.722300184497805e-06	0.000000000000000e+00
24	2	-1.882570956835247e-05	4.618688550230827e-05	3.847876716256852e-06	0.000000000000000e+00
24	3	-1.851027682234324e-05	4.563616076839088e-05	2.810239310429471e-06	0.000000000000000e+00
25	0	-1.768978533837727e-05	4.503728166040113e-05	1.722300184497805e-06	0.000000000000000e+00
25	1	-1.808264712022728e-05	4.486606359658222e-05	1.329510466781814e-06	0.000000000000000e+00
25	2	-1.851027682234324e-05	4.563616076839088e-05	2.810239310429471e-06	0.000000000000000e+00
25	3	-1.861841099290739e-05	4.521525521855480e-05	2.237267293205827e-06	0.000000000000000e+00
26	0	-1.808264712022728e-05	4.486606359658222e-05	1.329510466781814e-06	0.000000000000000e+00
26	1	-1.825634579717548e-05	4.465848418464068e-05	9.883207290880881e-07	0.000000000000000e+00
26	2	-1.861841099290739e-05	4.521525521855480e-05	2.237267293205827e-06	0.000000000000000e+00
26	3	-1.859756251676463e-05	4.490997095872335e-05	1.716539278042219e-06	0.000000000000000e+00
27	0	-1.825634579717548e-05	4.465848418464068e-05	9.883207290880881e-07	0.000000000000000e+00
27	1	-1.842383538425693e-05	4.448827669256310e-05	7.790600547368816e-07	0.000000000000000e+00
27	2	-1.859756251676463e-05	4.490997095872335e-05	1.716539278042219e-06	0.000000000000000e+00
27	3	-1.866217363636731e-05	4.465793638030349e-05	1.397756459287412e-06	0.000000000000000e+00
28	0	-1.842383538425693e-05	4.448827669256310e-05	7.790600547368816e-07	0.000000000000000e+00
28	1	-1.852640314207264e-05	4.430231751648096e-05	6.226251430180185e-07	0.000000000000000e+00
28	2	-1.866217363636731e-05	4.465793638030349e-05	1.397756459287412e-06	0.000000000000000e+00
28	3	-1.867960154024696e-05	4.442115264854052e-05	1.127474796850423e-06	0.000000000000000e+00
29	0	-1.852640314207267e-05	4.430231751648097e-05	6.226251430180806e-07	0.000000000000000e+00
29	1	-1.859157742966420e-05	4.410086467736853e-05	5.027959307065448e-07	0.000000000000000e+00
29	2	-1.867960154024694e-05	4.442115264854053e-05	1.127474796850426e-06	0.000000000000000e+00
29	3	-1.869647102023324e-05	4.418911958870831e-05	9.287518148833531e-07	0.000000000000000e+00
30	0	-1.859157742966418e-05	4.410086467736853e-05	5.027959307065459e-07	0.000000000000000e+00
30	1	-1.861416380125646e-05	4.386847188947118e-05	4.018962975148071e-07	0.000000000000000e+00
30	2	-1.869647102023326e-05	4.418911958870831e-05	9.287518148833497e-07	0.000000000000000e+00
30	3	-1.868147008763644e-05	4.393729379542922e-05	7.448084532267186e-07	0.000000000000000e+00
31	0	-1.861416380125646e-05	4.386847188947118e-05	4.018962975148071e-07	0.000000000000000e+00
31	1	-1.858911203604376e-05	4.358675425404134e-05	2.990597654877269e-07	0.000000000000000e+00
31	2	-1.868147008763644e-05	4.393729379542922e-05	7.448084532267186e-07	0.000000000000000e+00
31	3	-1.863524523704411e-05	4.365178515996857e-05	5.587389904613120e-07	0.000000000000000e+00
32	0	-1.858911203604376e-05	4.358675425404134e-05	2.990597654877269e-07	0.000000000000000e+00
32	1	-1.850214576606090e-05	4.323122940241238e-05	1.754036073078496e-07	0.000000000000000e+00
32	2	-1.863524523704411e-05	4.365178515996857e-05	5.587389904613120e-07	0.000000000000000e+00
32	3	-1.853951945530289e-05	4.330651260017392e-05	3.274810344560140e-07	0.000000000000000e+00
33	0	-1.850214576606090e-05	4.323122940241238e-05	1.754036073078496e-07	0.000000000000000e+00
33	1	-1.832660451878750e-05	4.276111578586668e-05	7.684796168320118e-10	0.000000000000000e+00
33	2	-1.853951945530289e-05	4.330651260017392e-05	3.274810344560140e-07	0.000000000000000e+00
33	3	-1.837327489454072e-05	4.286983208350338e-05	2.097266452980072e-10	0.000000000000000e+00
34	0	-1.145301000755422e-05	1.235973215010696e-04	-2.215355890439145e-05	0.000000000000000e+00
34	1	-1.646943245903276e-05	1.247690395658122e-04	5.608237986786441e-05	0.000000000000000e+00
34	2	-7.421108010261201e-06	1.385425797919510e-04	-1.379379992499761e-05	0.000000000000000e+00
34	3	-1.628146678757516e-05	1.140226268442417e-04	-5.205914656954677e-06	0.000000000000000e+00
35	0	-1.646943245903276e-05	1.247690395658122e-04	5.608237986786443e-05	0.000000000000000e+00
35	1	-3.596149828217644e-05	1.001068943984812e-04	3.070258907719397e-05	0.000000000000000e+00
35	2	-1.628146678757516e-05	1.140226268442418e-04	-5.205914656954661e-06	0.000000000000000e+00
35	3	-2.621985943173196e-05	5.226042847659477e-05	-1.866494612317038e-05	0.000000000000000e+00
36	0	-3.596149828217644e-05	1.001068943984813e-04	3.070258907719396e-05	0.000000000000000e+00
36	1	-2.982114958385269e-05	5.887817807749243e-05	-4.194633630979470e-06	0.000000000000000e+00
36	2	-2.621985943173196e-05	5.226042847659477e-05	-1.866494612317041e-05	0.000000000000000e+00
36	3	-2.656020161267166e-05	5.225207915719614e-05	-1.060107134312110e-05	0.000000000000000e+00
37	0	-2.982114958385270e-05	5.887817807749243e-05	-4.194633630979512e-06	0.000000000000000e+00
37	1	-2.148098772552166e-05	5.245813872054078e-05	6.737489103397413e-06	0.000000000000000e+00
37	2	-2.656020161267165e-05	5.225207915719609e-05	-1.060107134312110e-05	0.000000000000000e+00
37	3	-2.545097240632479e-05	5.193646031854610e-05	1.164046863137924e-07	0.000000000000000e+00
38	0	-2.148098772552167e-05	5.245813872054080e-05	6.737489103397430e-06	0.000000000000000e+00
38	1	-2.047765658205819e-05	4.866932540573940e-05	6.162054356854971e-06	0.000000000000000e+00
38	2	-2.545097240632480e-05	5.193646031854609e-05	1.164046863137839e-07	0.000000000000000e+00
38	3	-2.236724424597861e-05	4.996102667386417e-05	2.764308891174128e-06	0.000000000000000e+00
39	0	-2.047765658205819e-05	4.866932540573940e-05	6.162054356854971e-06	0.000000000000000e+00
39	1	-1.880866349449601e-05	4.733812278466777e-05	4.861605715358371e-06	0.000000000000000e+00
39	2	-2.236724424597861e-05	4.996102667386417e-05	2.764308891174128e-06	0.000000000000000e+00
39	3	-2.114324091049884e-05	4.827073282164890e-05	3.734056218406683e-06	0.000000000000000e+00
40	0	-1.880866349449602e-05	4.733812278466776e-05	4.861605715358410e-06	0.000000000000000e+00
40	1	-1.882570956835244e-05	4.618688550230824e-05	3.847876716256869e-06	0.000000000000000e+00
40	2	-2.114324091049884e-05	4.827073282164895e-05	3.734056218406681e-06	0.000000000000000e+00
40	3	-2.000105457400004e-05	4.701774223202406e-05	3.459690920134255e-06	0.000000000000000e+00
41	0	-1.882570956835247e-05	4.618688550230824e-05	3.847876716256883e-06	0.000000000000000e+00
41	1	-1.851027682234324e-05	4.563616076839086e-05	2.810239310429485e-06	0.000000000000000e+00
41	2	-2.000105457400004e-05	4.701774223202406e-05	3.459690920134233e-06	0.000000000000000e+00
41	3	-1.957165902223649e-05	4.624374847176409e-05	2.959569150428288e-06	0.000000000000000e+00
42	0	-1.851027682234324e-05	4.563616076839086e-05	2.810239310429485e-06	0.000000000000000e+00
42	1	-1.861841099290739e-05	4.521525521855483e-05	2.237267293205835e-06	0.000000000000000e+00
42	2	-1.957165902223649e-05	4.624374847176409e-05	2.959569150428288e-06	0.000000000000000e+00
42	3	-1.923011487526639e-05	4.564013527646953e-05	2.493125716699174e-06	0.000000000000000e+00
43	0	-1.861841099290739e-05	4.521525521855483e-05	2.237267293205835e-06	0.000000000000000e+00
43	1	-1.859756251676463e-05	4.490997095872336e-05	1.716539278042196e-06	0.000000000000000e+00
43	2	-1.923011487526639e-05	4.564013527646953e-05	2.493125716699174e-06	0.000000000000000e+00
43	3	-1.907804247665278e-05	4.522814729901491e-05	2.058272411035061e-06	0.000000000000000e+00
44	0	-1.859756251676463e-05	4.490997095872336e-05	1.716539278042196e-06	0.000000000000000e+00
44	1	-1.866217363636731e-05	4.465793638030351e-05	1.397756459287389e-06	0.000000000000000e+00
44	2	-1.907804247665278e-05	4.522814729901491e-05	2.058272411035061e-06	0.000000000000000e+00
44	3	-1.896882828365682e-05	4.487716495904513e-05	1.729380331900467e-06	0.000000000000000e+00
45	0	-1.866217363636731e-05	4.465793638030351e-05	1.397756459287389e-06	0.000000000000000e+00
45	1	-1.867960154024696e-05	4.442115264854049e-05	1.127474796850443e-06	0.000000000000000e+00
45	2	-1.896882828365682e-05	4.487716495904513e-05	1.729380331900467e-06	0.000000000000000e+00
45	3	-1.890027727323053e-05	4.458673435484772e-05	1.445796258163182e-06	0.000000000000000e+00
46	0	-1.867960154024696e-05	4.442115264854054e-05	1.127474796850482e-06	0.000000000000000e+00
46	1	-1.869647102023324e-05	4.418911958870833e-05	9.287518148833497e-07	0.000000000000000e+00
46	2	-1.890027727323056e-05	4.458673435484770e-05	1.445796258163134e-06	0.000000000000000e+00
46	3	-1.884180060680564e-05	4.431077890916192e-05	1.212586322012792e-06	0.000000000000000e+00
47	0	-1.869647102023326e-05	4.418911958870833e-05	9.287518148832921e-07	0.000000000000000e+00
47	1	-1.868147008763644e-05	4.393729379542922e-05	7.448084532267661e-07	0.000000000000000e+00
47	2	-1.884180060680565e-05	4.431077890916192e-05	1.212586322012801e-06	0.000000000000000e+00
47	3	-1.877981308158227e-05	4.403876459859462e-05	9.877390428370937e-07	0.000000000000000e+00
48	0	-1.868147008763644e-05	4.393729379542922e-05	7.448084532267661e-07	0.000000000000000e+00
48	1	-1.863524523704411e-05	4.365178515996857e-05	5.587389904613153e-07	0.000000000000000e+00
48	2	-1.877981308158227e-05	4.403876459859462e-05	9.877390428370937e-07	0.000000000000000e+00
48	3	-1.870283310108822e-05	4.374804117508082e-05	7.460558412638852e-07	0.000000000000000e+00
49	0	-1.863524523704411e-05	4.365178515996857e-05	5.587389904613153e-07	0.000000000000000e+00
49	1	-1.853951945530289e-05	4.330651260017392e-05	3.274810344559496e-07	0.000000000000000e+00
49	2	-1.870283310108822e-05	4.374804117508082e-05	7.460558412638852e-07	0.000000000000000e+00
49	3	-1.859606244567968e-05	4.342154343049401e-05	4.385106309877555e-07	0.000000000000000e+00
50	0	-1.853951945530289e-05	4.330651260017392e-05	3.274810344559496e-07	0.000000000000000e+00
50	1	-1.837327489454072e-05	4.286983208350338e-05	2.097266453962630e-10	0.000000000000000e+00
50	2	-1.859606244567968e-05	4.342154343049401e-05	4.385106309877555e-07	0.000000000000000e+00
50	3	-1.844370752820487e-05	4.303538161981010e-05	6.118116950288698e-10	0.000000000000000e+00
51	0	-7.421108010261200e-06	1.385425797919511e-04	-1.379379992499773e-05	0.000000000000000e+00
51	1	-1.628146678757516e-05	1.140226268442419e-04	-5.205914656954625e-06	0.000000000000000e+00
51	2	-1.167202084121585e-05	1.846187404768213e-05	1.906905396693929e-06	0.000000000000000e+00
51	3	-1.380156937347499e-05	2.235266851003022e-05	-1.946471803287013e-05	0.000000000000000e+00
52	0	-1.628146678757516e-05	1.140226268442418e-04	-5.205914656954622e-06	0.000000000000000e+00
52	1	-2.621985943173196e-05	5.226042847659483e-05	-1.866494612317033e-05	0.000000000000000e+00
52	2	-1.380156937347499e-05	2.235266851003021e-05	-1.946471803287008e-05	0.000000000000000e+00
52	3	-2.116731693630513e-05	4.119290001320645e-05	-1.970731675188867e-05	0.000000000000000e+00
53	0	-2.621985943173197e-05	5.226042847659483e-05	-1.866494612317034e-05	0.000000000000000e+00
53	1	-2.656020161267166e-05	5.225207915719612e-05	-1.060107134312112e-05	0.000000000000000e+00
53	2	-2.116731693630513e-05	4.119290001320645e-05	-1.970731675188866e-05	0.000000000000000e+00
53	3	-2.515648592665553e-05	4.907385313574740e-05	-1.374984727327212e-05	0.000000000000000e+00
54	0	-2.656020161267166e-05	5.225207915719613e-05	-1.060107134312112e-05	0.000000000000000e+00
54	1	-2.545097240632480e-05	5.193646031854613e-05	1.164046863138008e-07	0.000000000000000e+00
54	2	-2.515648592665553e-05	4.907385313574741e-05	-1.374984727327213e-05	0.000000000000000e+00
54	3	-2.448259320922356e-05	5.001332379744297e-05	-5.533266641848017e-06	0.000000000000000e+00
55	0	-2.545097240632480e-05	5.193646031854613e-05	1.164046863137873e-07	0.000000000000000e+00
55	1	-2.236724424597861e-05	4.996102667386417e-05	2.764308891174091e-06	0.000000000000000e+00
55	2	-2.448259320922356e-05	5.001332379744297e-05	-5.533266641848020e-06	0.000000000000000e+00
55	3	-2.339984280183894e-05	4.955862346111804e-05	-1.009822546867522e-06	0.000000000000000e+00
56	0	-2.236724424597861e-05	4.996102667386417e-05	2.764308891174091e-06	0.000000000000000e+00
56	1	-2.114324091049884e-05	4.827073282164893e-05	3.734056218406697e-06	0.000000000000000e+00
56	2	-2.339984280183894e-05	4.955862346111804e-05	-1.009822546867522e-06	0.000000000000000e+00
56	3	-2.202796109188777e-05	4.846324245659773e-05	1.305837311895903e-06	0.000000000000000e+00
57	0	-2.114324091049884e-05	4.827073282164894e-05	3.734056218406702e-06	0.000000000000000e+00
57	1	-2.000105457400004e-05	4.701774223202409e-05	3.459690920134262e-06	0.000000000000000e+00
57	2	-2.202796109188776e-05	4.846324245659771e-05	1.305837311895896e-06	0.000000000000000e+00
57	3	-2.104096278570588e-05	4.745766065670552e-05	2.086174099207685e-06	0.000000000000000e+00
58	0	-2.000105457400004e-05	4.701774223202409e-05	3.459690920134233e-06	0.000000000000000e+00
58	1	-1.957165902223647e-05	4.624374847176407e-05	2.959569150428276e-06	0.000000000000000e+00
58	2	-2.104096278570588e-05	4.745766065670552e-05	2.086174099207685e-06	0.000000000000000e+00
58	3	-2.031614426773060e-05	4.663601083023446e-05	2.298424581017728e-06	0.000000000000000e+00
59	0	-1.957165902223647e-05	4.624374847176407e-05	2.959569150428276e-06	0.000000000000000e+00
59	1	-1.923011487526642e-05	4.564013527646956e-05	2.493125716699163e-06	0.000000000000000e+00
59	2	-2.031614426773060e-05	4.663601083023446e-05	2.298424581017728e-06	0.000000000000000e+00
59	3	-1.984348795962935e-05	4.599910069156203e-05	2.174620650736524e-06	0.000000000000000e+00
60	0	-1.923011487526642e-05	4.564013527646956e-05	2.493125716699163e-06	0.000000000000000e+00
60	1	-1.907804247665277e-05	4.522814729901494e-05	2.058272411035072e-06	0.000000000000000e+00
60	2	-1.984348795962935e-05	4.599910069156203e-05	2.174620650736524e-06	0.000000000000000e+00
60	3	-1.951597982734284e-05	4.550039600283347e-05	1.985218983472503e-06	0.000000000000000e+00
61	0	-1.907804247665277e-05	4.522814729901494e-05	2.058272411035072e-06	0.000000000000000e+00
61	1	-1.896882828365680e-05	4.487716495904513e-05	1.729380331900497e-06	0.000000000000000e+00
61	2	-1.951597982734284e-05	4.550039600283347e-05	1.985218983472503e-06	0.000000000000000e+00
61	3	-1.929339567923652e-05	4.509519449031861e-05	1.757605562795059e-06	0.000000000000000e+00
62	0	-1.896882828365680e-05	4.487716495904513e-05	1.729380331900497e-06	0.000000000000000e+00
62	1	-1.890027727323053e-05	4.458673435484775e-05	1.445796258163197e-06	0.000000000000000e+00
62	2	-1.929339567923652e-05	4.509519449031861e-05	1.757605562795059e-06	0.000000000000000e+00
62	3	-1.912946604053456e-05	4.475179815498978e-05	1.543051686127399e-06	0.000000000000000e+00
63	0	-1.890027727323054e-05	4.458673435484773e-05	1.445796258163198e-06	0.000000000000000e+00
63	1	-1.884180060680564e-05	4.431077890916188e-05	1.212586322012736e-06	0.000000000000000e+00
63	2	-1.912946604053456e-05	4.475179815498978e-05	1.543051686127409e-06	0.000000000000000e+00
63	3	-1.900169375309218e-05	4.444376378843281e-05	1.329259561670185e-06	0.000000000000000e+00
64	0	-1.884180060680563e-05	4.431077890916189e-05	1.212586322012777e-06	0.000000000000000e+00
64	1	-1.877981308158223e-05	4.403876459859463e-05	9.877390428371615e-07	0.000000000000000e+00
64	2	-1.900169375309218e-05	4.444376378843280e-05	1.329259561670202e-06	0.000000000000000e+00
64	3	-1.888993472125287e-05	4.415271090789524e-05	1.106248009073955e-06	0.000000000000000e+00
65	0	-1.877981308158223e-05	4.403876459859463e-05	9.877390428371615e-07	0.000000000000000e+00
65	1	-1.870283310108823e-05	4.374804117508084e-05	7.460558412638666e-07	0.000000000000000e+00
65	2	-1.888993472125287e-05	4.415271090789524e-05	1.106248009073955e-06	0.000000000000000e+00
65	3	-1.878124783929930e-05	4.386284032899426e-05	8.437160096592119e-07	0.000000000000000e+00
66	0	-1.870283310108823e-05	4.374804117508084e-05	7.460558412638666e-07	0.000000000000000e+00
66	1	-1.859606244567967e-05	4.342154343049403e-05	4.385106309877259e-07	0.000000000000000e+00
66	2	-1.878124783929930e-05	4.386284032899426e-05	8.437160096592119e-07	0.000000000000000e+00
66	3	-1.866425056177068e-05	4.356130043549545e-05	4.978059874360114e-07	0.000000000000000e+00
67	0	-1.859606244567967e-05	4.342154343049403e-05	4.385106309877259e-07	0.000000000000000e+00
67	1	-1.844370752820487e-05	4.303538161981008e-05	6.118116949882122e-10	0.000000000000000e+00
67	2	-1.866425056177068e-05	4.356130043549545e-05	4.978059874360114e-07	0.000000000000000e+00
67	3	-1.853018550824529e-05	4.323691305573205e-05	7.285347526262646e-10	0.000000000000000e+00
68	0	-1.167202084121585e-05	1.846187404768213e-05	1.906905396693929e-06	0.000000000000000e+00
68	1	-1.380156937347499e-05	2.235266851003018e-05	-1.946471803287010e-05	0.000000000000000e+00
68	2	-1.238922037053427e-05	3.559053635489843e-05	-6.697727342281571e-07	0.000000000000000e+00
68	3	-1.578238885591553e-05	3.917041801589269e-05	-1.045878013498429e-05	0.000000000000000e+00
69	0	-1.380156937347499e-05	2.235266851003017e-05	-1.946471803287010e-05	0.000000000000000e+00
69	1	-2.116731693630513e-05	4.119290001320643e-05	-1.970731675188866e-05	0.000000000000000e+00
69	2	-1.578238885591553e-05	3.917041801589267e-05	-1.045878013498434e-05	0.000000000000000e+00
69	3	-1.901365193067782e-05	4.159803683428828e-05	-1.556798721394063e-05	0.000000000000000e+00
70	0	-2.116731693630513e-05	4.119290001320643e-05	-1.970731675188865e-05	0.000000000000000e+00
70	1	-2.515648592665553e-05	4.907385313574741e-05	-1.374984727327213e-05	0.000000000000000e+00
70	2	-1.901365193067782e-05	4.159803683428825e-05	-1.556798721394063e-05	0.000000000000000e+00
