e	頂点番号	xx	yy	xy	zz
0	0	2.831100309158745e-06	-3.975632979381872e-06	0.000000000000000e+00	0.000000000000000e+00
0	1	1.389891539024624e-06	5.943409966599555e-06	-1.070379244071737e-05	0.000000000000000e+00
0	2	2.961104981976601e-09	-7.477658592969561e-06	1.016363466186069e-05	0.000000000000000e+00
0	3	-4.998333508181664e-06	6.037634286170934e-06	4.296569096188038e-07	0.000000000000000e+00
1	0	1.389891539024621e-06	5.943409966599549e-06	-1.070379244071737e-05	0.000000000000000e+00
1	1	-5.366061633415527e-05	1.490244581058839e-05	2.591815216364879e-05	0.000000000000000e+00
1	2	-4.998333508181662e-06	6.037634286170933e-06	4.296569096188029e-07	0.000000000000000e+00
1	3	-5.210619928623828e-05	5.935469998048355e-05	9.089346951931917e-06	0.000000000000000e+00
2	0	-5.366061633415527e-05	1.490244581058839e-05	2.591815216364879e-05	0.000000000000000e+00
2	1	-5.971628957504821e-05	4.044471359776957e-05	7.602149230621623e-06	0.000000000000000e+00
2	2	-5.210619928623825e-05	5.935469998048355e-05	9.089346951931902e-06	0.000000000000000e+00
2	3	-4.776032410423329e-05	5.781449469499571e-05	2.312375090799947e-05	0.000000000000000e+00
3	0	-5.971628957504823e-05	4.044471359776955e-05	7.602149230621565e-06	0.000000000000000e+00
3	1	-9.530652591285466e-06	4.804235672937649e-05	-1.656328386900177e-06	0.000000000000000e+00
3	2	-4.776032410423334e-05	5.781449469499572e-05	2.312375090799947e-05	0.000000000000000e+00
3	3	-1.317096169603002e-05	4.896437945434940e-05	5.558804091947153e-06	0.000000000000000e+00
4	0	-9.530652591285466e-06	4.804235672937649e-05	-1.656328386900177e-06	0.000000000000000e+00
4	1	-1.562220670297046e-05	4.523750011120070e-05	8.174973327822047e-07	0.000000000000000e+00
4	2	-1.317096169603003e-05	4.896437945434940e-05	5.558804091947155e-06	0.000000000000000e+00
4	3	-1.763904702009977e-05	4.716973535333939e-05	6.265274426252682e-06	0.000000000000000e+00
5	0	-1.562220670297046e-05	4.523750011120070e-05	8.174973327822047e-07	0.000000000000000e+00
5	1	-1.560731933699316e-05	4.551402502985541e-05	-5.893551108689506e-07	0.000000000000000e+00
5	2	-1.763904702009977e-05	4.716973535333939e-05	6.265274426252682e-06	0.000000000000000e+00
5	3	-1.646012814101221e-05	4.574559119778826e-05	3.315294810069202e-06	0.000000000000000e+00
6	0	-1.560731933699316e-05	4.551402502985540e-05	-5.893551108689506e-07	0.000000000000000e+00
6	1	-1.703334196908711e-05	4.486979819281429e-05	3.266258796278928e-07	0.000000000000000e+00
6	2	-1.646012814101220e-05	4.574559119778825e-05	3.315294810069199e-06	0.000000000000000e+00
6	3	-1.759016482740255e-05	4.545195482565215e-05	2.649479107598624e-06	0.000000000000000e+00
7	0	-1.703334196908711e-05	4.486979819281429e-05	3.266258796278928e-07	0.000000000000000e+00
7	1	-1.735621687984620e-05	4.490463626117104e-05	-1.969764059680916e-07	0.000000000000000e+00
7	2	-1.759016482740254e-05	4.545195482565215e-05	2.649479107598624e-06	0.000000000000000e+00
7	3	-1.768978533837729e-05	4.503728166040112e-05	1.722300184497825e-06	0.000000000000000e+00
8	0	-1.735621687984620e-05	4.490463626117104e-05	-1.969764059680916e-07	0.000000000000000e+00
8	1	-1.789766117461882e-05	4.468268820940061e-05	1.002087980226025e-07	0.000000000000000e+00
8	2	-1.768978533837729e-05	4.503728166040112e-05	1.722300184497825e-06	0.000000000000000e+00
8	3	-1.808264712022728e-05	4.486606359658221e-05	1.329510466781802e-06	0.000000000000000e+00
9	0	-1.789766117461882e-05	4.468268820940061e-05	1.002087980226025e-07	0.000000000000000e+00
9	1	-1.811033268072791e-05	4.457649473260503e-05	-5.585038373161102e-08	0.000000000000000e+00
9	2	-1.808264712022728e-05	4.486606359658221e-05	1.329510466781802e-06	0.000000000000000e+00
9	3	-1.825634579717548e-05	4.465848418464067e-05	9.883207290881298e-07	0.000000000000000e+00
10	0	-1.811033268072791e-05	4.457649473260503e-05	-5.585038373161102e-08	0.000000000000000e+00
10	1	-1.834845073916998e-05	4.442190721256853e-05	2.580495891262317e-08	0.000000000000000e+00
10	2	-1.825634579717548e-05	4.465848418464067e-05	9.883207290881298e-07	0.000000000000000e+00
10	3	-1.842383538425691e-05	4.448827669256310e-05	7.790600547368736e-07	0.000000000000000e+00
11	0	-1.834845073916998e-05	4.442190721256853e-05	2.580495891262317e-08	0.000000000000000e+00
11	1	-1.846297818081879e-05	4.425719117357301e-05	-1.396595432409783e-08	0.000000000000000e+00
11	2	-1.842383538425691e-05	4.448827669256310e-05	7.790600547368736e-07	0.000000000000000e+00
11	3	-1.852640314207265e-05	4.430231751648096e-05	6.226251430180492e-07	0.000000000000000e+00
12	0	-1.846297818081879e-05	4.425719117357301e-05	-1.396595432424691e-08	0.000000000000000e+00
12	1	-1.855793152307836e-05	4.407070265801269e-05	5.514195739478528e-09	0.000000000000000e+00
12	2	-1.852640314207266e-05	4.430231751648095e-05	6.226251430180492e-07	0.000000000000000e+00
12	3	-1.859157742966418e-05	4.410086467736855e-05	5.027959307066473e-07	0.000000000000000e+00
13	0	-1.855793152307836e-05	4.407070265801268e-05	5.514195739451423e-09	0.000000000000000e+00
13	1	-1.858793854062903e-05	4.384224895235573e-05	-3.292080891123235e-09	0.000000000000000e+00
13	2	-1.859157742966420e-05	4.410086467736855e-05	5.027959307066456e-07	0.000000000000000e+00
13	3	-1.861416380125649e-05	4.386847188947118e-05	4.018962975148289e-07	0.000000000000000e+00
14	0	-1.858793854062903e-05	4.384224895235573e-05	-3.292080891123235e-09	0.000000000000000e+00
14	1	-1.857375107453313e-05	4.356496125447486e-05	9.019427343935713e-10	0.000000000000000e+00
14	2	-1.861416380125649e-05	4.386847188947118e-05	4.018962975148289e-07	0.000000000000000e+00
14	3	-1.858911203604375e-05	4.358675425404132e-05	2.990597654877350e-07	0.000000000000000e+00
15	0	-1.857375107453313e-05	4.356496125447486e-05	9.019427343935713e-10	0.000000000000000e+00
15	1	-1.848876660882624e-05	4.320414361231811e-05	-1.079222090275174e-09	0.000000000000000e+00
15	2	-1.858911203604375e-05	4.358675425404132e-05	2.990597654877350e-07	0.000000000000000e+00
15	3	-1.850214576606090e-05	4.323122940241238e-05	1.754036073078176e-07	0.000000000000000e+00
