e	gp_n	xx	yy	xy	zz
0	0	-7.265625884278032e-02	-5.354834635651490e-01	-1.396806981152350e-01	-1.824419167223788e-01
0	1	-1.238018823171334e+00	-1.255006763037941e+00	-2.732382035520380e-01	-7.479076758627826e-01
0	2	-8.241586696467104e-01	-3.234801718980224e-01	-5.174627796274767e-01	-3.442916524634199e-01
0	3	6.479182287410523e-01	1.059365984919911e+00	-5.426212169327009e-01	5.121852640982888e-01
0	4	6.287203963884240e-01	1.682446928561037e+00	-1.022726580644500e-01	6.933501974848382e-01
0	5	-3.525835117491994e-01	1.411922470079815e+00	6.249451624991854e-02	3.178016874991847e-01
0	6	-4.865751552715113e-01	6.745362344772037e-01	2.153580025163626e-01	5.638832376170773e-02
0	7	5.207378641988163e-01	3.546681939682846e-01	1.982010852864198e-01	2.626218174501302e-01
0	8	7.948055290676876e-01	1.609383172141007e+00	3.161805369942294e-01	7.212566103626082e-01
0	9	4.752304024033449e-01	1.747761938166050e+00	6.217316466840211e-02	6.668977021708183e-01
0	10	-4.103297870101946e-02	6.748545786880664e-01	1.008152863373545e-01	1.901464799961141e-01
0	11	-3.127477597002017e-02	1.546296984449317e-02	1.453262656871739e-01	-4.743541837658100e-03
0	12	-2.337860891350580e-01	-9.698917404698053e-01	5.200550024388072e-01	-3.611033488814589e-01
0	13	-4.846579612087032e-02	-7.931660965665144e-01	-1.206520271929763e-01	-2.524895678062154e-01
0	14	-2.837143002754995e-01	-5.747026463959509e-01	-2.514797340071072e-01	-2.575250840014351e-01
0	15	-5.237157366040242e-01	2.972902283710708e-01	-5.669382344109371e-02	-6.792765246988602e-02
1	0	1.603865900022340e+00	1.744163862693320e+00	-4.308559007324785e-01	1.004408928814698e+00
1	1	1.208357958692569e+00	1.813891060017584e+00	5.450974292668035e-02	9.066747056130459e-01
1	2	-3.849462370771550e+00	-7.713368457912240e-02	9.189343091855816e-01	-1.177978816605202e+00
1	3	-1.096440971405202e+01	-2.479414005518776e+00	1.467130456830199e+00	-4.033147115871238e+00
1	4	1.368653300766427e+00	3.695563211842922e-01	1.229343475918623e-01	5.214628865852159e-01
1	5	9.161571404750883e-01	-2.034061526509694e-01	-6.060920567838328e-03	2.138252963472357e-01
1	6	-4.093622593404855e+00	-2.018370910683011e+00	-8.981125385937540e-03	-1.833598051226360e+00
1	7	-1.118675477030333e+01	-3.915269486613085e+00	2.189481390132876e-01	-4.530607277074925e+00
