e	gp_n	x	y
4	2	2.747053248113194e+00	4.084226129586690e-02
4	3	2.900334209292370e+00	4.084226129586689e-02
4	4	2.393783437766456e+00	1.941232224750423e-01
4	5	2.547064398945631e+00	1.941232224750423e-01
4	6	2.747053248113193e+00	1.941232224750423e-01
4	7	2.900334209292369e+00	1.941232224750423e-01
4	8	2.393783437766456e+00	3.941120716426049e-01
4	9	2.547064398945631e+00	3.941120716426049e-01
4	10	2.747053248113194e+00	3.941120716426048e-01
4	11	2.900334209292369e+00	3.941120716426048e-01
4	12	2.393783437766456e+00	5.473930328217804e-01
4	13	2.547064398945631e+00	5.473930328217802e-01
4	14	2.747053248113193e+00	5.473930328217803e-01
4	15	2.900334209292369e+00	5.473930328217802e-01
5	0	2.982018731884103e+00	4.084226129586690e-02
5	1	3.135299693063278e+00	4.084226129586689e-02
5	2	3.335288542230840e+00	4.084226129586689e-02
5	3	3.488569503410016e+00	4.084226129586689e-02
5	4	2.982018731884103e+00	1.941232224750423e-01
5	5	3.135299693063278e+00	1.941232224750423e-01
5	6	3.335288542230840e+00	1.941232224750423e-01
5	7	3.488569503410016e+00	1.941232224750423e-01
5	8	2.982018731884102e+00	3.941120716426048e-01
5	9	3.135299693063278e+00	3.941120716426048e-01
5	10	3.335288542230841e+00	3.941120716426049e-01
5	11	3.488569503410016e+00	3.941120716426049e-01
5	12	2.982018731884103e+00	5.473930328217804e-01
5	13	3.135299693063276e+00	5.473930328217802e-01
5	14	3.335288542230840e+00	5.473930328217803e-01
5	15	3.488569503410016e+00	5.473930328217801e-01
6	0	3.570254026001749e+00	4.084226129586689e-02
6	1	3.723534987180925e+00	4.084226129586689e-02
6	2	3.923523836348487e+00	4.084226129586688e-02
6	3	4.076804797527663e+00	4.084226129586688e-02
6	4	3.570254026001749e+00	1.941232224750423e-01
6	5	3.723534987180924e+00	1.941232224750423e-01
6	6	3.923523836348487e+00	1.941232224750423e-01
6	7	4.076804797527663e+00	1.941232224750423e-01
6	8	3.570254026001750e+00	3.941120716426048e-01
6	9	3.723534987180925e+00	3.941120716426049e-01
6	10	3.923523836348488e+00	3.941120716426049e-01
6	11	4.076804797527664e+00	3.941120716426049e-01
6	12	3.570254026001749e+00	5.473930328217803e-01
6	13	3.723534987180925e+00	5.473930328217803e-01
6	14	3.923523836348486e+00	5.473930328217802e-01
6	15	4.076804797527663e+00	5.473930328217801e-01
7	0	4.158489320119396e+00	4.084226129586688e-02
7	1	4.311770281298572e+00	4.084226129586689e-02
7	2	4.511759130466134e+00	4.084226129586689e-02
7	3	4.665040091645310e+00	4.084226129586688e-02
7	4	4.158489320119397e+00	1.941232224750423e-01
7	5	4.311770281298570e+00	1.941232224750423e-01
7	6	4.511759130466135e+00	1.941232224750423e-01
7	7	4.665040091645309e+00	1.941232224750423e-01
7	8	4.158489320119397e+00	3.941120716426049e-01
7	9	4.311770281298573e+00	3.941120716426049e-01
7	10	4.511759130466134e+00	3.941120716426048e-01
7	11	4.665040091645311e+00	3.941120716426048e-01
7	12	4.158489320119398e+00	5.473930328217803e-01
7	13	4.311770281298573e+00	5.473930328217802e-01
7	14	4.511759130466134e+00	5.473930328217803e-01
7	15	4.665040091645312e+00	5.473930328217802e-01
8	0	4.746724614237044e+00	4.084226129586689e-02
8	1	4.900005575416218e+00	4.084226129586689e-02
8	2	5.099994424583782e+00	4.084226129586689e-02
8	3	5.253275385762958e+00	4.084226129586689e-02
8	4	4.746724614237043e+00	1.941232224750423e-01
8	5	4.900005575416219e+00	1.941232224750423e-01
8	6	5.099994424583781e+00	1.941232224750423e-01
8	7	5.253275385762958e+00	1.941232224750423e-01
8	8	4.746724614237045e+00	3.941120716426048e-01
8	9	4.900005575416219e+00	3.941120716426048e-01
8	10	5.099994424583783e+00	3.941120716426048e-01
8	11	5.253275385762957e+00	3.941120716426048e-01
8	12	4.746724614237045e+00	5.473930328217804e-01
8	13	4.900005575416220e+00	5.473930328217802e-01
8	14	5.099994424583782e+00	5.473930328217803e-01
8	15	5.253275385762958e+00	5.473930328217802e-01
9	0	5.334959908354691e+00	4.084226129586690e-02
9	1	5.488240869533866e+00	4.084226129586689e-02
9	2	5.688229718701430e+00	4.084226129586689e-02
9	3	5.841510679880605e+00	4.084226129586689e-02
9	4	5.334959908354691e+00	1.941232224750423e-01
9	5	5.488240869533866e+00	1.941232224750423e-01
9	6	5.688229718701429e+00	1.941232224750423e-01
9	7	5.841510679880605e+00	1.941232224750423e-01
9	8	5.334959908354690e+00	3.941120716426047e-01
9	9	5.488240869533866e+00	3.941120716426048e-01
9	10	5.688229718701429e+00	3.941120716426048e-01
9	11	5.841510679880605e+00	3.941120716426048e-01
9	12	5.334959908354693e+00	5.473930328217803e-01
9	13	5.488240869533865e+00	5.473930328217802e-01
9	14	5.688229718701429e+00	5.473930328217803e-01
9	15	5.841510679880603e+00	5.473930328217802e-01
10	0	5.923195202472339e+00	4.084226129586690e-02
10	1	6.076476163651513e+00	4.084226129586689e-02
10	2	6.276465012819077e+00	4.084226129586689e-02
10	3	6.429745973998251e+00	4.084226129586688e-02
10	4	5.923195202472338e+00	1.941232224750423e-01
10	5	6.076476163651512e+00	1.941232224750423e-01
10	6	6.276465012819076e+00	1.941232224750423e-01
10	7	6.429745973998251e+00	1.941232224750423e-01
10	8	5.923195202472336e+00	3.941120716426047e-01
10	9	6.076476163651512e+00	3.941120716426048e-01
10	10	6.276465012819076e+00	3.941120716426048e-01
10	11	6.429745973998251e+00	3.941120716426048e-01
10	12	5.923195202472338e+00	5.473930328217803e-01
10	13	6.076476163651512e+00	5.473930328217802e-01
10	14	6.276465012819076e+00	5.473930328217803e-01
10	15	6.429745973998251e+00	5.473930328217802e-01
11	0	6.511430496589984e+00	4.084226129586688e-02
11	1	6.664711457769160e+00	4.084226129586689e-02
11	2	6.864700306936723e+00	4.084226129586688e-02
11	3	7.017981268115898e+00	4.084226129586689e-02
11	4	6.511430496589987e+00	1.941232224750423e-01
11	5	6.664711457769161e+00	1.941232224750423e-01
11	6	6.864700306936723e+00	1.941232224750423e-01
11	7	7.017981268115898e+00	1.941232224750423e-01
11	8	6.511430496589986e+00	3.941120716426049e-01
11	9	6.664711457769160e+00	3.941120716426049e-01
11	10	6.864700306936724e+00	3.941120716426048e-01
11	11	7.017981268115899e+00	3.941120716426048e-01
11	12	6.511430496589986e+00	5.473930328217804e-01
11	13	6.664711457769156e+00	5.473930328217800e-01
11	14	6.864700306936725e+00	5.473930328217802e-01
11	15	7.017981268115896e+00	5.473930328217802e-01
12	0	7.099665790707632e+00	4.084226129586688e-02
12	1	7.252946751886806e+00	4.084226129586688e-02
12	2	7.452935601054371e+00	4.084226129586689e-02
12	3	7.606216562233545e+00	4.084226129586688e-02
12	4	7.099665790707631e+00	1.941232224750423e-01
12	5	7.252946751886807e+00	1.941232224750423e-01
12	6	7.452935601054370e+00	1.941232224750423e-01
12	7	7.606216562233545e+00	1.941232224750423e-01
12	8	7.099665790707633e+00	3.941120716426049e-01
12	9	7.252946751886807e+00	3.941120716426047e-01
12	10	7.452935601054371e+00	3.941120716426049e-01
12	11	7.606216562233545e+00	3.941120716426049e-01
12	12	7.099665790707633e+00	5.473930328217803e-01
12	13	7.252946751886808e+00	5.473930328217802e-01
12	14	7.452935601054371e+00	5.473930328217803e-01
12	15	7.606216562233545e+00	5.473930328217802e-01
13	0	7.687901084825278e+00	4.084226129586689e-02
13	1	7.841182046004453e+00	4.084226129586688e-02
13	2	8.041170895172016e+00	4.084226129586688e-02
13	3	8.194451856351192e+00	4.084226129586689e-02
13	4	7.687901084825277e+00	1.941232224750423e-01
13	5	7.841182046004453e+00	1.941232224750423e-01
13	6	8.041170895172016e+00	1.941232224750423e-01
13	7	8.194451856351192e+00	1.941232224750423e-01
13	8	7.687901084825280e+00	3.941120716426049e-01
13	9	7.841182046004453e+00	3.941120716426048e-01
13	10	8.041170895172016e+00	3.941120716426049e-01
13	11	8.194451856351188e+00	3.941120716426049e-01
13	12	7.687901084825278e+00	5.473930328217803e-01
13	13	7.841182046004454e+00	5.473930328217803e-01
13	14	8.041170895172016e+00	5.473930328217802e-01
13	15	8.194451856351193e+00	5.473930328217803e-01
14	0	8.276136378942924e+00	4.084226129586688e-02
14	1	8.429417340122100e+00	4.084226129586689e-02
14	2	8.629406189289663e+00	4.084226129586689e-02
14	3	8.782687150468840e+00	4.084226129586689e-02
14	4	8.276136378942923e+00	1.941232224750423e-01
14	5	8.429417340122100e+00	1.941232224750423e-01
14	6	8.629406189289663e+00	1.941232224750423e-01
14	7	8.782687150468838e+00	1.941232224750423e-01
14	8	8.276136378942924e+00	3.941120716426048e-01
14	9	8.429417340122098e+00	3.941120716426048e-01
14	10	8.629406189289663e+00	3.941120716426048e-01
14	11	8.782687150468837e+00	3.941120716426048e-01
14	12	8.276136378942924e+00	5.473930328217803e-01
14	13	8.429417340122100e+00	5.473930328217803e-01
14	14	8.629406189289663e+00	5.473930328217803e-01
14	15	8.782687150468840e+00	5.473930328217802e-01
15	0	8.864371673060571e+00	4.084226129586689e-02
15	1	9.017652634239747e+00	4.084226129586689e-02
15	2	9.217641483407309e+00	4.084226129586689e-02
15	3	9.370922444586487e+00	4.084226129586690e-02
15	4	8.864371673060573e+00	1.941232224750423e-01
15	5	9.017652634239747e+00	1.941232224750424e-01
15	6	9.217641483407309e+00	1.941232224750423e-01
15	7	9.370922444586485e+00	1.941232224750423e-01
15	8	8.864371673060571e+00	3.941120716426048e-01
15	9	9.017652634239747e+00	3.941120716426048e-01
15	10	9.217641483407311e+00	3.941120716426049e-01
15	11	9.370922444586485e+00	3.941120716426048e-01
15	12	8.864371673060575e+00	5.473930328217803e-01
15	13	9.017652634239745e+00	5.473930328217802e-01
15	14	9.217641483407307e+00	5.473930328217802e-01
15	15	9.370922444586485e+00	5.473930328217802e-01
16	0	9.452606967178218e+00	4.084226129586690e-02
16	1	9.605887928357395e+00	4.084226129586689e-02
16	2	9.805876777524958e+00	4.084226129586688e-02
16	3	9.959157738704135e+00	4.084226129586689e-02
16	4	9.452606967178220e+00	1.941232224750423e-01
16	5	9.605887928357395e+00	1.941232224750423e-01
16	6	9.805876777524960e+00	1.941232224750423e-01
16	7	9.959157738704130e+00	1.941232224750422e-01
16	8	9.452606967178220e+00	3.941120716426048e-01
16	9	9.605887928357394e+00	3.941120716426049e-01
16	10	9.805876777524963e+00	3.941120716426050e-01
16	11	9.959157738704132e+00	3.941120716426048e-01
16	12	9.452606967178221e+00	5.473930328217804e-01
16	13	9.605887928357394e+00	5.473930328217802e-01
16	14	9.805876777524958e+00	5.473930328217802e-01
16	15	9.959157738704134e+00	5.473930328217802e-01
17	0	4.084226129586690e-02	6.290775554135142e-01
17	1	1.941232224750424e-01	6.290775554135140e-01
17	2	3.941120716426049e-01	6.290775554135142e-01
17	3	5.473930328217803e-01	6.290775554135140e-01
17	4	4.084226129586688e-02	7.823585165926894e-01
17	5	1.941232224750423e-01	7.823585165926894e-01
17	6	3.941120716426049e-01	7.823585165926894e-01
17	7	5.473930328217802e-01	7.823585165926894e-01
17	8	4.084226129586690e-02	9.823473657602523e-01
17	9	1.941232224750423e-01	9.823473657602521e-01
17	10	3.941120716426049e-01	9.823473657602521e-01
17	11	5.473930328217803e-01	9.823473657602521e-01
17	12	4.084226129586688e-02	1.135628326939427e+00
17	13	1.941232224750423e-01	1.135628326939427e+00
17	14	3.941120716426049e-01	1.135628326939427e+00
17	15	5.473930328217803e-01	1.135628326939428e+00
18	0	6.290775554135138e-01	6.290775554135140e-01
18	1	7.823585165926895e-01	6.290775554135143e-01
18	2	9.823473657602518e-01	6.290775554135140e-01
18	3	1.135628326939427e+00	6.290775554135140e-01
18	4	6.290775554135142e-01	7.823585165926896e-01
18	5	7.823585165926895e-01	7.823585165926896e-01
18	6	9.823473657602522e-01	7.823585165926896e-01
18	7	1.135628326939428e+00	7.823585165926896e-01
18	8	6.290775554135140e-01	9.823473657602519e-01
18	9	7.823585165926895e-01	9.823473657602521e-01
18	10	9.823473657602521e-01	9.823473657602521e-01
18	11	1.135628326939427e+00	9.823473657602523e-01
18	12	6.290775554135142e-01	1.135628326939427e+00
18	13	7.823585165926894e-01	1.135628326939427e+00
18	14	9.823473657602522e-01	1.135628326939428e+00
18	15	1.135628326939427e+00	1.135628326939427e+00
19	0	1.217312849531161e+00	6.290775554135141e-01
19	1	1.370593810710336e+00	6.290775554135141e-01
19	2	1.570582659877900e+00	6.290775554135141e-01
19	3	1.723863621057075e+00	6.290775554135138e-01
19	4	1.217312849531162e+00	7.823585165926896e-01
19	5	1.370593810710337e+00	7.823585165926894e-01
19	6	1.570582659877899e+00	7.823585165926895e-01
19	7	1.723863621057075e+00	7.823585165926895e-01
19	8	1.217312849531161e+00	9.823473657602521e-01
19	9	1.370593810710337e+00	9.823473657602521e-01
19	10	1.570582659877900e+00	9.823473657602521e-01
19	11	1.723863621057075e+00	9.823473657602522e-01
19	12	1.217312849531161e+00	1.135628326939427e+00
19	13	1.370593810710337e+00	1.135628326939427e+00
19	14	1.570582659877900e+00	1.135628326939428e+00
19	15	1.723863621057074e+00	1.135628326939427e+00
20	0	1.805548143648808e+00	6.290775554135138e-01
20	1	1.958829104827984e+00	6.290775554135138e-01
20	2	2.158817953995547e+00	6.290775554135141e-01
20	3	2.312098915174722e+00	6.290775554135141e-01
20	4	1.805548143648808e+00	7.823585165926895e-01
20	5	1.958829104827984e+00	7.823585165926895e-01
20	6	2.158817953995547e+00	7.823585165926896e-01
20	7	2.312098915174722e+00	7.823585165926896e-01
20	8	1.805548143648809e+00	9.823473657602521e-01
20	9	1.958829104827984e+00	9.823473657602518e-01
20	10	2.158817953995547e+00	9.823473657602521e-01
20	11	2.312098915174722e+00	9.823473657602521e-01
20	12	1.805548143648808e+00	1.135628326939427e+00
20	13	1.958829104827984e+00	1.135628326939427e+00
20	14	2.158817953995547e+00	1.135628326939428e+00
20	15	2.312098915174722e+00	1.135628326939427e+00
21	0	2.393783437766456e+00	6.290775554135142e-01
21	1	2.547064398945631e+00	6.290775554135141e-01
21	2	2.747053248113194e+00	6.290775554135141e-01
21	3	2.900334209292369e+00	6.290775554135140e-01
21	4	2.393783437766456e+00	7.823585165926896e-01
21	5	2.547064398945631e+00	7.823585165926894e-01
21	6	2.747053248113194e+00	7.823585165926895e-01
21	7	2.900334209292370e+00	7.823585165926896e-01
21	8	2.393783437766456e+00	9.823473657602519e-01
21	9	2.547064398945631e+00	9.823473657602521e-01
21	10	2.747053248113194e+00	9.823473657602521e-01
21	11	2.900334209292369e+00	9.823473657602522e-01
21	12	2.393783437766455e+00	1.135628326939427e+00
21	13	2.547064398945631e+00	1.135628326939427e+00
21	14	2.747053248113194e+00	1.135628326939428e+00
21	15	2.900334209292368e+00	1.135628326939427e+00
22	0	2.982018731884103e+00	6.290775554135140e-01
22	1	3.135299693063279e+00	6.290775554135141e-01
22	2	3.335288542230840e+00	6.290775554135138e-01
22	3	3.488569503410015e+00	6.290775554135137e-01
22	4	2.982018731884103e+00	7.823585165926896e-01
22	5	3.135299693063279e+00	7.823585165926894e-01
22	6	3.335288542230840e+00	7.823585165926895e-01
22	7	3.488569503410015e+00	7.823585165926895e-01
22	8	2.982018731884103e+00	9.823473657602522e-01
22	9	3.135299693063279e+00	9.823473657602521e-01
22	10	3.335288542230841e+00	9.823473657602521e-01
22	11	3.488569503410016e+00	9.823473657602521e-01
22	12	2.982018731884102e+00	1.135628326939427e+00
22	13	3.135299693063277e+00	1.135628326939428e+00
22	14	3.335288542230840e+00	1.135628326939427e+00
22	15	3.488569503410016e+00	1.135628326939427e+00
23	0	3.570254026001749e+00	6.290775554135141e-01
23	1	3.723534987180925e+00	6.290775554135141e-01
23	2	3.923523836348487e+00	6.290775554135140e-01
23	3	4.076804797527663e+00	6.290775554135140e-01
23	4	3.570254026001749e+00	7.823585165926894e-01
23	5	3.723534987180926e+00	7.823585165926894e-01
23	6	3.923523836348489e+00	7.823585165926894e-01
23	7	4.076804797527664e+00	7.823585165926895e-01
23	8	3.570254026001749e+00	9.823473657602519e-01
23	9	3.723534987180924e+00	9.823473657602517e-01
23	10	3.923523836348488e+00	9.823473657602521e-01
23	11	4.076804797527664e+00	9.823473657602521e-01
23	12	3.570254026001749e+00	1.135628326939427e+00
23	13	3.723534987180924e+00	1.135628326939427e+00
23	14	3.923523836348488e+00	1.135628326939428e+00
23	15	4.076804797527662e+00	1.135628326939427e+00
24	0	4.158489320119395e+00	6.290775554135138e-01
24	1	4.311770281298572e+00	6.290775554135140e-01
24	2	4.511759130466135e+00	6.290775554135141e-01
24	3	4.665040091645311e+00	6.290775554135140e-01
24	4	4.158489320119398e+00	7.823585165926896e-01
24	5	4.311770281298573e+00	7.823585165926895e-01
24	6	4.511759130466134e+00	7.823585165926894e-01
24	7	4.665040091645310e+00	7.823585165926896e-01
24	8	4.158489320119398e+00	9.823473657602521e-01
24	9	4.311770281298572e+00	9.823473657602521e-01
24	10	4.511759130466134e+00	9.823473657602521e-01
24	11	4.665040091645310e+00	9.823473657602522e-01
24	12	4.158489320119396e+00	1.135628326939427e+00
24	13	4.311770281298571e+00	1.135628326939427e+00
24	14	4.511759130466135e+00	1.135628326939428e+00
24	15	4.665040091645309e+00	1.135628326939427e+00
25	0	4.746724614237044e+00	6.290775554135140e-01
25	1	4.900005575416219e+00	6.290775554135141e-01
25	2	5.099994424583782e+00	6.290775554135141e-01
25	3	5.253275385762957e+00	6.290775554135140e-01
25	4	4.746724614237044e+00	7.823585165926896e-01
25	5	4.900005575416220e+00	7.823585165926894e-01
25	6	5.099994424583783e+00	7.823585165926895e-01
25	7	5.253275385762957e+00	7.823585165926895e-01
25	8	4.746724614237043e+00	9.823473657602521e-01
25	9	4.900005575416220e+00	9.823473657602521e-01
25	10	5.099994424583782e+00	9.823473657602521e-01
25	11	5.253275385762956e+00	9.823473657602521e-01
25	12	4.746724614237043e+00	1.135628326939427e+00
25	13	4.900005575416219e+00	1.135628326939428e+00
25	14	5.099994424583780e+00	1.135628326939428e+00
25	15	5.253275385762958e+00	1.135628326939427e+00
26	0	5.334959908354691e+00	6.290775554135141e-01
26	1	5.488240869533866e+00	6.290775554135140e-01
26	2	5.688229718701430e+00	6.290775554135141e-01
26	3	5.841510679880604e+00	6.290775554135140e-01
26	4	5.334959908354691e+00	7.823585165926895e-01
26	5	5.488240869533867e+00	7.823585165926894e-01
26	6	5.688229718701429e+00	7.823585165926895e-01
26	7	5.841510679880605e+00	7.823585165926895e-01
26	8	5.334959908354692e+00	9.823473657602523e-01
26	9	5.488240869533866e+00	9.823473657602521e-01
26	10	5.688229718701429e+00	9.823473657602521e-01
26	11	5.841510679880604e+00	9.823473657602521e-01
26	12	5.334959908354691e+00	1.135628326939427e+00
26	13	5.488240869533866e+00	1.135628326939427e+00
26	14	5.688229718701430e+00	1.135628326939428e+00
26	15	5.841510679880603e+00	1.135628326939427e+00
27	0	5.923195202472336e+00	6.290775554135141e-01
27	1	6.076476163651512e+00	6.290775554135140e-01
27	2	6.276465012819076e+00	6.290775554135140e-01
27	3	6.429745973998251e+00	6.290775554135138e-01
27	4	5.923195202472338e+00	7.823585165926895e-01
27	5	6.076476163651513e+00	7.823585165926893e-01
27	6	6.276465012819075e+00	7.823585165926892e-01
27	7	6.429745973998252e+00	7.823585165926896e-01
27	8	5.923195202472339e+00	9.823473657602522e-01
27	9	6.076476163651512e+00	9.823473657602521e-01
27	10	6.276465012819076e+00	9.823473657602519e-01
27	11	6.429745973998251e+00	9.823473657602521e-01
27	12	5.923195202472336e+00	1.135628326939427e+00
27	13	6.076476163651513e+00	1.135628326939427e+00
27	14	6.276465012819077e+00	1.135628326939428e+00
27	15	6.429745973998251e+00	1.135628326939427e+00
28	0	6.511430496589985e+00	6.290775554135138e-01
28	1	6.664711457769160e+00	6.290775554135141e-01
28	2	6.864700306936724e+00	6.290775554135141e-01
28	3	7.017981268115899e+00	6.290775554135141e-01
28	4	6.511430496589986e+00	7.823585165926895e-01
28	5	6.664711457769163e+00	7.823585165926894e-01
28	6	6.864700306936723e+00	7.823585165926893e-01
28	7	7.017981268115897e+00	7.823585165926894e-01
28	8	6.511430496589985e+00	9.823473657602521e-01
28	9	6.664711457769162e+00	9.823473657602521e-01
28	10	6.864700306936721e+00	9.823473657602517e-01
28	11	7.017981268115899e+00	9.823473657602519e-01
28	12	6.511430496589986e+00	1.135628326939427e+00
28	13	6.664711457769160e+00	1.135628326939428e+00
28	14	6.864700306936721e+00	1.135628326939427e+00
28	15	7.017981268115898e+00	1.135628326939427e+00
29	0	7.099665790707632e+00	6.290775554135138e-01
29	1	7.252946751886809e+00	6.290775554135142e-01
29	2	7.452935601054369e+00	6.290775554135140e-01
29	3	7.606216562233545e+00	6.290775554135141e-01
29	4	7.099665790707632e+00	7.823585165926895e-01
29	5	7.252946751886808e+00	7.823585165926895e-01
29	6	7.452935601054371e+00	7.823585165926895e-01
29	7	7.606216562233545e+00	7.823585165926893e-01
29	8	7.099665790707633e+00	9.823473657602521e-01
29	9	7.252946751886807e+00	9.823473657602518e-01
29	10	7.452935601054371e+00	9.823473657602519e-01
29	11	7.606216562233548e+00	9.823473657602523e-01
29	12	7.099665790707633e+00	1.135628326939427e+00
29	13	7.252946751886808e+00	1.135628326939428e+00
29	14	7.452935601054370e+00	1.135628326939427e+00
29	15	7.606216562233544e+00	1.135628326939427e+00
30	0	7.687901084825279e+00	6.290775554135141e-01
30	1	7.841182046004454e+00	6.290775554135141e-01
30	2	8.041170895172016e+00	6.290775554135141e-01
30	3	8.194451856351192e+00	6.290775554135140e-01
30	4	7.687901084825278e+00	7.823585165926894e-01
30	5	7.841182046004454e+00	7.823585165926894e-01
30	6	8.041170895172016e+00	7.823585165926894e-01
30	7	8.194451856351193e+00	7.823585165926896e-01
30	8	7.687901084825279e+00	9.823473657602521e-01
30	9	7.841182046004453e+00	9.823473657602521e-01
30	10	8.041170895172018e+00	9.823473657602523e-01
30	11	8.194451856351190e+00	9.823473657602522e-01
30	12	7.687901084825278e+00	1.135628326939427e+00
30	13	7.841182046004453e+00	1.135628326939427e+00
30	14	8.041170895172016e+00	1.135628326939428e+00
30	15	8.194451856351188e+00	1.135628326939427e+00
31	0	8.276136378942926e+00	6.290775554135140e-01
31	1	8.429417340122100e+00	6.290775554135141e-01
31	2	8.629406189289664e+00	6.290775554135141e-01
31	3	8.782687150468838e+00	6.290775554135140e-01
31	4	8.276136378942926e+00	7.823585165926896e-01
31	5	8.429417340122102e+00	7.823585165926895e-01
31	6	8.629406189289666e+00	7.823585165926895e-01
31	7	8.782687150468840e+00	7.823585165926895e-01
31	8	8.276136378942926e+00	9.823473657602522e-01
31	9	8.429417340122104e+00	9.823473657602521e-01
31	10	8.629406189289664e+00	9.823473657602521e-01
31	11	8.782687150468840e+00	9.823473657602521e-01
31	12	8.276136378942926e+00	1.135628326939427e+00
31	13	8.429417340122098e+00	1.135628326939427e+00
31	14	8.629406189289664e+00	1.135628326939428e+00
31	15	8.782687150468840e+00	1.135628326939427e+00
32	0	8.864371673060573e+00	6.290775554135141e-01
32	1	9.017652634239747e+00	6.290775554135138e-01
32	2	9.217641483407313e+00	6.290775554135142e-01
32	3	9.370922444586485e+00	6.290775554135140e-01
32	4	8.864371673060573e+00	7.823585165926895e-01
32	5	9.017652634239749e+00	7.823585165926893e-01
32	6	9.217641483407311e+00	7.823585165926893e-01
32	7	9.370922444586490e+00	7.823585165926896e-01
32	8	8.864371673060575e+00	9.823473657602521e-01
32	9	9.017652634239745e+00	9.823473657602519e-01
32	10	9.217641483407311e+00	9.823473657602521e-01
32	11	9.370922444586483e+00	9.823473657602517e-01
32	12	8.864371673060571e+00	1.135628326939427e+00
32	13	9.017652634239749e+00	1.135628326939427e+00
32	14	9.217641483407313e+00	1.135628326939428e+00
32	15	9.370922444586490e+00	1.135628326939427e+00
33	0	9.452606967178220e+00	6.290775554135138e-01
33	1	9.605887928357395e+00	6.290775554135138e-01
33	2	9.805876777524958e+00	6.290775554135141e-01
33	3	9.959157738704135e+00	6.290775554135138e-01
33	4	9.452606967178220e+00	7.823585165926895e-01
33	5	9.605887928357395e+00	7.823585165926894e-01
33	6	9.805876777524960e+00	7.823585165926895e-01
33	7	9.959157738704137e+00	7.823585165926895e-01
33	8	9.452606967178220e+00	9.823473657602519e-01
