e	gp_n	x	y
0	0	4.084226129586689e-02	4.084226129586689e-02
0	1	1.941232224750423e-01	4.084226129586689e-02
0	2	3.941120716426048e-01	4.084226129586689e-02
0	3	5.473930328217803e-01	4.084226129586688e-02
0	4	4.084226129586689e-02	1.941232224750423e-01
0	5	1.941232224750423e-01	1.941232224750423e-01
0	6	3.941120716426049e-01	1.941232224750423e-01
0	7	5.473930328217804e-01	1.941232224750424e-01
0	8	4.084226129586689e-02	3.941120716426048e-01
0	9	1.941232224750423e-01	3.941120716426049e-01
0	10	3.941120716426048e-01	3.941120716426049e-01
0	11	5.473930328217802e-01	3.941120716426049e-01
0	12	4.084226129586688e-02	5.473930328217803e-01
0	13	1.941232224750423e-01	5.473930328217804e-01
0	14	3.941120716426048e-01	5.473930328217802e-01
0	15	5.473930328217804e-01	5.473930328217804e-01
1	0	6.290775554135141e-01	4.084226129586689e-02
1	1	7.823585165926894e-01	4.084226129586690e-02
1	2	9.823473657602518e-01	4.084226129586690e-02
1	3	1.135628326939428e+00	4.084226129586690e-02
1	4	6.290775554135140e-01	1.941232224750423e-01
1	5	7.823585165926894e-01	1.941232224750423e-01
1	6	9.823473657602521e-01	1.941232224750423e-01
1	7	1.135628326939427e+00	1.941232224750423e-01
1	8	6.290775554135140e-01	3.941120716426048e-01
1	9	7.823585165926895e-01	3.941120716426049e-01
1	10	9.823473657602521e-01	3.941120716426049e-01
1	11	1.135628326939427e+00	3.941120716426049e-01
1	12	6.290775554135140e-01	5.473930328217803e-01
1	13	7.823585165926894e-01	5.473930328217803e-01
1	14	9.823473657602519e-01	5.473930328217804e-01
1	15	1.135628326939428e+00	5.473930328217803e-01
2	0	1.217312849531161e+00	4.084226129586689e-02
2	1	1.370593810710336e+00	4.084226129586689e-02
2	2	1.570582659877899e+00	4.084226129586689e-02
2	3	1.723863621057075e+00	4.084226129586690e-02
2	4	1.217312849531161e+00	1.941232224750423e-01
2	5	1.370593810710336e+00	1.941232224750423e-01
2	6	1.570582659877900e+00	1.941232224750423e-01
2	7	1.723863621057075e+00	1.941232224750423e-01
2	8	1.217312849531161e+00	3.941120716426049e-01
2	9	1.370593810710337e+00	3.941120716426048e-01
2	10	1.570582659877899e+00	3.941120716426049e-01
2	11	1.723863621057074e+00	3.941120716426048e-01
2	12	1.217312849531161e+00	5.473930328217803e-01
2	13	1.370593810710337e+00	5.473930328217802e-01
2	14	1.570582659877899e+00	5.473930328217803e-01
2	15	1.723863621057075e+00	5.473930328217802e-01
3	0	1.805548143648808e+00	4.084226129586688e-02
3	1	1.958829104827984e+00	4.084226129586689e-02
3	2	2.158817953995546e+00	4.084226129586688e-02
3	3	2.312098915174722e+00	4.084226129586688e-02
3	4	1.805548143648808e+00	1.941232224750423e-01
3	5	1.958829104827984e+00	1.941232224750423e-01
3	6	2.158817953995547e+00	1.941232224750423e-01
3	7	2.312098915174722e+00	1.941232224750424e-01
3	8	1.805548143648809e+00	3.941120716426048e-01
3	9	1.958829104827984e+00	3.941120716426048e-01
3	10	2.158817953995547e+00	3.941120716426049e-01
3	11	2.312098915174722e+00	3.941120716426049e-01
3	12	1.805548143648809e+00	5.473930328217803e-01
3	13	1.958829104827984e+00	5.473930328217804e-01
3	14	2.158817953995546e+00	5.473930328217802e-01
3	15	2.312098915174721e+00	5.473930328217802e-01
4	0	2.393783437766456e+00	4.084226129586690e-02
4	1	2.547064398945631e+00	4.084226129586689e-02
