xi	eta	x	y	stress_r	stress_theta
 5.7144000000e-02	 5.7144000000e-02	 1.0820544331e+00	 8.9083119214e-02	 2.2147811464e+01	 1.6307635414e+00
 5.7144000000e-02	 7.1430000000e-02	 1.0799517919e+00	 1.1172157880e-01	 2.2041074821e+01	 1.6182340924e+00
 5.7144000000e-02	 8.5716000000e-02	 1.0773544869e+00	 1.3448011128e-01	 2.1909644086e+01	 1.6025398593e+00
 5.7144000000e-02	 1.0000200000e-01	 1.0742534339e+00	 1.5734414644e-01	 2.1753343297e+01	 1.5837661341e+00
 5.7144000000e-02	 1.1428800000e-01	 1.0706400494e+00	 1.8029852284e-01	 2.1572281846e+01	 1.5622018897e+00
 5.7144000000e-02	 1.2857400000e-01	 1.0665062904e+00	 2.0332750510e-01	 2.1366859287e+01	 1.5383537378e+00
 5.7144000000e-02	 1.4286000000e-01	 1.0618446947e+00	 2.2641480411e-01	 2.1137768323e+01	 1.5129585169e+00
 7.1430000000e-02	 0.0000000000e+00	 1.1071443676e+00	 0.0000000000e+00	 2.1507689944e+01	 1.9701060031e+00
 7.1430000000e-02	 1.4286000000e-02	 1.1069165323e+00	 2.2459439885e-02	 2.1493774570e+01	 1.9671270213e+00
 7.1430000000e-02	 2.8572000000e-02	 1.1062256057e+00	 4.5094476081e-02	 2.1459998706e+01	 1.9614878168e+00
 7.1430000000e-02	 4.2858000000e-02	 1.1050606929e+00	 6.7892779762e-02	 2.1405246478e+01	 1.9526678177e+00
 7.1430000000e-02	 5.7144000000e-02	 1.1034112460e+00	 9.0841377815e-02	 2.1328642877e+01	 1.9402765976e+00
 7.1430000000e-02	 7.1430000000e-02	 1.1012671045e+00	 1.1392665905e-01	 2.1229563610e+01	 1.9240699335e+00
 7.1430000000e-02	 8.5716000000e-02	 1.0986185357e+00	 1.3713438310e-01	 2.1107643668e+01	 1.9039653365e+00
 7.1430000000e-02	 1.0000200000e-01	 1.0954562764e+00	 1.6044969215e-01	 2.0962784484e+01	 1.8800568222e+00
 7.1430000000e-02	 1.1428800000e-01	 1.0917715735e+00	 1.8385712554e-01	 2.0795159583e+01	 1.8526286887e+00
 7.1430000000e-02	 1.2857400000e-01	 1.0875562253e+00	 2.0734063731e-01	 2.0605218612e+01	 1.8221680689e+00
 7.1430000000e-02	 1.4286000000e-01	 1.0828026224e+00	 2.3088361684e-01	 2.0393689670e+01	 1.7893760296e+00
 8.5716000000e-02	 0.0000000000e+00	 1.1285734986e+00	 0.0000000000e+00	 2.0754676277e+01	 2.2525167753e+00
 8.5716000000e-02	 1.4286000000e-02	 1.1283412535e+00	 2.2894149480e-02	 2.0742096611e+01	 2.2491820016e+00
 8.5716000000e-02	 2.8572000000e-02	 1.1276369538e+00	 4.5967293992e-02	 2.0710996566e+01	 2.2422742153e+00
 8.5716000000e-02	 4.2858000000e-02	 1.1264494938e+00	 6.9206866085e-02	 2.0660378846e+01	 2.2313186263e+00
 8.5716000000e-02	 5.7144000000e-02	 1.1247681213e+00	 9.2599641545e-02	 2.0589478538e+01	 2.2159642460e+00
 8.5716000000e-02	 7.1430000000e-02	 1.1225824792e+00	 1.1613174573e-01	 2.0497771922e+01	 2.1959990375e+00
 8.5716000000e-02	 8.5716000000e-02	 1.1198826465e+00	 1.3978866265e-01	 2.0384984065e+01	 2.1713644052e+00
 8.5716000000e-02	 1.0000200000e-01	 1.1166591807e+00	 1.6355524692e-01	 2.0251095105e+01	 2.1421688017e+00
 8.5716000000e-02	 1.1428800000e-01	 1.1129031592e+00	 1.8741573862e-01	 2.0096345093e+01	 2.1087002289e+00
 8.5716000000e-02	 1.2857400000e-01	 1.1086062216e+00	 2.1135378123e-01	 1.9921237320e+01	 2.0714374138e+00
 8.5716000000e-02	 1.4286000000e-01	 1.1037606112e+00	 2.3535244260e-01	 1.9726540041e+01	 2.0310594433e+00
 1.0000200000e-01	 0.0000000000e+00	 1.1500026746e+00	 0.0000000000e+00	 2.0069331219e+01	 2.4956486653e+00
 1.0000200000e-01	 1.4286000000e-02	 1.1497660197e+00	 2.3328859987e-02	 2.0058149114e+01	 2.4920663551e+00
 1.0000200000e-01	 2.8572000000e-02	 1.1490483469e+00	 4.6840113736e-02	 2.0029704122e+01	 2.4839882363e+00
 1.0000200000e-01	 4.2858000000e-02	 1.1478383395e+00	 7.0520955167e-02	 1.9983115244e+01	 2.4709814729e+00
