コントロールポイント番号	rf_x	rf_y
214	-1.409305436385851e-14	1.689441794717060e-14
215	2.239076093548027e-14	8.803579830499070e-16
216	1.092586490844073e-14	2.975431867853674e-15
217	-1.764690425095777e-14	-1.287836421061810e-14
218	-3.369954449106466e-14	4.071627691613938e-15
219	4.325674629124051e-14	-1.272051623752822e-14
220	-9.501334092016427e-02	-4.431620319936435e-15
221	4.229780641962825e-15	1.980315786890593e-14
222	-3.920694174817874e-16	1.616992500322015e-14
223	-1.218979447520824e-14	-2.482363614466130e-14
224	-1.084262558572736e-14	-3.845488675253821e-14
225	3.535695974702198e-15	-6.482474687010289e-15
226	2.995949253345876e-15	-9.994427146056456e-15
227	-5.528527375964667e-15	1.139673527504315e-14
228	9.280680659971348e-15	-9.019868107561797e-15
229	1.559164516661251e-15	-2.792437538047102e-15
230	-5.191014963236508e-15	-1.890092497551576e-15
231	1.052815660144867e-15	-1.204653820056801e-14
232	1.160016433373761e-14	-1.376011315874818e-14
233	-5.600020389809740e-16	-7.843081283733920e-15
234	-7.973548494819713e-15	-1.491869251884784e-14
235	1.196207681477587e-14	-9.441990577215220e-15
236	-6.327234719283262e-15	-9.012025784919314e-15
237	-3.244134090823754e-14	-1.151042289950939e-14
238	-2.299188621658805e-14	4.866552012627150e-15
239	5.478177208475148e-14	-1.627017998497164e-14
240	-1.065850078933631e-01	-6.249243719960648e-15
241	3.881705251305987e-15	1.507277141050814e-14
242	-4.929868869735388e-15	6.054826499007899e-15
243	-1.638415312839581e-14	-4.353766950618455e-15
244	1.603045439643077e-15	1.160822904779093e-14
245	4.649473271789969e-15	2.590164354292783e-14
246	1.828902231738921e-15	1.419507030782531e-14
247	-5.914112794750820e-15	2.701574797371445e-14
248	3.721088963865458e-15	-8.280584745527311e-15
249	7.215629919371888e-15	3.439672046379611e-15
250	-1.023691726778262e-14	6.154152359041459e-15
251	-7.573877031721538e-15	-4.852371531102266e-16
252	6.382232177229576e-15	-1.108669872206312e-14
253	1.431378308467098e-15	-9.571658173105133e-15
254	-9.042255267883390e-15	-1.006355971390635e-14
255	2.612535551489206e-15	-1.969189410245606e-14
256	5.243421820766550e-15	1.113319683703370e-15
257	-3.273014241422356e-15	1.162024706272531e-14
258	-2.977996688330830e-15	4.066371085121303e-14
259	1.611473213650954e-14	4.618776192130169e-15
260	-1.244694637351187e-01	-1.299317511764882e-14
261	4.589716803524589e-15	-2.069843497963884e-14
262	-2.282785305019558e-15	-1.464405055640088e-14
263	-2.627206787085951e-15	5.000887698429831e-15
264	-3.154918823382243e-16	2.774252329131010e-15
265	7.975123282490467e-15	-2.136514752367809e-16
266	-8.899984182284066e-15	8.027900061906791e-15
267	-6.201212635157603e-15	6.737685369342188e-15
268	-1.691304693245595e-15	-2.152988426136187e-14
269	-4.788429022444339e-16	-2.720548114605096e-14
270	-4.718674650649524e-15	-2.565949179005534e-14
271	1.948581781806246e-16	-1.251326787686278e-14
272	2.482649307549783e-15	1.650187985797484e-14
273	-5.063123614395902e-15	2.193203381859518e-14
274	-1.712803413487622e-14	2.972298222665019e-14
275	-1.140700205029047e-14	1.621586663947971e-14
276	8.262274931504768e-15	4.526285471070915e-16
277	2.411896019512212e-14	6.782152989256782e-15
278	2.153575618047371e-14	9.831718749688345e-15
279	-1.209554828158213e-14	-6.967707425845327e-16
280	-1.500089443264908e-01	-1.286049347093609e-15
281	-8.033270113583799e-17	1.291449083460048e-14
282	1.190060464573099e-14	9.331602257114607e-15
283	6.304945048803525e-15	1.653626805871563e-14
284	2.339322184250318e-15	1.189005888753131e-14
285	-4.629753247522807e-15	-1.227489514372593e-14
286	-5.685239344909455e-15	-8.694162827211745e-15
287	4.126075620609682e-15	-1.242706065919043e-15
288	-1.344861810384504e-14	-7.087218614440055e-15
289	-5.055842629868410e-15	4.151068788571081e-15
290	6.386814205628363e-15	-8.879988409204225e-15
291	7.618846451222773e-15	-9.205362454370838e-15
292	1.014012383024168e-14	-2.466305785452477e-14
293	1.033446886308744e-14	3.024155249539809e-14
294	-1.420921134198081e-14	8.571707568476024e-15
295	-1.614074192603181e-14	2.491728140937798e-14
296	4.698060721254595e-15	2.159220903121090e-14
297	7.017492707569939e-15	1.540473676923523e-14
298	1.161073027533810e-14	-3.467632449376174e-15
299	-5.980807373941958e-15	-1.218727294923045e-14
300	-1.844122741638539e-01	2.664431554536402e-14
301	-9.268080280772850e-16	1.923860933544107e-14
302	-4.266935300944976e-15	1.706021257034675e-14
303	-2.685847782882408e-15	-7.628005400464406e-15
304	-1.149499970461780e-15	-5.578334783466886e-15
305	-2.301184854423541e-15	-2.511422257303764e-14
306	6.023729901426144e-15	7.380021331949089e-16
307	1.845814627956824e-14	-2.991465605874870e-14
308	-2.779792647212941e-15	2.076281318490152e-14
309	-1.442504266841585e-14	4.671126004199427e-14
310	-9.976312133367356e-15	1.756515359951715e-14
311	-8.775111065184439e-15	-7.807079895122459e-15
312	6.971572833448398e-15	9.267302430959901e-15
313	1.995162137461021e-14	5.864545071947846e-15
314	-1.139159994669989e-14	9.972675176969937e-15
315	-1.300872366242031e-14	1.605247639254415e-14
316	-1.296197084034443e-14	1.751234847576325e-15
317	-2.856366870429376e-14	-2.343345112438403e-14
318	-1.873106723162585e-14	-1.640537683006651e-14
319	1.332077887056250e-14	-1.964544095440925e-14
320	-2.302407788249915e-01	-3.168985740941556e-15
321	-4.814235910880100e-15	-8.106560598552987e-15
322	-1.868675231215069e-15	-1.887247215201686e-15
323	-6.774154343936516e-15	1.259496943010634e-14
324	-1.297881636674012e-15	2.322568319366383e-14
325	7.278397286992419e-15	2.663866269592873e-14
326	-2.068447777987820e-15	6.434813043814016e-14
327	8.042788221325756e-15	2.559697675207929e-14
328	6.030634162466875e-15	-4.298011147104866e-15
329	-4.986993802958182e-16	-1.316276734151064e-14
330	-1.588127736300223e-14	4.482866035119556e-15
331	-1.231380091646578e-14	-8.219143561704380e-15
332	6.505277200006027e-15	-9.676676721031573e-15
333	5.918785850805014e-15	1.068378700283949e-14
334	1.832323621989884e-16	-2.706789543240479e-15
335	-1.524761047018551e-14	-2.743887955645800e-14
336	-1.882588277803534e-14	-7.455349443589915e-15
337	-1.995956445339267e-14	2.202531854989982e-14
338	-3.737242409052628e-14	8.461836875342521e-15
339	1.852103527339458e-14	1.374415037827991e-14
340	-2.074834727122243e-01	-1.482465927083350e-14
341	-5.495887919941155e-15	-2.585428230303948e-14
342	3.516690957705106e-15	-5.836947927251144e-15
343	4.182675202612416e-16	-1.959316427768962e-14
344	-3.423185478468146e-15	2.589496795922447e-14
345	2.462697203331344e-15	-3.913298100443475e-14
346	-1.402976909319934e-15	-1.787693486738438e-14
347	-5.052982482682248e-15	-1.786257709706599e-15
348	3.402692997893203e-15	-1.555195753532113e-15
349	1.632820634730294e-15	3.989616145172151e-15
350	-1.508715442539655e-15	-8.632582296965702e-16
351	-4.640697836567540e-15	-1.480908678144288e-15
352	1.145911648954897e-14	6.448235895780572e-15
353	8.518234466230932e-15	3.872175719023623e-15
354	-1.439091231433150e-14	-6.143488280544717e-14
355	-1.446571429687135e-15	-6.014356079734829e-14
356	8.361054923496113e-15	2.173834522689374e-14
357	1.280066155625082e-14	-3.606437325401666e-15
358	2.267548141931361e-15	-1.554402240659416e-14
359	-1.012520394667554e-14	2.411727885942092e-14
360	-1.594008480910854e-01	-8.032868930779916e-15
361	5.545277987475682e-15	1.085932656164534e-14
362	1.228855605444481e-15	1.682519613857196e-14
363	3.499866338654878e-15	2.895669379876349e-14
364	-9.111432332143655e-15	-3.107988747562467e-14
365	2.009322509775111e-15	-4.070388035527779e-14
366	4.385603435693088e-15	-4.490764391921590e-14
367	4.868007694529999e-15	2.812810504025776e-14
368	7.670732717873522e-15	6.563931440333988e-14
369	-6.213437025767617e-15	7.056553969472991e-14
370	-1.993216912902173e-14	4.939397146388601e-14
371	-9.413128241919380e-16	-4.745182078110181e-14
372	7.182660723772107e-15	2.588210412031253e-14
373	-3.305106921251125e-15	-9.642541049368070e-14
374	-1.009234273324917e-14	-6.678285496963839e-14
375	1.461315825689494e-14	-7.646679706759681e-14
376	1.193255905522471e-14	2.469520486461015e-14
377	1.167268839414673e-14	-6.611721035578481e-15
378	2.409962693764560e-14	-4.333538846304085e-14
379	-1.706998774712106e-14	4.359494667489211e-15
380	-8.783064299646680e-02	1.470588235293427e+00
381	8.411563628644784e-15	2.941176470586806e+00
382	-1.311336959041334e-15	4.411764705880211e+00
383	-1.026083686752114e-15	5.882352941173639e+00
384	1.366973221340240e-15	5.882352941173588e+00
385	-1.093371455017276e-14	5.882352941173615e+00
386	1.431624258427789e-15	5.882352941173691e+00
387	-1.110466811295288e-18	5.882352941173641e+00
388	-4.141550689682542e-15	5.882352941173494e+00
389	-4.429536740895330e-15	5.882352941173516e+00
390	3.799166115472732e-16	5.882352941173626e+00
391	4.626612646740361e-15	5.882352941173601e+00
392	-1.523267164512230e-14	5.882352941173679e+00
393	-3.136230296761394e-14	5.882352941173711e+00
394	5.053356678641098e-15	5.882352941173700e+00
395	3.376356864281093e-14	5.882352941173639e+00
396	7.612759457939682e-15	5.882352941173524e+00
397	-2.492279472499356e-15	4.411764705880177e+00
398	1.189956798224869e-14	2.941176470586776e+00
399	-3.279133048265676e-15	1.470588235293400e+00
400	3.752894368197261e-15	-4.320790934166149e-01
401	-2.475356235632332e-15	-8.213462016062689e-01
402	-4.792069805694715e-16	-1.147364895611512e+00
403	2.707022134053028e-15	-1.402472041454107e+00
404	1.985872303265305e-15	-1.272474419718147e+00
405	9.093800612910630e-16	-1.169655395522929e+00
406	-2.489373751138186e-15	-1.087314766924494e+00
407	-2.393567411111842e-15	-1.020574533138306e+00
408	-9.164115479315830e-16	-9.659219702729089e-01
409	7.479586944699729e-16	-9.207585221051737e-01
410	3.960903858663898e-16	-8.831334962327140e-01
411	3.299468964747166e-16	-8.515752940993530e-01
412	-5.965552639159407e-16	-8.249065190047664e-01
413	-8.907115128811247e-16	-8.021639887195052e-01
414	4.283727204123098e-16	-7.824007690757565e-01
415	-3.719949283826662e-16	-7.645972757015382e-01
416	-3.796757165971655e-16	-7.470007280171633e-01
417	-3.159130873073285e-16	-5.482479242842843e-01
418	-3.328296322831974e-16	-3.577244052760371e-01
419	1.155278892458653e-01	-1.677171462696427e-01
420	7.283550865682452e-15	-2.668181692924914e-16
421	-4.861358529321035e-15	-9.712005612339989e-16
422	2.334628481092163e-16	-1.513364215831875e-16
423	2.763431904419864e-16	6.851756313832777e-16
424	1.612507374570686e-15	4.641145621977502e-17
425	1.594153698121933e-15	-6.699994476362481e-16
426	1.988013257266219e-16	-1.199745664464785e-15
427	-2.275894780282250e-15	-2.979452362272066e-16
428	9.339068210342306e-16	4.961059866797160e-17
429	-1.275892299649487e-15	6.774619179165799e-17
430	-3.363158221462309e-17	1.598620479245833e-16
431	-1.189840409177074e-16	-3.655085692237563e-16
432	-3.254203573676733e-16	-3.683949267391515e-16
433	-8.211236295118067e-16	5.148300023060145e-17
434	-5.402790877158268e-16	1.530229217736210e-16
435	2.885339310861874e-16	6.254274995475086e-17
436	2.826260817300733e-17	1.927011526226327e-16
437	-1.438152822771394e-16	-9.390539448995175e-17
438	-1.296818030158174e-17	3.559920658632214e-17
439	2.340148476339253e-01	5.497930579929580e-02
440	8.887026616260707e-15	2.645456063647877e-16
441	-1.864335720547734e-15	-6.301687447562735e-16
442	5.008916382007864e-16	2.404341478475961e-16
443	6.882749734307446e-16	1.013651422810733e-15
444	5.100505573795740e-16	-2.211256023014012e-18
445	6.321247892197823e-16	-1.436438075086825e-15
446	-4.569644909446146e-16	-4.655866000591736e-16
447	-2.595554892521963e-15	-7.429761488181168e-16
448	2.940881998651253e-15	-4.840476035672212e-16
449	3.319575200805553e-15	-2.526290517435188e-17
450	4.511701840958429e-16	3.921923425695710e-16
451	-4.105069104152705e-15	-7.585965671924692e-16
452	-1.135824020048404e-16	-6.507212040423365e-16
453	1.039427971602563e-18	-2.339165836619691e-16
454	-3.261932213720982e-17	-1.544609036140238e-16
455	1.954177618195865e-16	2.765362718711467e-16
456	-1.305454047526327e-16	4.539539684493964e-16
457	-4.384725806989337e-16	3.649567846442751e-17
458	-4.703065736334777e-17	4.459596703558369e-17
459	3.396107998342090e-01	1.995772014883579e-01
460	-3.669709082244764e-16	-2.559921601299341e-16
461	2.757845246503870e-15	1.641500614266462e-15
462	1.596286330136585e-16	5.907841284899275e-16
463	-2.334887921121411e-16	-1.525489688823818e-15
464	-1.352060308295876e-15	-4.114539590059896e-16
465	-1.013261596266081e-15	-2.075905664222221e-15
466	-1.179980006278201e-15	7.575894909267079e-17
467	-4.490839260080191e-15	1.685306953707026e-16
468	3.262270265467205e-15	-4.439151853180470e-16
469	3.982767987527219e-15	2.430644494588758e-16
470	1.722222933859329e-16	-5.051861504318222e-16
471	-4.887674917377120e-15	-7.492251271680420e-16
472	1.617723267336968e-16	4.835287023122212e-16
473	2.425964347007988e-15	-2.537417396898551e-16
474	4.185618889741320e-16	7.057152043844692e-17
475	5.386738970014630e-16	-1.834634727180378e-16
476	2.843723808749397e-16	-3.681741436516622e-16
477	-1.912745647815774e-16	-1.436766203366959e-16
478	-1.378431772208494e-16	1.328411829695168e-16
479	4.143766242640972e-01	4.893567691099250e-01
480	2.624896760838112e-15	-4.105231124587972e-15
481	2.955124309975296e-15	1.300454267327301e-15
482	-2.867205791712628e-15	-9.306279558233249e-16
483	-3.108732164971061e-15	-1.078568732852979e-15
484	2.623295178802568e-15	-8.766130643051541e-16
485	6.525346094034684e-18	-7.580070835463782e-16
486	6.243378501321955e-16	1.051524703945629e-15
487	-3.085506552473223e-15	1.385483690391090e-15
488	1.722736549753332e-15	-5.438570940129306e-16
489	1.861996503170395e-15	-1.109085889788794e-15
490	-6.114375812167327e-16	-1.859603586720492e-15
491	3.050028146387131e-15	-6.395421573996665e-16
492	-1.333354167422229e-15	4.010153349386562e-16
493	2.791706983477979e-16	-7.241797409747835e-16
494	1.134730103673600e-16	-4.246094941912003e-16
495	8.148463399683762e-16	2.579221238730724e-16
496	1.814004438935769e-16	-6.364348131552550e-17
497	6.395910778433699e-16	-4.233551568640901e-16
498	3.142298475526770e-16	-1.981378146728279e-16
499	3.438881567612297e-01	7.534097331710999e-01
500	2.558860202841983e-15	-2.276976538459142e-15
501	2.143304286301013e-15	3.788045984045409e-15
502	1.013374925179880e-15	-6.685159292963290e-16
503	4.327391765995742e-16	1.531223801506770e-15
504	-1.266501645847942e-15	3.713929965472356e-16
505	1.388113313404075e-15	1.764203079209502e-15
506	4.106507933077754e-16	1.568601249385999e-15
507	-1.832133779375356e-15	-8.546250647573625e-16
508	-1.545033091832227e-15	1.093045610562133e-16
509	-2.755362822529786e-15	1.921782048776242e-16
510	-2.525606050914104e-15	-1.389422441830792e-15
511	5.647978187832229e-15	2.350347518220353e-16
512	1.049681399759978e-15	8.205121048967397e-16
513	-1.457672646497226e-15	2.720922339521731e-16
514	-1.000761614912435e-15	-1.091533706511368e-15
515	1.425252734323476e-16	-3.393215020676493e-17
516	4.843906822063491e-16	-4.037148643293762e-16
517	4.439033092791974e-16	-2.164760084977121e-16
518	5.318043419776921e-16	-1.863006748187369e-16
519	2.463453422489802e-01	9.446061576403135e-01
520	7.894384334551036e-15	-5.003092730642519e-16
521	-7.615683455610918e-15	-5.611248361923820e-16
522	-5.334340958410252e-15	-2.049016030644156e-15
523	3.147160244879892e-15	-2.450265118681360e-15
524	3.490094641286577e-15	2.998533997028492e-16
525	-2.285891765783376e-15	8.351473292396397e-16
526	1.362962296169045e-15	1.103157748793987e-15
527	-6.684600541765292e-16	-1.619829145823219e-15
528	-2.100350889030903e-16	-3.606200679264775e-16
529	-1.952508400755259e-15	1.562940281596278e-15
530	-4.044982852935773e-15	-6.242674759838238e-16
531	1.568460804199251e-15	7.035941686148242e-16
532	3.595218336792155e-15	1.160471421240479e-15
533	-8.331393587458225e-16	1.280172933185711e-16
534	-1.470103484309761e-15	-5.076445352706847e-16
535	3.359214954805534e-16	1.237420484762966e-16
536	2.187397352753173e-16	5.284032087706020e-16
537	1.209257455073639e-16	5.104061721476804e-17
538	4.594632813592018e-16	3.827313078212636e-16
539	1.195783010916058e-01	1.064625847120038e+00
540	1.065237337234233e-14	2.070652605300439e-15
541	-5.118716981305440e-15	3.080382810987600e-15
542	-5.946764912169474e-15	2.100703749080775e-15
543	-4.321531487693258e-15	-3.422831518371458e-16
544	2.574126514224002e-15	4.690301294133585e-16
545	-5.950722321650169e-16	-2.617741815836807e-15
546	1.230339120579075e-15	2.428684041743723e-15
547	-1.974747720055322e-15	1.025179977457239e-15
548	2.507216624313813e-16	-1.593170767490897e-15
549	2.677745217677562e-15	2.398213058152486e-15
550	-1.869704597421478e-15	-3.782526867701176e-16
551	-8.305732441011796e-16	-9.014091568475035e-17
552	1.618869458941546e-15	6.958871131507263e-16
553	-9.393445755315210e-16	-6.365681482593488e-16
554	-6.726527935429659e-16	-3.725952924523420e-16
555	-1.020067406115211e-17	3.461259064335203e-16
