要素番号	頂点番号	x	y
0	0	0.000000000000000e+00	0.000000000000000e+00
0	1	5.882352941176472e-01	0.000000000000000e+00
0	2	0.000000000000000e+00	5.882352941176472e-01
0	3	5.882352941176471e-01	5.882352941176471e-01
1	0	5.882352941176472e-01	0.000000000000000e+00
1	1	1.176470588235294e+00	0.000000000000000e+00
1	2	5.882352941176470e-01	5.882352941176472e-01
1	3	1.176470588235294e+00	5.882352941176472e-01
2	0	1.176470588235294e+00	0.000000000000000e+00
2	1	1.764705882352942e+00	0.000000000000000e+00
2	2	1.176470588235294e+00	5.882352941176472e-01
2	3	1.764705882352942e+00	5.882352941176471e-01
3	0	1.764705882352941e+00	0.000000000000000e+00
3	1	2.352941176470589e+00	0.000000000000000e+00
3	2	1.764705882352941e+00	5.882352941176471e-01
3	3	2.352941176470589e+00	5.882352941176471e-01
4	0	2.352941176470589e+00	0.000000000000000e+00
4	1	2.941176470588236e+00	0.000000000000000e+00
4	2	2.352941176470589e+00	5.882352941176471e-01
4	3	2.941176470588236e+00	5.882352941176471e-01
5	0	2.941176470588236e+00	0.000000000000000e+00
5	1	3.529411764705883e+00	0.000000000000000e+00
5	2	2.941176470588236e+00	5.882352941176471e-01
5	3	3.529411764705883e+00	5.882352941176470e-01
6	0	3.529411764705882e+00	0.000000000000000e+00
6	1	4.117647058823530e+00	0.000000000000000e+00
6	2	3.529411764705882e+00	5.882352941176471e-01
6	3	4.117647058823530e+00	5.882352941176470e-01
7	0	4.117647058823530e+00	0.000000000000000e+00
7	1	4.705882352941177e+00	0.000000000000000e+00
7	2	4.117647058823530e+00	5.882352941176470e-01
7	3	4.705882352941178e+00	5.882352941176472e-01
8	0	4.705882352941177e+00	0.000000000000000e+00
8	1	5.294117647058824e+00	0.000000000000000e+00
8	2	4.705882352941178e+00	5.882352941176472e-01
8	3	5.294117647058826e+00	5.882352941176471e-01
9	0	5.294117647058824e+00	0.000000000000000e+00
9	1	5.882352941176472e+00	0.000000000000000e+00
9	2	5.294117647058826e+00	5.882352941176471e-01
9	3	5.882352941176471e+00	5.882352941176471e-01
10	0	5.882352941176472e+00	0.000000000000000e+00
10	1	6.470588235294119e+00	0.000000000000000e+00
10	2	5.882352941176471e+00	5.882352941176471e-01
10	3	6.470588235294118e+00	5.882352941176471e-01
11	0	6.470588235294119e+00	0.000000000000000e+00
11	1	7.058823529411764e+00	0.000000000000000e+00
11	2	6.470588235294118e+00	5.882352941176471e-01
11	3	7.058823529411765e+00	5.882352941176471e-01
12	0	7.058823529411767e+00	0.000000000000000e+00
12	1	7.647058823529411e+00	0.000000000000000e+00
12	2	7.058823529411767e+00	5.882352941176472e-01
12	3	7.647058823529413e+00	5.882352941176472e-01
13	0	7.647058823529411e+00	0.000000000000000e+00
13	1	8.235294117647058e+00	0.000000000000000e+00
13	2	7.647058823529413e+00	5.882352941176472e-01
13	3	8.235294117647058e+00	5.882352941176470e-01
14	0	8.235294117647058e+00	0.000000000000000e+00
14	1	8.823529411764705e+00	0.000000000000000e+00
14	2	8.235294117647058e+00	5.882352941176470e-01
14	3	8.823529411764708e+00	5.882352941176471e-01
15	0	8.823529411764705e+00	0.000000000000000e+00
15	1	9.411764705882353e+00	0.000000000000000e+00
15	2	8.823529411764708e+00	5.882352941176471e-01
15	3	9.411764705882355e+00	5.882352941176471e-01
16	0	9.411764705882353e+00	0.000000000000000e+00
16	1	1.000000000000000e+01	0.000000000000000e+00
16	2	9.411764705882355e+00	5.882352941176471e-01
16	3	1.000000000000000e+01	5.882352941176472e-01
17	0	0.000000000000000e+00	5.882352941176472e-01
17	1	5.882352941176472e-01	5.882352941176472e-01
17	2	0.000000000000000e+00	1.176470588235294e+00
17	3	5.882352941176472e-01	1.176470588235294e+00
18	0	5.882352941176471e-01	5.882352941176471e-01
18	1	1.176470588235294e+00	5.882352941176471e-01
18	2	5.882352941176470e-01	1.176470588235294e+00
18	3	1.176470588235294e+00	1.176470588235294e+00
19	0	1.176470588235294e+00	5.882352941176471e-01
19	1	1.764705882352942e+00	5.882352941176470e-01
19	2	1.176470588235294e+00	1.176470588235294e+00
19	3	1.764705882352942e+00	1.176470588235294e+00
20	0	1.764705882352941e+00	5.882352941176469e-01
20	1	2.352941176470589e+00	5.882352941176471e-01
20	2	1.764705882352942e+00	1.176470588235294e+00
20	3	2.352941176470588e+00	1.176470588235294e+00
21	0	2.352941176470589e+00	5.882352941176471e-01
21	1	2.941176470588235e+00	5.882352941176470e-01
21	2	2.352941176470588e+00	1.176470588235294e+00
21	3	2.941176470588236e+00	1.176470588235294e+00
22	0	2.941176470588235e+00	5.882352941176470e-01
22	1	3.529411764705884e+00	5.882352941176470e-01
22	2	2.941176470588236e+00	1.176470588235294e+00
22	3	3.529411764705883e+00	1.176470588235294e+00
23	0	3.529411764705883e+00	5.882352941176471e-01
23	1	4.117647058823530e+00	5.882352941176470e-01
23	2	3.529411764705883e+00	1.176470588235294e+00
23	3	4.117647058823531e+00	1.176470588235294e+00
24	0	4.117647058823530e+00	5.882352941176470e-01
24	1	4.705882352941178e+00	5.882352941176470e-01
24	2	4.117647058823531e+00	1.176470588235294e+00
24	3	4.705882352941178e+00	1.176470588235294e+00
25	0	4.705882352941178e+00	5.882352941176470e-01
25	1	5.294117647058825e+00	5.882352941176471e-01
25	2	4.705882352941178e+00	1.176470588235294e+00
25	3	5.294117647058825e+00	1.176470588235294e+00
26	0	5.294117647058825e+00	5.882352941176471e-01
26	1	5.882352941176472e+00	5.882352941176471e-01
26	2	5.294117647058825e+00	1.176470588235294e+00
26	3	5.882352941176471e+00	1.176470588235294e+00
27	0	5.882352941176472e+00	5.882352941176471e-01
27	1	6.470588235294119e+00	5.882352941176470e-01
27	2	5.882352941176471e+00	1.176470588235294e+00
27	3	6.470588235294119e+00	1.176470588235294e+00
28	0	6.470588235294119e+00	5.882352941176470e-01
28	1	7.058823529411767e+00	5.882352941176470e-01
28	2	6.470588235294119e+00	1.176470588235294e+00
28	3	7.058823529411765e+00	1.176470588235294e+00
29	0	7.058823529411767e+00	5.882352941176471e-01
29	1	7.647058823529412e+00	5.882352941176471e-01
29	2	7.058823529411767e+00	1.176470588235294e+00
29	3	7.647058823529411e+00	1.176470588235294e+00
30	0	7.647058823529412e+00	5.882352941176471e-01
30	1	8.235294117647060e+00	5.882352941176470e-01
30	2	7.647058823529411e+00	1.176470588235294e+00
30	3	8.235294117647060e+00	1.176470588235294e+00
31	0	8.235294117647060e+00	5.882352941176470e-01
31	1	8.823529411764707e+00	5.882352941176471e-01
31	2	8.235294117647060e+00	1.176470588235294e+00
31	3	8.823529411764707e+00	1.176470588235294e+00
32	0	8.823529411764707e+00	5.882352941176471e-01
32	1	9.411764705882351e+00	5.882352941176470e-01
32	2	8.823529411764707e+00	1.176470588235294e+00
32	3	9.411764705882355e+00	1.176470588235294e+00
33	0	9.411764705882351e+00	5.882352941176470e-01
33	1	1.000000000000000e+01	5.882352941176472e-01
33	2	9.411764705882355e+00	1.176470588235294e+00
33	3	1.000000000000000e+01	1.176470588235294e+00
34	0	0.000000000000000e+00	1.176470588235294e+00
34	1	5.882352941176472e-01	1.176470588235294e+00
34	2	0.000000000000000e+00	1.764705882352942e+00
34	3	5.882352941176471e-01	1.764705882352942e+00
35	0	5.882352941176470e-01	1.176470588235294e+00
35	1	1.176470588235294e+00	1.176470588235294e+00
35	2	5.882352941176471e-01	1.764705882352942e+00
35	3	1.176470588235294e+00	1.764705882352941e+00
36	0	1.176470588235294e+00	1.176470588235294e+00
36	1	1.764705882352942e+00	1.176470588235294e+00
36	2	1.176470588235294e+00	1.764705882352941e+00
36	3	1.764705882352941e+00	1.764705882352942e+00
37	0	1.764705882352942e+00	1.176470588235294e+00
37	1	2.352941176470588e+00	1.176470588235294e+00
37	2	1.764705882352942e+00	1.764705882352942e+00
37	3	2.352941176470588e+00	1.764705882352942e+00
38	0	2.352941176470588e+00	1.176470588235294e+00
38	1	2.941176470588236e+00	1.176470588235294e+00
38	2	2.352941176470588e+00	1.764705882352942e+00
38	3	2.941176470588236e+00	1.764705882352941e+00
39	0	2.941176470588236e+00	1.176470588235294e+00
39	1	3.529411764705883e+00	1.176470588235294e+00
39	2	2.941176470588236e+00	1.764705882352941e+00
39	3	3.529411764705883e+00	1.764705882352942e+00
40	0	3.529411764705883e+00	1.176470588235294e+00
40	1	4.117647058823531e+00	1.176470588235294e+00
40	2	3.529411764705882e+00	1.764705882352942e+00
40	3	4.117647058823530e+00	1.764705882352942e+00
41	0	4.117647058823531e+00	1.176470588235294e+00
41	1	4.705882352941178e+00	1.176470588235294e+00
41	2	4.117647058823530e+00	1.764705882352942e+00
41	3	4.705882352941178e+00	1.764705882352942e+00
42	0	4.705882352941178e+00	1.176470588235294e+00
42	1	5.294117647058825e+00	1.176470588235294e+00
42	2	4.705882352941178e+00	1.764705882352942e+00
42	3	5.294117647058824e+00	1.764705882352941e+00
43	0	5.294117647058825e+00	1.176470588235294e+00
43	1	5.882352941176471e+00	1.176470588235294e+00
43	2	5.294117647058824e+00	1.764705882352941e+00
43	3	5.882352941176471e+00	1.764705882352941e+00
44	0	5.882352941176471e+00	1.176470588235294e+00
44	1	6.470588235294119e+00	1.176470588235294e+00
44	2	5.882352941176471e+00	1.764705882352941e+00
44	3	6.470588235294119e+00	1.764705882352942e+00
45	0	6.470588235294119e+00	1.176470588235294e+00
45	1	7.058823529411765e+00	1.176470588235294e+00
45	2	6.470588235294119e+00	1.764705882352942e+00
45	3	7.058823529411765e+00	1.764705882352942e+00
46	0	7.058823529411767e+00	1.176470588235294e+00
46	1	7.647058823529411e+00	1.176470588235294e+00
46	2	7.058823529411767e+00	1.764705882352941e+00
46	3	7.647058823529412e+00	1.764705882352942e+00
47	0	7.647058823529411e+00	1.176470588235294e+00
47	1	8.235294117647060e+00	1.176470588235294e+00
